,시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
,끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
0,1회,133,23,81,29,,,,,133,23,81,29,,,,,2012
1,2회,133,31,57,45,23.0,18.0,2.0,3.0,81,12,53,16,29.0,1.0,2.0,26.0,2012
2,3회,133,45,36,52,31.0,30.0,1.0,0.0,57,14,32,11,45.0,1.0,3.0,41.0,2012
3,4회,133,49,25,59,45.0,41.0,2.0,2.0,36,6,16,14,52.0,2.0,7.0,43.0,2012
4,5회,133,59,16,58,49.0,45.0,1.0,3.0,25,7,12,6,59.0,7.0,3.0,49.0,2012
5,6회,132,57,13,62,59.0,52.0,3.0,4.0,16,2,7,7,57.0,3.0,3.0,51.0,2012
6,7회,132,58,14,60,57.0,54.0,0.0,3.0,13,3,10,0,62.0,1.0,4.0,57.0,2012
7,8회,132,56,12,64,58.0,52.0,1.0,5.0,14,3,8,3,60.0,1.0,3.0,56.0,2012
8,9회,82,36,12,34,30.0,27.0,2.0,1.0,12,6,5,1,40.0,3.0,5.0,32.0,2012
9,10회,12,4,8,0,,,,,12,4,8,0,,,,,2012
10,11회,8,0,6,2,,,,,8,0,6,2,,,,,2012
11,12회,6,2,3,1,,,,,6,2,3,1,,,,,2012
0,1회,128,36,50,42,,,,,128,36,50,42,,,,,2013
1,2회,128,50,37,41,36.0,31.0,4.0,1.0,50,13,28,9,42.0,6.0,5.0,31.0,2013
2,3회,128,61,30,37,50.0,45.0,4.0,1.0,37,10,23,4,41.0,6.0,3.0,32.0,2013
3,4회,128,56,29,43,61.0,51.0,5.0,5.0,30,5,22,3,37.0,0.0,2.0,35.0,2013
4,5회,128,60,26,42,56.0,51.0,4.0,1.0,29,8,18,3,43.0,1.0,4.0,38.0,2013
5,6회,128,65,13,50,60.0,57.0,1.0,2.0,26,8,10,8,42.0,0.0,2.0,40.0,2013
6,7회,128,68,11,49,65.0,60.0,3.0,2.0,13,4,7,2,50.0,4.0,1.0,45.0,2013
7,8회,128,65,13,50,68.0,62.0,6.0,0.0,11,2,6,3,49.0,1.0,1.0,47.0,2013
8,9회,72,33,12,27,33.0,28.0,3.0,2.0,13,3,8,2,26.0,2.0,1.0,23.0,2013
9,10회,12,2,9,1,,,,,12,2,9,1,,,,,2013
10,11회,9,4,4,1,,,,,9,4,4,1,,,,,2013
11,12회,4,0,3,1,,,,,4,0,3,1,,,,,2013
0,1회,128,34,56,38,,,,,128,34,56,38,,,,,2014
1,2회,128,45,34,49,34.0,29.0,2.0,3.0,56,14,28,14,38.0,2.0,4.0,32.0,2014
2,3회,128,56,21,51,45.0,41.0,2.0,2.0,34,10,17,7,49.0,5.0,2.0,42.0,2014
3,4회,128,59,13,56,56.0,51.0,1.0,4.0,21,4,11,6,51.0,4.0,1.0,46.0,2014
4,5회,128,58,11,59,59.0,53.0,1.0,5.0,13,1,8,4,56.0,4.0,2.0,50.0,2014
5,6회,126,59,11,56,58.0,53.0,5.0,0.0,11,2,5,4,57.0,4.0,1.0,52.0,2014
6,7회,125,54,10,61,58.0,52.0,2.0,4.0,11,1,6,4,56.0,1.0,2.0,53.0,2014
7,8회,124,54,9,61,53.0,50.0,0.0,3.0,10,2,7,1,61.0,2.0,2.0,57.0,2014
8,9회,73,31,7,35,31.0,27.0,2.0,2.0,9,2,4,3,33.0,2.0,1.0,30.0,2014
9,10회,7,1,4,2,,,,,7,1,4,2,,,,,2014
10,11회,4,1,3,0,,,,,4,1,3,0,,,,,2014
11,12회,3,1,1,1,,,,,3,1,1,1,,,,,2014
0,1회,144,36,63,45,,,,,144,36,63,45,,,,,2015
1,2회,144,55,34,55,36.0,32.0,3.0,1.0,63,21,29,13,45.0,2.0,2.0,41.0,2015
2,3회,144,58,24,62,55.0,46.0,4.0,5.0,34,9,16,9,55.0,3.0,4.0,48.0,2015
3,4회,144,62,22,60,58.0,53.0,2.0,3.0,24,5,16,3,62.0,4.0,4.0,54.0,2015
4,5회,144,67,23,54,62.0,52.0,7.0,3.0,22,10,10,2,60.0,5.0,6.0,49.0,2015
5,6회,144,68,22,54,67.0,63.0,3.0,1.0,23,4,14,5,54.0,1.0,5.0,48.0,2015
6,7회,144,77,10,57,68.0,64.0,3.0,1.0,22,10,6,6,54.0,3.0,1.0,50.0,2015
7,8회,144,71,14,59,77.0,68.0,2.0,7.0,10,3,5,2,57.0,0.0,7.0,50.0,2015
8,9회,80,36,12,32,36.0,31.0,3.0,2.0,14,2,7,5,30.0,3.0,2.0,25.0,2015
9,10회,12,3,7,2,,,,,12,3,7,2,,,,,2015
10,11회,7,3,3,1,,,,,7,3,3,1,,,,,2015
11,12회,3,2,0,1,,,,,3,2,0,1,,,,,2015
0,1회,144,40,69,35,,,,,144,40,69,35,,,,,2016
1,2회,144,60,40,44,40.0,35.0,3.0,2.0,69,19,35,15,35.0,6.0,2.0,27.0,2016
2,3회,144,70,26,48,60.0,54.0,2.0,4.0,40,11,22,7,44.0,5.0,2.0,37.0,2016
3,4회,144,76,18,50,70.0,62.0,3.0,5.0,26,6,11,9,48.0,8.0,4.0,36.0,2016
4,5회,144,81,11,52,76.0,71.0,2.0,3.0,18,7,6,5,50.0,3.0,3.0,44.0,2016
5,6회,144,86,14,44,81.0,75.0,4.0,2.0,11,5,3,3,52.0,6.0,7.0,39.0,2016
6,7회,144,89,11,44,86.0,81.0,3.0,2.0,14,6,6,2,44.0,2.0,2.0,40.0,2016
7,8회,144,92,9,43,89.0,86.0,2.0,1.0,11,4,5,2,44.0,2.0,2.0,40.0,2016
8,9회,82,49,9,24,51.0,43.0,5.0,3.0,9,3,4,2,22.0,3.0,0.0,19.0,2016
9,10회,9,2,4,3,,,,,9,2,4,3,,,,,2016
10,11회,4,1,2,1,,,,,4,1,2,1,,,,,2016
11,12회,2,0,1,1,,,,,2,0,1,1,,,,,2016
0,1회,144,32,76,36,,,,,144,32,76,36,,,,,2017
1,2회,144,52,48,44,32.0,27.0,4.0,1.0,76,20,40,16,36.0,5.0,4.0,27.0,2017
2,3회,144,61,32,51,52.0,43.0,6.0,3.0,48,14,25,9,44.0,4.0,1.0,39.0,2017
3,4회,144,68,27,49,61.0,55.0,4.0,2.0,32,8,16,8,51.0,5.0,7.0,39.0,2017
4,5회,144,69,17,58,68.0,63.0,1.0,4.0,27,6,16,5,49.0,0.0,0.0,49.0,2017
5,6회,143,66,15,62,69.0,63.0,3.0,3.0,17,3,9,5,57.0,0.0,3.0,54.0,2017
6,7회,143,68,17,58,66.0,62.0,1.0,3.0,15,1,11,3,62.0,5.0,5.0,52.0,2017
7,8회,143,75,11,57,68.0,64.0,3.0,1.0,17,6,6,5,58.0,5.0,2.0,51.0,2017
8,9회,86,48,12,26,42.0,40.0,2.0,0.0,11,3,7,1,33.0,5.0,3.0,25.0,2017
9,10회,12,2,5,5,,,,,12,2,5,5,,,,,2017
10,11회,5,0,4,1,,,,,5,0,4,1,,,,,2017
