,실점,경기,승,패,무,승률,Season
0,0,12,12,0,0,1.0,2012
1,1,19,16,3,0,0.842,2012
2,2,22,16,5,1,0.762,2012
3,3,22,9,12,1,0.429,2012
4,4,11,4,6,1,0.4,2012
5,5,10,3,7,0,0.3,2012
6,6,9,1,8,0,0.111,2012
7,7,11,3,8,0,0.273,2012
8,8,7,2,5,0,0.286,2012
9,9,3,0,3,0,0.0,2012
10,10,1,0,1,0,0.0,2012
11,11,3,2,1,0,0.667,2012
12,12,1,0,1,0,0.0,2012
13,13,1,0,1,0,0.0,2012
14,14,1,0,1,0,0.0,2012
0,0,8,8,0,0,1.0,2013
1,1,11,10,1,0,0.909,2013
2,2,13,12,1,0,0.923,2013
3,3,15,9,5,1,0.643,2013
4,4,21,14,6,1,0.7,2013
5,5,11,6,5,0,0.545,2013
6,6,13,5,7,1,0.417,2013
7,7,11,5,6,0,0.455,2013
8,8,11,1,10,0,0.091,2013
9,9,4,0,4,0,0.0,2013
10,10,3,0,3,0,0.0,2013
11,11,1,0,1,0,0.0,2013
12,12,1,1,0,0,1.0,2013
13,13,2,0,2,0,0.0,2013
14,14,1,0,1,0,0.0,2013
15,15,1,0,1,0,0.0,2013
16,17,1,0,1,0,0.0,2013
0,0,2,2,0,0,1.0,2014
1,1,16,15,1,0,0.938,2014
2,2,14,10,4,0,0.714,2014
3,3,13,8,4,1,0.667,2014
4,4,11,5,6,0,0.455,2014
5,5,12,5,7,0,0.417,2014
6,6,16,9,7,0,0.563,2014
7,7,8,0,8,0,0.0,2014
8,8,8,1,7,0,0.125,2014
9,9,10,2,8,0,0.2,2014
10,10,5,1,4,0,0.2,2014
11,12,4,1,3,0,0.25,2014
12,13,2,0,2,0,0.0,2014
13,14,2,0,2,0,0.0,2014
14,15,3,0,3,0,0.0,2014
15,19,1,0,1,0,0.0,2014
16,23,1,0,1,0,0.0,2014
0,0,10,10,0,0,1.0,2015
1,1,12,12,0,0,1.0,2015
2,2,12,10,2,0,0.833,2015
3,3,17,15,2,0,0.882,2015
4,4,19,13,6,0,0.684,2015
5,5,18,9,9,0,0.5,2015
6,6,10,4,6,0,0.4,2015
7,7,10,4,6,0,0.4,2015
8,8,8,0,8,0,0.0,2015
9,9,7,1,6,0,0.143,2015
10,10,8,1,7,0,0.125,2015
11,11,3,0,3,0,0.0,2015
12,12,3,0,3,0,0.0,2015
13,13,1,0,1,0,0.0,2015
14,14,1,0,1,0,0.0,2015
15,15,1,0,1,0,0.0,2015
16,16,1,0,1,0,0.0,2015
17,17,2,0,2,0,0.0,2015
18,25,1,0,1,0,0.0,2015
0,0,7,7,0,0,1.0,2016
1,1,19,19,0,0,1.0,2016
2,2,15,15,0,0,1.0,2016
3,3,17,16,1,0,0.941,2016
4,4,19,15,4,0,0.789,2016
5,5,23,12,11,0,0.522,2016
6,6,11,5,6,0,0.455,2016
7,7,5,3,2,0,0.6,2016
8,8,3,0,3,0,0.0,2016
9,9,10,0,9,1,0.0,2016
10,10,7,1,6,0,0.143,2016
11,11,1,0,1,0,0.0,2016
12,12,3,0,3,0,0.0,2016
13,13,2,0,2,0,0.0,2016
14,16,1,0,1,0,0.0,2016
15,17,1,0,1,0,0.0,2016
0,0,9,9,0,0,1.0,2017
1,1,18,17,0,1,1.0,2017
2,2,11,7,4,0,0.636,2017
3,3,21,13,6,2,0.684,2017
4,4,25,20,5,0,0.8,2017
5,5,15,6,9,0,0.4,2017
6,6,10,5,5,0,0.5,2017
7,7,9,3,6,0,0.333,2017
8,8,7,1,6,0,0.143,2017
9,9,5,1,4,0,0.2,2017
10,10,1,0,1,0,0.0,2017
11,11,3,1,2,0,0.333,2017
12,12,4,0,4,0,0.0,2017
13,13,5,1,4,0,0.2,2017
14,20,1,0,1,0,0.0,2017
0,0,9,9,0,0,1.0,2018
1,1,14,14,0,0,1.0,2018
2,2,19,18,1,0,0.947,2018
3,3,20,17,3,0,0.85,2018
4,4,17,15,2,0,0.882,2018
5,5,11,4,7,0,0.364,2018
6,6,9,4,5,0,0.444,2018
7,7,6,2,4,0,0.333,2018
8,8,9,5,4,0,0.556,2018
9,9,5,2,3,0,0.4,2018
10,10,7,3,4,0,0.429,2018
