,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
0,1,95,38,20,11,3,2,2,5,0.52,2012
1,2,99,34,22,6,1,3,2,5,0.44,2012
2,3,104,29,15,8,4,2,0,4,0.38,2012
3,4,97,36,23,9,3,0,1,5,0.41,2012
4,5,102,31,16,7,0,7,1,6,0.48,2012
5,6,98,34,18,5,7,3,1,5,0.5,2012
6,7,100,32,17,5,5,3,2,9,0.52,2012
7,8,102,30,18,5,6,1,0,4,0.38,2012
8,9,91,17,7,7,3,0,0,3,0.28,2012
9,10,12,0,0,0,0,0,0,0,0.0,2012
10,11,4,4,3,1,0,0,0,2,0.63,2012
11,12,5,1,1,0,0,0,0,1,0.17,2012
0,1,75,53,26,14,8,4,1,6,0.78,2013
1,2,99,29,13,10,5,0,1,5,0.41,2013
2,3,100,28,14,4,6,2,2,5,0.45,2013
3,4,97,31,10,10,5,1,5,7,0.6,2013
4,5,90,38,24,9,2,1,2,8,0.51,2013
5,6,97,31,12,5,7,5,2,6,0.58,2013
6,7,93,35,19,10,3,1,2,5,0.48,2013
7,8,83,45,21,15,6,0,3,6,0.66,2013
8,9,79,25,14,5,2,3,1,5,0.45,2013
9,10,11,1,1,0,0,0,0,1,0.08,2013
10,11,8,1,0,1,0,0,0,2,0.22,2013
11,12,3,1,1,0,0,0,0,1,0.25,2013
0,1,81,47,24,14,4,3,2,7,0.7,2014
1,2,89,39,20,11,4,2,2,7,0.58,2014
2,3,88,40,17,11,8,2,2,5,0.63,2014
3,4,91,37,14,8,6,5,4,8,0.74,2014
4,5,88,40,16,14,8,0,2,7,0.63,2014
5,6,84,44,22,10,7,3,2,5,0.66,2014
6,7,79,47,20,14,5,4,4,7,0.8,2014
7,8,90,35,17,9,4,2,3,10,0.62,2014
8,9,66,30,20,5,4,1,0,4,0.48,2014
9,10,5,2,1,1,0,0,0,2,0.43,2014
10,11,4,0,0,0,0,0,0,0,0.0,2014
11,12,2,1,1,0,0,0,0,1,0.33,2014
0,1,93,51,21,19,7,1,3,6,0.69,2015
1,2,106,38,22,7,3,3,3,8,0.54,2015
2,3,98,46,18,12,8,5,3,9,0.74,2015
3,4,104,40,21,9,8,1,1,5,0.5,2015
4,5,102,42,16,14,8,3,1,5,0.59,2015
5,6,111,33,15,12,2,1,3,7,0.47,2015
6,7,97,47,24,13,5,2,3,8,0.65,2015
7,8,99,45,20,11,8,1,5,8,0.72,2015
