,이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
0,1,,,68-62-3 (0.523),0.523,,,2012
1,2,17-5-1 (0.773),0.773,42-37-2 (0.532),0.532,9-20-0 (0.310),0.31,2012
2,3,28-2-1 (0.933),0.933,27-28-2 (0.491),0.491,13-32-0 (0.289),0.289,2012
3,4,39-4-2 (0.907),0.907,13-22-1 (0.371),0.371,16-36-0 (0.308),0.308,2012
4,5,41-6-2 (0.872),0.872,12-13-0 (0.480),0.48,15-43-1 (0.259),0.259,2012
5,6,49-8-2 (0.860),0.86,8-8-0 (0.500),0.5,11-46-1 (0.193),0.193,2012
6,7,50-5-2 (0.909),0.909,8-5-0 (0.615),0.615,10-51-1 (0.164),0.164,2012
7,8,53-3-2 (0.946),0.946,9-5-0 (0.643),0.643,6-53-1 (0.102),0.102,2012
8,9,55-1-0 (0.982),0.982,8-4-0 (0.667),0.667,5-56-3 (0.082),0.082,2012
9,10,,,6-3-3 (0.667),0.667,,,2012
10,11,,,2-3-3 (0.400),0.4,,,2012
11,12,,,2-1-3 (0.667),0.667,,,2012
0,1,,,71-54-3 (0.568),0.568,,,2013
1,2,26-10-0 (0.722),0.722,26-23-1 (0.531),0.531,19-21-2 (0.475),0.475,2013
2,3,37-13-0 (0.740),0.74,19-17-1 (0.528),0.528,15-24-2 (0.385),0.385,2013
3,4,49-12-0 (0.803),0.803,14-14-2 (0.500),0.5,8-28-1 (0.222),0.222,2013
4,5,46-9-1 (0.836),0.836,18-10-1 (0.643),0.643,7-35-1 (0.167),0.167,2013
5,6,52-8-0 (0.867),0.867,13-12-1 (0.520),0.52,6-34-2 (0.150),0.15,2013
6,7,56-8-1 (0.875),0.875,7-5-1 (0.583),0.583,8-41-1 (0.163),0.163,2013
7,8,62-4-2 (0.939),0.939,6-5-0 (0.545),0.545,3-45-1 (0.063),0.063,2013
8,9,62-2-1 (0.969),0.969,7-4-2 (0.636),0.636,2-48-0 (0.040),0.04,2013
9,10,,,6-3-3 (0.667),0.667,,,2013
10,11,,,4-2-3 (0.667),0.667,,,2013
11,12,,,0-1-3 (0.000),0.0,,,2013
0,1,,,59-68-1 (0.465),0.465,,,2014
1,2,21-13-0 (0.618),0.618,25-30-1 (0.455),0.455,13-25-0 (0.342),0.342,2014
2,3,30-15-0 (0.667),0.667,16-17-1 (0.485),0.485,13-36-0 (0.265),0.265,2014
3,4,41-15-0 (0.732),0.732,10-10-1 (0.500),0.5,8-43-0 (0.157),0.157,2014
4,5,44-15-0 (0.746),0.746,6-7-0 (0.462),0.462,9-46-1 (0.164),0.164,2014
5,6,47-11-0 (0.810),0.81,3-8-0 (0.273),0.273,9-49-1 (0.155),0.155,2014
6,7,50-9-0 (0.847),0.847,4-7-0 (0.364),0.364,5-50-1 (0.091),0.091,2014
