,순,이름,팀,WPA(정렬),타석,득점권PA,득점권%,득점권타율,타점,순수타점,주자,타점%,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPA_Plus,WPA_Minus,WPA,pLI,WPA/LI,Clutch,ph,phLI
4,,삼성,12,,5161,,,,585,496,,,,,,,,,,,,,,,,
5,,SK,12,,4996,,,,523,415,,,,,,,,,,,,,,,,
6,,KIA,12,,5131,,,,518,464,,,,,,,,,,,,,,,,
7,,넥센,12,,5021,,,,509,407,,,,,,,,,,,,,,,,
8,,LG,12,,5180,,,,512,453,,,,,,,,,,,,,,,,
9,,한화,12,,5057,,,,479,408,,,,,,,,,,,,,,,,
10,,롯데,12,,5043,,,,479,406,,,,,,,,,,,,,,,,
11,,두산,12,,4938,,,,490,431,,,,,,,,,,,,,,,,
4,,두산,13,,5142,,,,654,559,,,,,,,,,,,,,,,,
5,,삼성,13,,5042,,,,624,511,,,,,,,,,,,,,,,,
6,,넥센,13,,5015,,,,607,482,,,,,,,,,,,,,,,,
7,,SK,13,,4950,,,,558,434,,,,,,,,,,,,,,,,
8,,LG,13,,4934,,,,574,515,,,,,,,,,,,,,,,,
9,,KIA,13,,5051,,,,545,457,,,,,,,,,,,,,,,,
10,,롯데,13,,4978,,,,522,461,,,,,,,,,,,,,,,,
11,,한화,13,,4915,,,,448,401,,,,,,,,,,,,,,,,
12,,NC,13,,4866,,,,485,399,,,,,,,,,,,,,,,,
4,1,삼성,14,20.50,5152,1574,30.6,.328,763,602,2886,20.9,168.74,25.45,194.19,17.03,17.88,2.63,97.00,-76.50,20.50,0.94,19.68,2.03,129,1.30
5,2,넥센,14,20.41,5163,1594,30.9,.286,786,587,2964,19.8,211.71,11.09,222.80,19.53,18.78,1.62,94.59,-74.18,20.41,0.91,25.40,-3.01,156,1.30
6,3,SK,14,15.99,5082,1558,30.7,.300,696,581,2939,19.8,92.78,17.15,109.93,9.64,13.71,2.28,95.82,-79.83,15.99,0.98,13.17,3.10,144,1.01
7,4,NC,14,12.02,5031,1472,29.3,.301,697,554,2752,20.1,86.74,26.06,112.81,9.89,8.72,3.29,94.25,-82.23,12.02,1.01,9.48,2.43,183,1.07
8,5,한화,14,9.13,5055,1497,29.6,.267,594,490,3001,16.3,-18.04,10.83,-7.20,-0.63,7.51,1.63,92.42,-83.29,9.13,0.99,6.00,3.21,183,1.25
9,6,두산,14,8.74,5083,1528,30.1,.282,646,538,2988,18.0,45.52,20.12,65.64,5.75,5.76,2.99,87.77,-79.02,8.74,0.94,10.45,-1.17,173,1.01
10,7,LG,14,7.69,5070,1492,29.4,.290,623,533,2894,18.4,34.98,8.06,43.04,3.77,6.69,1.00,99.88,-92.19,7.69,1.11,5.76,1.17,219,1.27
11,8,롯데,14,6.52,5194,1586,30.5,.283,686,565,3182,17.8,71.96,16.72,88.68,7.77,4.60,1.92,93.21,-86.70,6.52,1.04,13.44,-7.16,187,1.29
12,9,KIA,14,5.43,5023,1553,30.9,.259,631,510,2921,17.5,34.38,4.79,39.17,3.43,4.41,1.02,90.06,-84.63,5.43,1.01,7.32,-1.95,220,1.21
4,1,삼성,15,19.23,5803,1775,30.6,.312,850,674,3427,19.7,186.07,18.33,204.40,18.73,17.39,1.83,105.97,-86.74,19.23,0.94,21.98,-1.49,127,1.19
5,2,넥센,15,19.10,5811,1739,29.9,.299,855,652,3336,19.5,182.17,18.36,200.53,18.37,17.42,1.68,111.53,-92.44,19.10,0.97,23.85,-4.20,172,1.14
6,3,두산,15,14.48,5759,1736,30.1,.288,770,630,3355,18.8,67.13,30.68,97.81,8.96,11.71,2.77,102.58,-88.10,14.48,0.96,13.17,1.99,122,1.22
7,4,NC,15,13.28,5727,1799,31.4,.294,802,641,3246,19.8,120.77,26.35,147.12,13.48,10.37,2.91,98.03,-84.76,13.28,0.91,16.29,-1.76,190,0.90
8,5,한화,15,11.13,5713,1708,29.9,.269,667,537,3219,16.7,0.34,10.83,11.17,1.02,9.69,1.44,105.41,-94.27,11.13,1.03,7.66,3.15,244,1.24
9,6,롯데,15,6.75,5680,1605,28.3,.275,727,550,3210,17.1,47.43,9.13,56.56,5.18,4.80,1.95,103.38,-96.63,6.75,1.00,10.68,-3.95,194,1.31
10,7,KIA,15,3.86,5454,1413,25.9,.249,602,466,2721,17.1,-72.14,20.41,-51.73,-4.74,2.15,1.71,93.91,-90.05,3.86,0.96,-1.63,5.66,287,1.13
11,8,SK,15,2.64,5588,1524,27.3,.281,656,511,3037,16.8,-12.24,-1.67,-13.91,-1.27,3.41,-0.76,90.85,-88.20,2.64,0.91,4.81,-1.91,228,1.14
12,9,kt,15,2.19,5605,1581,28.2,.271,633,504,3110,16.2,-57.74,18.32,-39.43,-3.61,0.71,1.48,92.07,-89.87,2.19,0.95,2.33,-0.03,250,1.09
