,순,이름,팀,P/PA(정렬),타석,투구,P/PA,S_루킹,S_헛스윙,S_파울,S_타격,S_투구비율%,B_투구비율%,배트적극성_전체%,배트적극성_초구%,컨택%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스_N,배팅찬스_스윙,배팅찬스_W%
4,,삼성,12,,5161,,,,,,,,,,,,,,,,,,,
5,,SK,12,,4996,,,,,,,,,,,,,,,,,,,
6,,KIA,12,,5131,,,,,,,,,,,,,,,,,,,
7,,넥센,12,,5021,,,,,,,,,,,,,,,,,,,
8,,LG,12,,5180,,,,,,,,,,,,,,,,,,,
9,,한화,12,,5057,,,,,,,,,,,,,,,,,,,
10,,롯데,12,,5043,,,,,,,,,,,,,,,,,,,
11,,두산,12,,4938,,,,,,,,,,,,,,,,,,,
4,,두산,13,,5142,,,,,,,,,,,,,,,,,,,
5,,삼성,13,,5042,,,,,,,,,,,,,,,,,,,
6,,넥센,13,,5015,,,,,,,,,,,,,,,,,,,
7,,SK,13,,4950,,,,,,,,,,,,,,,,,,,
8,,LG,13,,4934,,,,,,,,,,,,,,,,,,,
9,,KIA,13,,5051,,,,,,,,,,,,,,,,,,,
10,,롯데,13,,4978,,,,,,,,,,,,,,,,,,,
11,,한화,13,,4915,,,,,,,,,,,,,,,,,,,
12,,NC,13,,4866,,,,,,,,,,,,,,,,,,,
4,1,롯데,14,4.00,5194,20794,4.00,31.1,14.1,26.6,28.2,61.6,38.4,42.4,25.5,79.6,74.9,34.4,746,218,22.6,6235,412,6.6
5,2,삼성,14,3.96,5152,20387,3.96,28.4,12.5,28.0,31.1,60.5,39.5,43.3,26.1,82.5,79.1,35.8,561,182,24.5,6538,557,8.5
6,3,LG,14,3.94,5070,19951,3.94,30.1,12.8,27.2,29.9,61.3,38.7,42.9,25.1,81.7,76.6,36.1,612,205,25.1,5516,382,6.9
7,4,두산,14,3.92,5083,19944,3.92,27.9,12.0,29.0,31.1,61.5,38.5,44.3,25.2,83.4,79.7,35.9,576,155,21.2,6369,537,8.4
8,,한화,14,3.92,5055,19836,3.92,29.2,12.8,27.8,30.1,61.4,38.6,43.5,26.5,81.9,76.1,35.9,632,207,24.7,6256,451,7.2
9,6,SK,14,3.90,5082,19820,3.90,29.1,14.8,26.9,29.3,62.4,37.6,44.3,28.7,79.2,74.4,35.7,713,213,23.0,5663,391,6.9
10,7,넥센,14,3.86,5163,19914,3.86,28.3,14.7,26.7,30.4,60.9,39.1,43.7,28.9,79.5,75.2,37.1,646,203,23.9,6321,548,8.7
11,8,NC,14,3.84,5031,19297,3.84,26.7,14.1,29.2,30.0,62.3,37.7,45.6,31.9,80.7,73.6,36.2,674,244,26.6,5395,464,8.6
12,9,KIA,14,3.82,5023,19165,3.82,26.6,15.1,27.8,30.5,62.7,37.4,46.0,30.1,79.5,74.9,35.6,659,211,24.3,5686,425,7.5
4,1,넥센,15,3.97,5811,23056,3.97,28.9,15.9,26.7,28.6,62.0,38.0,44.1,27.2,77.7,74.4,35.2,818,280,25.5,6704,558,8.3
5,2,LG,15,3.97,5599,22214,3.97,28.4,14.2,29.0,28.4,63.2,36.8,45.2,26.8,80.2,75.2,33.5,828,248,23.1,6444,502,7.8
6,3,KIA,15,3.95,5454,21563,3.95,28.8,16.5,26.9,27.8,62.9,37.1,44.8,27.0,76.8,72.3,35.6,856,270,24.0,6053,471,7.8
7,4,롯데,15,3.95,5680,22442,3.95,28.3,15.5,28.7,27.6,62.9,37.1,45.2,29.3,78.5,72.4,35.2,884,302,25.5,6048,443,7.3
8,5,한화,15,3.93,5713,22422,3.93,28.8,15.5,27.7,28.0,62.0,38.0,44.1,28.0,78.3,72.7,35.7,837,296,26.1,6244,455,7.3
9,6,삼성,15,3.91,5803,22711,3.91,29.2,12.8,27.6,30.4,61.1,38.9,43.3,27.0,81.9,76.8,35.8,719,211,22.7,7300,631,8.6
10,7,kt,15,3.91,5605,21885,3.91,27.0,15.9,28.5,28.5,63.0,37.0,45.9,32.7,78.2,73.0,36.5,822,290,26.1,6465,542,8.4
11,8,SK,15,3.90,5588,21780,3.90,27.0,14.7,29.7,28.6,63.4,36.7,46.3,30.7,79.9,75.1,34.0,806,241,23.0,6047,449,7.4
12,9,NC,15,3.86,5727,22126,3.86,26.9,14.8,28.7,29.6,62.0,38.1,45.3,30.9,79.8,74.1,36.5,757,266,26.0,6251,545,8.7
13,10,두산,15,3.82,5759,22008,3.82,27.4,12.3,28.5,31.8,61.1,38.9,44.4,27.2,83.0,78.1,35.6,622,198,24.2,6707,601,9.0
4,1,롯데,16,4.00,5784,23121,4.00,29.2,14.1,28.2,28.5,61.4,38.6,43.5,27.8,80.1,74.7,35.7,790,271,25.5,6725,482,7.2
5,2,NC,16,3.98,5833,23189,3.98,27.3,14.5,29.4,28.9,61.4,38.6,44.6,29.8,80.1,76.0,37.4,780,243,23.8,6711,594,8.9
6,3,LG,16,3.92,5765,22585,3.92,25.9,14.9,29.4,29.8,62.2,37.8,46.1,28.8,79.9,76.3,34.5,767,215,21.9,7152,633,8.9
7,4,넥센,16,3.91,5702,22299,3.91,28.3,15.1,26.3,30.3,61.1,38.9,43.8,27.0,78.9,75.2,35.7,706,250,26.2,7249,601,8.3
