,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
0,삼성,15,39.90,5803,116.4,7.7,2.4,126.4,65.7,-20.1,45.6,192.2,172.0,316.7,488.7,10.67,15.7,34.65,35.58,33.76,6.13,39.90
1,두산,18,38.04,5870,160.5,9.7,1.9,172.0,5.1,-21.2,-16.1,177.1,155.9,332.4,488.4,11.21,13.6,38.40,39.44,37.57,0.47,38.04
2,두산,16,35.97,5841,133.5,0.8,6.9,141.2,12.8,-19.7,-6.9,154.0,134.3,333.2,467.6,11.19,11.6,35.81,36.50,34.81,1.17,35.97
3,두산,17,35.41,5833,126.1,2.2,10.6,138.9,6.3,-20.5,-14.2,145.2,124.7,320.8,445.5,10.90,11.1,35.50,36.65,34.82,0.59,35.41
4,LG,22,35.20,5627,84.5,-1.4,8.8,91.9,40.6,-17.3,23.3,132.5,115.2,275.6,390.8,9.37,11.8,32.02,32.78,31.02,4.19,35.20
5,넥센,14,35.05,5163,109.2,-0.7,-0.8,107.6,15.1,-17.4,-2.3,122.8,105.3,294.5,399.8,11.41,9.2,35.39,35.25,33.72,1.32,35.05
6,NC,20,34.95,5833,112.4,2.2,3.5,118.1,18.1,-20.3,-2.1,136.2,115.9,313.4,429.4,10.43,10.6,34.59,35.12,33.23,1.72,34.95
7,두산,13,34.07,5142,89.3,6.1,0.8,96.2,0.0,-12.9,-12.9,96.2,83.3,256.3,339.6,9.97,8.4,34.67,35.36,34.07,0.00,34.07
8,삼성,12,33.80,5161,78.2,2.8,-1.0,80.0,0.0,-6.6,-6.6,80.0,73.4,236.8,310.1,9.17,8.0,34.33,34.52,33.80,0.00,33.80
9,키움,19,32.85,5658,92.1,6.0,10.4,108.5,3.0,-18.2,-15.2,111.5,93.3,277.8,371.1,9.33,9.3,32.61,34.29,32.46,0.39,32.85
10,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
11,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
12,NC,15,32.62,5727,81.2,13.3,-2.3,92.2,25.4,-17.7,7.6,117.5,99.8,312.5,412.4,10.74,8.8,30.85,31.83,30.27,2.35,32.62
13,KIA,17,32.04,5841,99.1,3.1,5.1,107.3,8.4,-28.9,-20.4,115.7,86.9,321.3,408.2,10.69,7.7,33.13,33.87,31.25,0.79,32.04
14,두산,15,30.34,5759,90.1,0.9,13.4,104.4,-14.3,-19.4,-33.7,90.0,70.6,314.3,384.9,11.05,6.3,32.07,33.39,31.61,-1.27,30.34
15,두산,20,30.30,5773,105.3,0.0,-5.2,100.1,-10.3,-21.9,-32.2,89.8,67.9,310.2,378.1,10.39,6.2,33.73,33.24,31.25,-0.95,30.30
16,삼성,14,30.29,5152,53.1,11.0,1.9,66.0,4.2,-18.5,-14.3,70.2,51.7,293.8,345.5,11.41,4.5,30.42,31.54,29.92,0.37,30.29
17,LG,20,30.23,5681,64.0,-1.9,-4.0,58.1,32.9,-19.3,13.5,91.0,71.6,305.2,376.9,10.62,6.6,29.48,28.92,27.14,3.09,30.23
18,두산,19,30.16,5669,64.1,2.3,-3.2,63.1,21.2,-19.3,2.0,84.4,65.1,278.4,343.5,9.67,6.5,29.99,29.88,27.97,2.19,30.16
19,삼성,13,29.91,5042,60.9,-0.8,-4.4,55.7,0.0,-8.9,-8.9,55.7,46.8,251.3,298.2,9.97,4.7,31.32,30.80,29.91,0.00,29.91
20,넥센,15,29.83,5811,116.6,-1.4,-11.6,103.6,-19.4,-20.7,-40.1,84.2,63.5,317.1,380.7,10.56,5.6,34.71,33.50,31.63,-1.80,29.83
21,NC,16,29.26,5833,67.3,5.7,2.9,75.9,3.9,-21.0,-17.1,79.8,58.8,332.8,391.6,11.23,5.0,29.93,30.68,28.87,0.38,29.26
22,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
23,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
24,NC,19,29.22,5631,51.0,-3.7,-0.5,46.8,26.9,-15.3,11.6,73.7,58.5,276.5,335.0,9.63,5.8,28.43,28.00,26.43,2.79,29.22
25,SSG,21,29.09,5736,60.1,-0.4,5.1,64.8,8.6,-19.6,-10.9,73.4,53.9,292.0,345.9,10.00,5.2,29.67,30.13,28.21,0.87,29.09
26,넥센,13,28.74,5015,54.4,-3.7,-5.2,45.6,0.0,-9.0,-9.0,45.6,36.6,250.0,286.6,9.97,3.7,30.53,29.65,28.74,0.00,28.74
27,KT,20,28.65,5762,48.5,-2.4,5.0,51.1,22.0,-20.4,1.5,73.1,52.6,309.6,362.2,10.42,4.6,28.20,28.45,26.58,2.07,28.65
28,NC,17,28.53,5790,49.9,7.4,-9.6,47.7,22.6,-19.8,2.7,70.2,50.4,318.5,368.9,10.92,4.4,28.46,28.24,26.45,2.08,28.53
29,키움,20,27.83,5721,31.0,10.1,7.4,48.5,16.0,-19.9,-3.9,64.5,44.6,307.4,352.0,10.59,4.0,26.57,28.21,26.34,1.49,27.83
30,두산,14,27.50,5083,28.3,1.9,-0.2,30.1,7.5,-13.7,-6.3,37.6,23.8,289.9,313.7,11.41,2.1,27.90,28.05,26.85,0.66,27.50
31,KIA,22,27.23,5703,64.3,4.1,-7.6,60.9,-0.1,-25.7,-25.8,60.8,35.1,279.3,314.4,9.60,3.5,30.21,29.85,27.23,0.00,27.23
32,SSG,22,27.15,5642,13.7,0.9,6.7,21.2,37.7,-21.9,15.8,58.9,37.0,276.3,313.3,9.60,3.6,24.72,25.50,23.25,3.90,27.15
33,KT,19,25.77,5572,19.0,0.0,0.3,19.3,23.9,-16.4,7.5,43.2,26.8,273.6,300.4,9.58,2.6,24.90,24.93,23.28,2.49,25.77
34,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
35,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
36,SK,18,25.52,5682,26.8,4.0,-6.1,24.7,18.3,-20.7,-2.4,43.0,22.4,321.8,344.2,11.18,1.8,25.91,25.73,23.89,1.63,25.52
37,LG,19,25.51,5532,-7.4,-0.3,14.7,7.0,35.4,-17.4,18.0,42.4,25.0,271.6,296.7,9.68,2.5,22.13,23.61,21.84,3.67,25.51
38,SK,13,25.40,4950,10.9,-0.1,-2.0,8.8,0.0,-2.3,-2.3,8.8,6.5,246.8,253.3,9.97,0.7,25.84,25.63,25.40,0.00,25.40
39,두산,21,24.76,5645,50.6,-1.6,-1.7,47.3,-14.3,-19.4,-33.7,33.0,13.7,287.4,301.0,10.06,1.2,28.33,28.01,26.14,-1.39,24.76
40,롯데,14,24.72,5194,-1.2,-6.1,-1.9,-9.2,14.0,-19.0,-5.0,4.7,-14.3,296.2,282.0,11.41,-1.2,25.87,25.16,23.49,1.23,24.72
41,NC,14,24.66,5031,-21.8,9.5,6.7,-5.6,18.2,-18.3,-0.1,12.6,-5.7,286.9,281.2,11.41,-0.5,23.24,24.67,23.06,1.59,24.66
42,SK,14,24.56,5082,-10.1,6.0,3.0,-1.1,8.3,-16.8,-8.5,7.2,-9.6,289.8,280.2,11.41,-0.8,24.52,25.31,23.83,0.73,24.56
43,LG,13,24.48,4934,6.1,-4.6,4.3,5.8,0.0,-7.6,-7.6,5.8,-1.9,246.0,244.1,9.97,-0.2,25.28,25.25,24.48,0.00,24.48
44,KIA,18,24.48,5744,55.7,1.1,-0.3,56.5,-28.4,-20.2,-48.6,28.2,7.9,325.3,333.3,10.74,0.5,28.67,28.73,26.96,-2.48,24.48
45,넥센,18,24.21,5780,7.9,5.6,5.5,19.0,6.8,-21.5,-14.6,25.9,4.4,327.4,331.7,10.82,0.1,24.48,25.47,23.60,0.61,24.21
46,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
47,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
48,SK,12,24.08,4996,22.3,-11.3,-5.3,5.8,0.0,-14.0,-14.0,5.8,-8.2,229.2,220.9,9.17,-0.9,27.41,25.61,24.08,0.00,24.08
49,KIA,12,23.96,5131,-10.4,3.1,-3.3,-10.6,0.0,-4.9,-4.9,-10.6,-15.5,235.4,219.9,9.17,-1.7,24.52,24.50,23.96,0.00,23.96
50,KT,21,23.85,5619,3.6,0.7,4.9,9.2,14.4,-17.7,-3.2,23.6,6.0,286.0,292.0,10.02,0.4,23.53,24.08,22.37,1.48,23.85
51,넥센,12,23.82,5021,-6.1,4.9,1.9,0.7,0.0,-12.5,-12.5,0.7,-11.8,230.3,218.6,9.17,-1.3,24.44,25.19,23.82,0.00,23.82
52,LG,21,23.74,5533,-5.4,2.0,4.6,1.3,26.5,-19.4,7.2,27.8,8.4,281.7,290.1,10.01,0.7,22.29,22.94,21.04,2.70,23.74
53,LG,12,23.42,5180,-12.8,2.5,-5.0,-15.2,0.0,-7.5,-7.5,-15.2,-22.7,237.6,214.9,9.17,-2.5,24.51,24.24,23.42,0.00,23.42
54,넥센,16,23.33,5702,2.5,-4.4,20.9,19.0,-1.7,-21.0,-22.7,17.3,-3.7,325.3,321.6,11.42,-0.4,23.86,25.31,23.47,-0.14,23.33
55,키움,21,23.29,5645,-2.0,6.3,5.3,9.5,9.2,-18.7,-9.5,18.7,-0.0,287.4,287.3,10.11,-0.2,23.08,24.20,22.34,0.95,23.29
56,LG,18,23.04,5665,16.7,-2.9,5.1,18.9,-1.3,-21.8,-23.1,17.6,-4.2,320.8,316.7,11.03,-0.6,24.87,25.07,23.14,-0.10,23.04
57,NC,21,22.93,5532,29.8,-1.6,-0.7,27.5,-9.1,-17.5,-26.6,18.4,1.0,281.6,282.6,10.05,-0.1,25.77,25.53,23.83,-0.90,22.93
58,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
59,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
60,KIA,13,22.70,5051,-17.8,5.9,-6.0,-17.9,0.0,-7.6,-7.6,-17.9,-25.5,251.8,226.3,9.97,-2.6,23.47,23.46,22.70,0.00,22.70
61,삼성,16,22.52,5863,-2.7,2.1,0.7,0.1,3.6,-21.9,-18.3,3.7,-18.2,334.5,316.3,11.26,-1.9,23.84,24.09,22.21,0.31,22.52
62,키움,22,22.49,5655,-6.8,1.6,3.3,-1.8,10.3,-15.4,-5.1,8.5,-6.9,276.9,270.0,9.58,-1.1,22.53,23.03,21.43,1.05,22.49
63,한화,12,22.28,5057,-4.0,-2.5,-8.8,-15.3,0.0,-12.2,-12.2,-15.3,-27.5,232.0,204.5,9.17,-3.0,24.85,23.62,22.28,0.00,22.28
64,롯데,15,22.28,5680,18.7,-2.0,-22.6,-6.0,5.5,-11.7,-6.2,-0.5,-12.2,310.0,297.8,10.55,-1.4,25.06,22.77,21.70,0.58,22.28
65,LG,16,22.20,5765,-19.4,-4.4,4.9,-18.9,21.5,-21.5,-0.0,2.6,-18.9,328.9,310.0,11.26,-1.8,22.15,22.18,20.29,1.91,22.20
66,롯데,18,22.05,5764,28.8,-0.5,1.5,29.8,-27.4,-21.5,-48.9,2.3,-19.2,326.4,307.3,11.18,-2.0,26.25,26.33,24.47,-2.42,22.05
67,롯데,16,21.94,5784,0.0,3.5,-14.3,-10.8,5.2,-16.1,-10.9,-5.6,-21.7,330.0,308.3,11.15,-2.2,23.86,22.87,21.46,0.48,21.94
68,삼성,21,21.79,5552,4.1,2.4,0.8,7.3,-0.6,-18.8,-19.4,6.7,-12.1,282.6,270.5,9.83,-1.3,23.39,23.70,21.87,-0.07,21.79
69,KT,22,21.64,5547,-31.6,1.1,10.3,-20.1,24.4,-17.2,7.2,4.2,-13.0,271.7,258.7,9.67,-1.5,19.67,20.85,19.09,2.55,21.64
70,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
71,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
72,넥센,17,21.50,5712,17.7,1.7,-4.1,15.3,-21.4,-17.5,-38.9,-6.1,-23.6,314.2,290.6,10.74,-2.3,25.27,25.03,23.45,-1.95,21.50
73,롯데,12,21.38,5043,-18.6,0.1,-4.1,-22.6,0.0,-12.6,-12.6,-22.6,-35.2,231.3,196.1,9.17,-3.8,23.19,22.75,21.38,0.00,21.38
74,KIA,16,21.30,5696,-6.8,1.0,3.1,-2.7,-1.4,-21.1,-22.6,-4.1,-25.2,325.0,299.7,11.26,-2.4,22.85,23.22,21.40,-0.10,21.30
75,SK,16,21.17,5672,-3.2,-6.3,-8.7,-18.2,10.3,-18.7,-8.4,-7.9,-26.7,323.6,296.9,11.26,-2.5,23.23,21.90,20.23,0.94,21.17
76,NC,22,21.13,5585,-0.3,1.2,-3.9,-3.0,1.7,-17.5,-15.7,-1.2,-18.7,273.5,254.8,9.67,-2.1,22.99,22.71,20.93,0.21,21.13
77,롯데,21,21.09,5726,37.5,-3.2,-6.1,28.2,-34.5,-20.7,-55.1,-6.2,-26.9,291.5,264.6,10.03,-2.8,27.43,26.51,24.48,-3.39,21.09
78,삼성,18,20.68,5766,-30.5,-0.7,7.8,-23.4,8.8,-20.4,-11.6,-14.6,-35.0,326.6,291.6,11.17,-3.3,21.04,21.67,19.89,0.80,20.68
79,두산,12,20.59,4938,-43.3,0.3,-4.1,-47.2,0.0,9.5,9.5,-47.2,-37.6,226.5,188.9,9.17,-4.1,19.97,19.55,20.59,0.00,20.59
80,SK,17,20.30,5564,-8.3,-5.9,4.3,-10.0,1.7,-20.7,-19.1,-8.3,-29.0,306.0,277.0,10.79,-2.9,22.18,22.02,20.14,0.16,20.30
81,롯데,20,19.78,5669,-4.6,3.2,-9.9,-11.2,-8.2,-19.9,-28.1,-19.4,-39.3,304.6,265.3,10.43,-3.8,23.00,22.35,20.52,-0.74,19.78
82,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
83,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
84,LG,17,19.61,5614,-57.3,-7.4,4.4,-60.3,40.6,-20.3,20.3,-19.6,-39.9,308.8,268.9,10.86,-3.8,17.95,17.67,15.83,3.79,19.61
85,롯데,13,19.58,4978,-47.1,-0.3,-1.3,-48.6,0.0,-4.3,-4.3,-48.6,-53.0,248.2,195.2,9.97,-5.3,20.16,20.01,19.58,0.00,19.58
86,SK,19,19.54,5542,-17.0,0.7,-2.3,-18.6,3.8,-17.8,-14.0,-14.7,-32.6,272.1,239.6,9.47,-3.6,21.06,20.90,19.10,0.44,19.54
87,롯데,17,19.38,5671,-18.5,1.3,-1.5,-18.8,-5.6,-20.1,-25.7,-24.3,-44.4,311.9,267.5,10.78,-4.3,21.74,21.71,19.90,-0.52,19.38
88,한화,15,19.11,5713,-79.4,-5.4,18.3,-66.5,36.6,-17.4,19.2,-29.9,-47.2,311.8,264.5,10.75,-4.7,16.08,17.25,15.68,3.43,19.11
89,삼성,22,18.30,5647,-7.6,4.2,-5.4,-8.8,-21.9,-16.8,-38.7,-30.7,-47.5,276.6,229.0,9.67,-5.2,22.43,22.29,20.58,-2.28,18.30
90,LG,14,18.23,5070,-38.4,-10.5,-2.5,-51.4,-9.4,-20.4,-29.8,-60.8,-81.2,289.1,208.0,11.41,-7.1,21.98,20.84,19.05,-0.82,18.23
91,삼성,17,17.49,5707,-60.6,5.6,1.0,-54.0,7.1,-19.9,-12.8,-47.0,-66.8,313.9,247.1,11.01,-6.3,17.97,18.59,16.81,0.68,17.49
92,삼성,19,17.44,5533,-35.1,1.9,-4.6,-37.9,1.4,-17.2,-15.8,-36.5,-53.6,271.7,218.1,9.61,-5.6,19.30,19.02,17.27,0.18,17.44
93,SK,15,16.74,5588,-37.6,-8.3,14.8,-31.1,-24.6,-13.6,-38.2,-55.6,-69.3,305.0,235.7,10.84,-6.5,19.65,20.25,19.00,-2.26,16.74
94,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
95,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
96,한화,13,16.56,4915,-59.0,-9.1,-13.7,-81.7,0.0,1.8,1.8,-81.7,-79.9,245.0,165.1,9.97,-8.0,18.66,16.38,16.56,0.00,16.56
97,삼성,20,16.53,5574,-67.6,3.3,7.8,-56.5,6.5,-19.3,-12.8,-50.1,-69.4,299.5,230.1,10.66,-6.7,16.67,17.71,15.90,0.63,16.53
98,KIA,14,16.50,5023,-37.7,-6.1,0.8,-43.0,-36.7,-18.6,-55.3,-79.6,-98.3,286.5,188.2,11.41,-8.6,21.81,21.35,19.71,-3.21,16.50
99,한화,17,15.79,5665,-28.1,-4.4,-4.6,-37.1,-18.7,-26.3,-45.0,-55.7,-82.0,311.6,229.6,10.74,-7.8,20.69,19.86,17.50,-1.71,15.79
100,KIA,19,15.27,5505,-26.6,-2.2,-6.4,-35.1,-23.4,-14.2,-37.6,-58.5,-72.7,270.3,197.6,9.67,-7.7,19.96,19.08,17.66,-2.39,15.27
101,두산,22,15.13,5510,-20.2,-1.1,-4.8,-26.0,-31.1,-17.9,-49.0,-57.1,-75.1,269.8,194.8,9.72,-7.8,20.74,20.14,18.32,-3.19,15.13
102,KIA,20,14.92,5637,-12.0,-2.6,-9.8,-24.4,-41.9,-21.3,-63.2,-66.4,-87.6,302.9,215.3,10.20,-8.6,21.87,20.70,18.79,-3.87,14.92
103,한화,16,14.37,5838,-38.3,-0.0,-13.4,-51.7,-35.2,-21.9,-57.1,-86.8,-108.7,333.1,224.3,11.20,-10.0,20.56,19.38,17.49,-3.12,14.37
104,한화,14,14.08,5055,-81.5,-5.0,-7.0,-93.5,-22.8,-11.4,-34.2,-116.3,-127.7,288.3,160.6,11.41,-11.2,18.13,17.08,16.08,-2.00,14.08
105,한화,18,14.01,5539,-88.7,-6.4,-4.8,-99.9,19.7,-20.2,-0.6,-80.2,-100.4,313.7,213.3,10.89,-9.1,15.01,14.01,12.22,1.79,14.01
106,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
107,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
108,한화,21,13.91,5495,-85.0,-4.0,-2.2,-91.2,20.4,-16.2,4.3,-70.8,-86.9,279.7,192.8,9.93,-9.0,14.12,13.49,11.86,2.05,13.91
109,한화,19,13.81,5482,-50.6,-2.3,-5.1,-58.0,-11.4,-17.1,-28.5,-69.3,-86.5,269.2,182.7,9.70,-9.0,17.48,16.73,14.98,-1.17,13.81
110,NC,13,13.35,4866,-90.6,6.5,-0.7,-84.8,0.0,-24.7,-24.7,-84.8,-109.5,242.6,133.1,9.97,-11.0,15.25,15.82,13.35,0.00,13.35
111,KT,18,13.26,5605,-48.5,-10.6,-10.6,-69.7,-21.0,-20.1,-41.2,-90.7,-110.9,317.4,206.6,11.03,-10.1,18.79,16.90,15.12,-1.86,13.26
112,한화,22,12.83,5513,-69.7,-4.2,1.0,-72.8,-6.8,-16.8,-23.6,-79.6,-96.4,270.0,173.6,9.57,-10.1,15.57,15.23,13.49,-0.66,12.83
113,kt,15,12.55,5605,-87.4,1.0,0.2,-86.2,-39.1,10.7,-28.5,-125.3,-114.6,305.9,191.3,10.80,-10.8,15.00,15.13,16.15,-3.60,12.55
114,NC,18,11.22,5488,-128.6,0.7,0.1,-127.8,16.9,-17.5,-0.5,-110.8,-128.3,310.8,182.5,10.93,-11.6,11.15,11.22,9.68,1.54,11.22
115,롯데,22,11.12,5534,-26.6,-6.5,-8.1,-41.2,-53.8,-18.3,-72.1,-95.0,-113.3,271.0,157.7,9.91,-11.9,19.97,18.46,16.62,-5.50,11.12
116,LG,15,10.81,5599,-63.1,-5.9,-4.6,-73.6,-48.8,-11.6,-60.5,-122.4,-134.1,305.6,171.5,10.94,-12.5,17.32,16.34,15.28,-4.48,10.81
117,SK,20,10.17,5502,-108.3,-5.0,3.1,-110.2,-2.4,-20.2,-22.6,-112.6,-132.8,295.6,162.8,10.61,-12.8,12.43,12.25,10.38,-0.21,10.17
118,이름,팀,정렬,타석,공격 RAA,공격 RAA,공격 RAA,공격 RAA,수비 RAA,수비 RAA,수비 RAA,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
119,이름,팀,WAR,타석,타격,도루,주루,종합,수비,포지션,종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR*,dWAA,WAR
120,KIA,21,8.52,5577,-93.3,-0.5,-13.1,-107.0,-21.1,-18.8,-39.9,-128.1,-146.9,283.9,137.0,10.01,-14.7,13.84,12.47,10.61,-2.08,8.52
121,kt,16,7.82,5620,-133.0,2.1,-2.9,-133.8,-19.0,-20.2,-39.2,-152.9,-173.1,320.6,147.6,11.26,-15.6,11.36,11.28,9.51,-1.69,7.82
122,KIA,15,6.75,5454,-156.4,0.1,-8.0,-164.3,12.5,-18.2,-5.7,-151.8,-170.0,297.6,127.7,10.85,-16.0,7.90,7.16,5.51,1.25,6.75
123,kt,17,6.11,5484,-120.7,-3.6,-5.1,-129.4,-39.1,-12.1,-51.2,-168.5,-180.6,301.6,121.0,10.81,-16.7,11.63,10.83,9.72,-3.61,6.11
124,롯데,19,4.23,5488,-89.7,-2.5,-3.9,-96.1,-65.0,-17.6,-82.6,-161.1,-178.6,269.5,90.8,9.66,-18.6,13.35,12.68,10.91,-6.68,4.23
125,한화,20,2.67,5483,-168.7,-6.9,0.7,-174.8,-21.2,-16.2,-37.5,-196.0,-212.3,294.6,82.3,10.48,-20.2,6.80,6.21,4.66,-1.98,2.67
