,순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
0,1,삼성,12,33.80,1668,5161,4436,628,1205,200,26,89,1724,585,125,48,500,86,19,813,91,91,47,.272,.353,.389,.742,.344,113.9,33.80,
1,2,SK,12,24.08,1642,4996,4347,564,1120,197,15,108,1671,523,104,75,445,58,19,864,85,118,28,.258,.333,.384,.717,.330,103.9,24.08,
2,3,KIA,12,23.96,1613,5131,4348,553,1112,197,19,54,1509,518,132,51,544,60,18,790,100,132,47,.256,.343,.347,.690,.321,98.1,23.96,
3,4,넥센,12,23.82,1626,5021,4338,549,1056,189,28,102,1607,509,179,72,476,72,17,892,79,92,43,.243,.325,.370,.696,.322,98.7,23.82,
4,5,LG,12,23.42,1733,5180,4539,544,1184,212,18,59,1609,512,140,57,458,53,19,857,107,80,50,.261,.332,.354,.687,.321,97.7,23.42,
5,6,한화,12,22.28,1769,5057,4331,509,1077,208,12,71,1522,479,107,53,538,61,17,907,102,100,27,.249,.338,.351,.690,.323,99.1,22.28,
6,7,롯데,12,21.38,1701,5043,4481,509,1179,202,16,73,1632,479,119,53,375,54,19,890,91,107,26,.263,.326,.364,.690,.319,96.5,21.38,
7,8,두산,12,20.59,1645,4938,4379,524,1139,172,26,59,1540,490,116,51,362,54,12,659,129,102,40,.260,.322,.352,.673,.313,91.9,20.59,
8,1,두산,13,34.07,1649,5142,4401,699,1271,217,37,95,1847,654,172,61,524,79,19,717,105,82,56,.289,.370,.420,.790,.363,114.5,34.07,
9,2,삼성,13,29.91,1616,5042,4370,669,1235,212,17,113,1820,624,95,41,453,93,9,818,98,84,41,.283,.359,.416,.776,.357,110.1,29.91,
10,3,넥센,13,28.74,1581,5015,4294,646,1167,209,11,125,1773,607,131,65,505,98,12,912,94,76,42,.272,.358,.413,.771,.355,109.1,28.74,
11,4,SK,13,25.40,1556,4950,4278,588,1134,189,20,124,1735,558,144,63,465,86,25,918,99,83,37,.265,.346,.406,.752,.344,101.7,25.40,
12,5,LG,13,24.48,1613,4934,4291,616,1210,194,38,59,1657,574,139,71,451,59,11,806,80,91,42,.282,.355,.386,.741,.343,100.9,24.48,
13,6,KIA,13,22.70,1598,5051,4318,587,1125,195,13,88,1610,545,141,47,537,75,8,864,110,78,42,.261,.349,.373,.722,.337,96.9,22.70,
14,7,롯데,13,19.58,1564,4978,4289,556,1118,208,18,61,1545,522,133,58,502,72,22,862,92,74,41,.261,.345,.360,.705,.330,91.9,19.58,
15,8,한화,13,16.56,1645,4915,4271,480,1106,212,13,47,1485,448,70,49,479,80,11,933,140,54,30,.259,.343,.348,.690,.327,89.8,16.56,
16,9,NC,13,13.35,1681,4866,4282,512,1045,209,25,86,1562,485,142,47,434,62,11,955,94,55,31,.244,.320,.365,.685,.319,84.3,13.35,
17,1,넥센,14,33.72,1573,5163,4434,841,1323,275,31,199,2257,786,100,44,523,101,10,849,100,65,40,.298,.382,.509,.891,.388,115.7,33.72,20.41
18,2,삼성,14,29.92,1590,5152,4464,812,1345,238,23,161,2112,763,161,46,507,62,11,743,88,76,43,.301,.377,.473,.850,.374,107.9,29.92,20.50
19,3,두산,14,26.85,1585,5083,4427,687,1299,235,26,108,1910,646,111,44,468,64,10,731,103,81,43,.293,.366,.431,.798,.356,104.7,26.85,8.74
20,4,SK,14,23.83,1537,5082,4423,735,1285,245,22,115,1919,696,139,46,447,72,12,926,92,91,49,.291,.362,.434,.795,.353,99.5,23.83,15.99
21,5,롯데,14,23.49,1615,5194,4487,716,1289,252,26,121,1956,686,63,41,534,70,19,964,95,62,41,.287,.369,.436,.805,.359,100.1,23.49,6.52
22,6,NC,14,23.06,1743,5031,4426,737,1249,228,36,143,1978,697,154,47,443,67,9,918,90,44,51,.282,.353,.447,.800,.354,97.6,23.06,12.02
23,7,KIA,14,19.71,1671,5023,4443,662,1279,246,27,121,1942,631,121,63,416,62,11,870,95,67,35,.288,.355,.437,.792,.351,95.8,19.71,5.43
24,8,LG,14,19.05,1658,5070,4349,667,1214,213,22,90,1741,623,104,64,524,63,16,817,112,77,57,.279,.361,.400,.761,.343,95.6,19.05,7.69
25,9,한화,14,16.08,1589,5055,4417,619,1251,223,24,104,1834,594,70,41,490,55,5,839,125,50,43,.283,.359,.415,.774,.349,89.3,16.08,9.13
26,1,삼성,15,33.76,1771,5803,5019,897,1515,259,25,176,2352,850,157,52,581,70,21,930,109,76,57,.302,.378,.469,.847,.373,115.3,33.76,19.23
27,2,넥센,15,31.63,1769,5811,5069,904,1512,304,20,203,2465,855,100,47,544,82,18,1098,112,61,55,.298,.372,.486,.858,.376,115.4,31.63,19.10
28,3,두산,15,31.61,1704,5759,4957,807,1436,254,22,140,2154,770,111,47,567,99,24,820,139,75,60,.290,.370,.435,.804,.358,112.1,31.61,14.48
