,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
0,1,리그,14,0.00,45853,0.00,1023,436,70.1,17558,8.3,250,928,76,2,147,381,32,15,63.0,70.9,70.4,11.8,0,71,736,95,180
1,2,리그,16,0.00,57614,0.00,1058,547,65.9,22392,7.2,275,947,100,11,151,486,43,18,64.6,66.1,69.9,37.9,14,87,979,97,167
2,3,리그,19,0.00,55612,0.00,987,423,70.0,20504,6.9,216,884,97,6,126,377,36,10,63.2,70.1,72.9,37.5,9,75,815,104,124
3,4,리그,18,0.00,56903,0.00,928,410,69.4,21026,6.4,214,838,78,12,121,367,24,19,63.9,69.5,76.5,38.7,3,75,872,136,126
4,5,리그,20,0.00,56635,0.00,892,376,70.4,21173,6.0,148,831,55,6,96,335,31,10,60.7,71.3,64.0,37.5,1,77,876,108,122
5,6,리그,22,-0.00,55963,-0.00,889,366,70.8,20547,6.1,201,807,71,11,102,325,16,25,66.3,71.3,81.6,30.6,2,61,810,103,128
6,7,리그,21,-0.00,56060,-0.00,940,394,70.5,21303,6.3,208,848,87,5,98,340,35,19,68.0,71.4,71.3,20.8,4,82,797,107,121
7,8,리그,17,-0.00,56881,-0.00,778,407,65.7,21272,5.6,179,711,62,5,122,347,35,25,59.5,67.2,63.9,16.7,4,77,978,124,139
8,9,리그,15,-0.00,56739,-0.00,1202,526,69.6,21258,8.1,353,1074,121,7,174,468,36,22,67.0,69.7,77.1,24.1,16,111,1015,112,162
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
11,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
12,1,NC,15,13.29,5727,13.29,204,60,77.3,2221,11.9,63,186,18,0,24,51,8,1,72.4,78.5,69.2,0.0,1,14,86,21,17
13,2,삼성,14,10.96,5152,10.96,161,46,77.8,1989,10.4,35,152,8,0,14,34,6,5,71.4,81.7,57.1,0.0,0,10,107,6,22
