,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
0,1,리그,22,144.2,55963,144.2,133.1,120.4,128.5,130.7,142.1,108.5,,42.2,23.1,9.5,9.9,6.2,9.0,0.0,0.0,66.2,31.3,46.2,86.8,65.2,78.4,42.8
1,2,리그,21,142.9,56060,142.9,131.8,119.9,128.0,130.5,141.0,108.9,101.3,43.3,21.9,8.9,10.9,5.7,9.3,0.0,0.0,64.6,28.8,44.2,87.0,64.9,78.8,43.2
2,3,리그,18,142.6,56903,142.6,131.7,118.3,128.3,130.6,139.3,118.2,105.4,44.8,20.8,10.5,9.7,7.0,7.1,0.2,0.0,67.4,30.2,46.4,86.3,65.3,78.6,43.7
3,4,리그,20,142.3,56635,142.3,131.8,119.6,127.9,130.2,140.7,107.0,124.0,42.9,21.5,9.1,10.5,5.7,10.2,0.1,0.0,67.0,28.9,45.6,87.4,65.9,79.8,43.9
4,5,리그,19,142.2,55612,142.2,132.0,120.0,127.4,130.5,140.9,89.5,,41.1,21.2,10.5,9.1,6.3,11.8,0.0,0.0,67.3,29.3,45.9,87.5,66.0,79.8,43.6
5,6,리그,16,141.5,57614,141.5,130.0,117.1,127.4,132.4,138.5,111.8,58.8,50.8,22.0,8.8,7.1,6.3,4.4,0.0,0.6,65.2,26.0,45.2,87.5,61.8,79.9,49.0
6,7,리그,17,141.3,56881,141.3,130.4,117.1,126.5,129.5,138.3,119.5,108.1,46.9,20.2,9.5,8.6,8.2,6.1,0.3,0.3,67.8,29.0,46.0,87.6,66.5,80.2,43.9
7,8,리그,15,141.3,56739,141.3,130.0,117.5,126.9,129.3,136.5,122.2,99.4,51.0,22.2,10.5,6.2,3.7,3.3,0.1,3.0,64.0,24.8,44.7,86.9,60.6,79.7,50.6
8,9,리그,14,141.0,45853,141.0,129.5,117.8,127.5,129.4,133.0,121.3,126.5,59.2,18.2,9.7,6.8,4.0,1.3,0.1,0.7,63.4,26.0,44.0,88.1,64.4,80.8,48.1
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
11,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
12,1,LG,22,144.7,5627,144.7,133.4,120.2,129.3,131.1,142.2,,,41.5,23.2,9.7,10.0,6.3,9.3,0.0,0.0,67.1,30.8,46.5,87.7,67.1,79.9,43.0
13,2,NC,22,144.4,5585,144.4,132.9,120.8,129.3,130.4,141.5,111.0,,42.9,22.7,9.5,9.7,6.1,9.2,0.0,0.0,66.2,30.3,45.9,88.4,65.3,79.7,43.4
14,3,키움,22,144.4,5655,144.4,133.1,119.9,128.3,130.9,142.8,,,44.4,23.5,9.1,9.2,6.7,7.1,0.0,0.0,64.2,30.2,44.7,87.1,65.9,78.9,42.6
15,4,SSG,22,144.4,5642,144.4,133.3,121.2,128.7,131.2,142.6,,,41.6,22.6,10.2,10.5,6.7,8.4,0.0,0.0,66.8,32.5,46.9,86.1,64.6,77.5,42.0
16,5,두산,22,144.3,5510,144.3,133.5,120.6,128.5,131.2,142.4,,,38.9,21.4,9.7,11.2,6.1,12.7,0.0,0.0,67.5,33.4,47.7,87.3,65.1,78.3,42.0
17,6,KIA,22,144.3,5703,144.3,133.2,120.3,128.0,130.4,143.5,,,43.6,23.2,9.5,10.3,6.0,7.4,0.0,0.0,68.7,30.7,46.9,87.8,65.8,79.6,42.6
18,7,삼성,22,144.2,5647,144.2,133.2,120.8,128.5,130.9,142.4,106.7,,41.7,23.2,10.0,8.1,7.0,10.0,0.0,0.0,63.8,32.9,46.2,87.3,66.7,78.9,42.9
19,8,한화,22,144.1,5513,144.1,133.0,120.7,128.5,130.9,141.4,112.5,,40.7,23.2,8.9,10.8,6.3,10.1,0.0,0.0,65.8,29.3,45.6,83.8,61.0,75.7,44.7
20,9,롯데,22,143.8,5534,143.8,132.9,119.5,127.9,130.1,141.7,100.0,,43.5,24.5,9.0,10.5,5.2,7.2,0.0,0.0,66.1,32.9,47.0,87.7,65.4,78.7,42.4
21,10,SSG,21,143.5,5736,143.5,132.3,119.8,128.2,131.0,141.5,111.0,101.3,41.4,21.5,8.8,12.9,5.5,9.9,0.0,0.0,65.2,28.8,44.4,87.1,64.7,78.8,43.0
22,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
23,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
24,11,KT,22,143.4,5547,143.4,132.6,119.6,128.1,129.9,141.4,106.0,,43.4,23.7,9.6,9.1,6.0,8.2,0.0,0.0,66.0,29.7,45.0,85.0,64.9,77.3,42.3
25,12,한화,18,143.2,5539,143.2,131.7,118.7,128.6,131.1,139.0,118.1,,45.1,21.1,10.2,9.1,7.3,7.0,0.2,0.0,69.4,31.3,48.3,86.1,63.6,78.0,44.5
26,13,LG,21,143.2,5533,143.2,131.8,119.5,127.9,131.0,140.6,111.0,,44.0,21.8,8.5,11.2,6.5,8.1,0.0,0.0,63.8,28.6,43.6,86.5,67.0,79.1,42.5
27,14,KIA,21,143.1,5577,143.1,132.1,120.4,128.5,130.5,141.2,,,43.6,20.2,9.8,9.8,6.8,9.9,0.0,0.0,65.5,28.4,44.2,88.5,68.4,81.1,42.7
28,15,키움,21,143.0,5645,143.0,131.8,120.4,128.7,130.8,142.3,,,43.7,22.1,9.1,11.1,5.5,8.5,0.0,0.0,64.4,29.0,44.6,87.3,63.1,78.5,44.0
29,16,한화,21,143.0,5495,143.0,132.0,120.0,127.8,130.3,140.5,102.7,,41.6,22.3,8.5,10.6,5.7,11.3,0.0,0.0,62.3,28.0,43.1,85.0,58.3,75.3,44.0
30,17,두산,21,142.9,5645,142.9,131.6,119.6,127.9,130.9,141.1,115.0,,41.8,23.4,9.6,10.2,5.4,9.5,0.0,0.0,67.8,28.8,46.0,86.2,64.1,78.5,44.1
31,18,두산,18,142.9,5870,142.9,131.8,118.2,129.0,130.8,140.4,118.3,,45.4,20.1,9.7,10.4,7.2,6.9,0.4,0.0,70.8,28.5,46.9,86.6,67.1,79.9,43.5
32,19,KT,18,142.9,5605,142.9,132.1,119.2,128.9,130.6,140.3,118.0,,45.2,19.5,11.2,9.5,6.7,7.9,0.0,0.0,65.6,28.8,45.0,85.9,64.3,78.1,43.9
33,20,삼성,21,142.8,5552,142.8,131.8,120.5,127.7,130.1,141.3,117.5,,45.0,22.9,8.0,9.9,5.9,8.3,0.0,0.0,64.2,29.5,44.6,87.8,66.1,79.7,43.5
34,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
35,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
36,21,KIA,18,142.7,5744,142.7,131.6,118.4,128.6,130.4,139.9,119.8,,43.8,21.3,10.0,9.9,6.8,7.9,0.3,0.0,67.5,30.1,46.2,88.0,68.5,80.8,43.0
37,22,LG,18,142.7,5665,142.7,132.1,119.1,129.2,130.9,139.7,121.1,120.0,44.1,21.8,10.1,9.9,6.7,7.2,0.2,0.0,67.5,34.4,47.6,87.0,68.5,79.0,40.0
38,23,NC,21,142.7,5532,142.7,132.0,120.3,128.0,130.4,141.5,104.5,,43.1,21.6,9.2,11.8,4.5,9.7,0.0,0.0,66.0,30.5,45.8,87.0,62.4,77.6,43.0
39,24,두산,19,142.6,5669,142.6,131.7,119.6,127.2,132.0,142.3,,,43.6,21.4,10.2,9.0,5.8,10.0,0.0,0.0,70.5,27.7,46.3,88.4,69.0,81.9,43.5
40,25,롯데,20,142.6,5669,142.6,131.8,119.9,127.2,130.0,140.8,,,42.5,22.7,8.3,10.7,5.5,10.3,0.0,0.0,66.8,28.5,44.8,88.1,71.0,81.9,42.6
41,26,롯데,18,142.5,5764,142.5,131.6,118.2,127.7,130.9,137.7,119.5,,45.1,19.8,10.9,9.5,6.8,7.8,0.1,0.0,68.4,28.1,46.5,85.8,61.3,77.7,45.5
42,27,키움,20,142.5,5721,142.5,131.7,119.5,127.4,130.7,141.4,104.9,,43.0,21.2,8.7,11.0,6.6,9.3,0.1,0.0,64.6,26.7,43.3,87.3,61.5,78.3,43.8
43,28,두산,20,142.5,5773,142.5,131.8,119.9,128.2,130.4,141.1,109.3,121.0,42.6,22.0,8.7,10.7,5.8,9.9,0.1,0.0,68.9,27.3,46.2,89.4,67.7,82.4,45.4
44,29,롯데,21,142.5,5726,142.5,131.4,119.5,127.2,130.0,140.3,,,44.2,22.6,8.8,10.8,4.9,8.7,0.0,0.0,63.1,29.1,43.3,88.3,68.9,80.7,41.7
45,30,삼성,19,142.5,5533,142.5,132.9,121.5,128.0,129.6,141.2,89.5,,40.1,20.6,10.6,8.4,6.9,13.3,0.0,0.0,64.9,28.6,44.7,88.1,65.3,80.0,44.3
46,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
47,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
48,31,NC,19,142.4,5631,142.4,132.3,119.9,128.0,130.5,141.5,,,40.5,20.8,11.0,9.2,6.2,12.3,0.0,0.0,68.5,29.6,46.7,88.5,68.3,81.3,44.0
49,32,넥센,18,142.4,5780,142.4,131.7,118.5,128.0,130.5,139.0,119.7,91.3,43.8,21.3,11.5,10.1,7.1,6.1,0.1,0.0,63.7,29.8,44.4,85.3,62.2,76.5,43.1
50,33,LG,20,142.4,5681,142.4,131.9,119.7,128.9,130.2,142.0,107.3,,43.8,22.4,8.1,10.8,6.1,8.7,0.0,0.0,67.6,30.1,46.2,86.8,67.1,79.4,42.8
