,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
0,1,리그,16,.331,57614,41.7,23.5,34.8,44.2,32.2,16901,9532,14097,17935,13063,5639,4446,4468,6255,3852,.334,.466,.317,.349,.295
1,2,리그,14,.330,45853,42.2,21.1,36.6,45.8,33.0,13581,6797,11788,14752,10617,4817,2862,3837,5398,3256,.355,.421,.326,.366,.307
2,3,리그,18,.329,56903,41.1,22.9,36.0,45.5,31.5,16372,9143,14341,18142,12571,5625,4387,4430,6439,3616,.344,.480,.309,.355,.288
3,4,리그,17,.327,56881,41.7,23.1,35.3,44.8,32.1,16801,9316,14218,18071,12948,5605,4379,4411,6334,3682,.334,.470,.310,.351,.284
4,5,리그,15,.326,56739,41.5,23.3,35.2,44.1,32.7,16110,9030,13646,17088,12668,5268,4382,4151,5813,3606,.327,.485,.304,.340,.285
5,6,리그,20,.313,56635,40.2,23.4,36.5,46.0,30.7,15977,9294,14521,18286,12212,5051,4162,4327,6180,3198,.316,.448,.298,.338,.262
6,7,리그,19,.310,55612,40.1,23.2,36.8,46.3,30.5,15866,9181,14568,18341,12093,4944,3981,4213,5981,3176,.312,.434,.289,.326,.263
7,8,리그,22,.307,55963,40.0,23.0,37.0,45.3,31.7,15514,8931,14363,17583,12294,4710,3767,4325,5802,3233,.304,.422,.301,.330,.263
8,9,리그,21,.304,56060,40.2,22.8,37.0,46.1,31.1,15347,8708,14140,17612,11875,4702,3674,4182,5770,3114,.306,.422,.296,.328,.262
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
11,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
12,1,두산,18,.350,5870,36.1,23.1,40.8,45.1,31.8,1500,962,1697,1876,1321,524,489,587,728,383,.349,.508,.346,.388,.290
13,2,넥센,18,.345,5780,41.8,22.5,35.8,46.7,30.9,1644,883,1406,1835,1215,576,448,457,690,343,.350,.507,.325,.376,.282
14,3,넥센,15,.342,5811,42.7,24.5,32.8,44.6,30.9,1696,973,1301,1771,1226,601,484,426,627,400,.354,.497,.327,.354,.326
15,4,SK,14,.341,5082,41.6,21.2,37.0,43.6,35.0,1454,740,1294,1523,1225,537,318,426,570,393,.369,.430,.329,.374,.321
16,5,롯데,16,.340,5784,41.5,23.7,34.9,42.9,33.5,1633,932,1374,1689,1318,533,457,448,565,416,.326,.490,.326,.335,.316
17,6,넥센,17,.340,5712,41.7,23.2,35.0,44.9,31.8,1681,937,1413,1812,1282,582,458,438,653,367,.346,.489,.310,.360,.286
18,7,롯데,14,.339,5194,42.1,22.3,35.4,44.5,33.1,1483,784,1248,1566,1165,549,338,401,562,388,.370,.431,.321,.359,.333
