,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
,순,이름,팀,타점,타석,타점.1,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
0,1,리그,16,7613,57614,7613,6130,33686,18.2,1172,12344,9.5,23627,0.410,11005,651,407,61.5
1,2,리그,18,7581,56903,7581,5825,32462,17.9,1138,11864,9.6,22890,0.402,10488,447,361,55.3
2,3,리그,17,7273,56881,7273,5726,32439,17.7,1179,11742,10.0,22933,0.403,10762,600,361,62.4
3,4,리그,15,7163,56739,7163,5652,31759,17.8,1147,11512,10.0,22640,0.399,10681,834,418,66.6
4,5,리그,20,7040,56635,7040,5677,32509,17.5,1173,12047,9.7,23126,0.408,10711,486,323,60.1
5,6,리그,21,6512,56060,6512,5355,32621,16.4,1077,12202,8.8,23750,0.424,11081,496,323,60.6
6,7,리그,19,6184,55612,6184,5170,31544,16.4,1122,11599,9.7,22881,0.411,10606,436,376,53.7
7,8,리그,14,6122,45853,6122,4960,26527,18.7,900,9435,9.5,18592,0.406,8708,613,212,74.3
8,9,리그,22,6118,55963,6118,5033,31559,16.0,1076,11548,9.3,23140,0.414,10760,610,337,64.4
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
11,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
12,1,두산,18,898,5870,898,707,3530,20.0,112,1336,8.4,2395,0.408,1109,43,17,71.7
13,2,두산,16,877,5841,877,694,3474,20.0,121,1312,9.2,2380,0.408,1096,43,20,68.3
14,3,KIA,17,868,5841,868,698,3435,20.3,118,1209,9.8,2315,0.396,1105,55,38,59.1
15,4,넥센,15,855,5811,855,652,3336,19.5,112,1181,9.5,2309,0.397,1062,61,40,60.4
16,5,삼성,15,850,5803,850,674,3427,19.7,109,1249,8.7,2326,0.401,1114,76,28,73.1
17,6,NC,20,845,5833,845,658,3386,19.4,106,1253,8.5,2306,0.395,1088,46,29,61.3
18,7,KIA,18,823,5744,823,653,3399,19.2,135,1281,10.5,2351,0.409,1053,56,37,60.2
19,8,두산,17,812,5833,812,634,3420,18.5,120,1244,9.7,2414,0.414,1136,48,20,70.6
20,9,NC,16,808,5833,808,639,3501,18.3,133,1299,10.2,2433,0.417,1145,70,39,64.2
21,10,NC,15,802,5727,802,641,3246,19.8,105,1058,9.9,2270,0.396,1083,64,30,68.1
22,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
23,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
24,11,삼성,16,792,5863,792,650,3543,18.4,119,1313,9.1,2481,0.423,1137,88,35,71.5
25,,롯데,18,792,5764,792,589,3293,17.9,124,1206,10.3,2310,0.401,1071,45,41,52.3
26,13,SK,18,791,5682,791,558,3156,17.7,103,1114,9.3,2227,0.392,1043,54,31,63.5
27,14,넥센,18,787,5780,787,622,3395,18.3,93,1174,7.9,2412,0.417,1100,32,37,46.4
28,,한화,16,787,5838,787,645,3502,18.4,123,1295,9.5,2420,0.415,1105,87,54,61.7
29,16,넥센,14,786,5163,786,587,2964,19.8,100,1039,9.6,2068,0.401,962,65,19,77.4
30,17,두산,20,776,5773,776,651,3484,18.7,132,1329,9.9,2422,0.420,1115,38,19,66.7
31,18,두산,15,770,5759,770,630,3355,18.8,139,1281,10.9,2361,0.410,1101,75,29,72.1
32,19,KT,20,767,5762,767,604,3362,18.0,104,1244,8.4,2376,0.412,1094,64,48,57.1
33,20,넥센,16,765,5702,765,631,3250,19.4,121,1102,11.0,2264,0.397,1054,34,32,51.5
34,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
35,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
36,21,삼성,14,763,5152,763,602,2886,20.9,88,947,9.3,1950,0.379,937,76,25,75.3
37,22,LG,20,760,5681,760,611,3159,19.3,115,1154,10.0,2195,0.386,1013,49,26,65.3
38,23,KIA,16,754,5696,754,584,3156,18.5,109,1139,9.6,2220,0.390,1054,66,48,57.9
39,24,넥센,17,748,5712,748,607,3468,17.5,129,1307,9.9,2462,0.431,1103,21,27,43.8
40,25,LG,16,744,5765,744,626,3369,18.6,92,1218,7.6,2366,0.410,1104,65,48,57.5
41,26,키움,19,741,5658,741,629,3384,18.6,122,1260,9.7,2396,0.424,1075,36,36,50.0
42,27,LG,18,740,5665,740,592,3286,18.0,125,1237,10.1,2290,0.404,1037,51,46,52.6
43,28,NC,17,739,5790,739,590,3541,16.7,119,1256,9.5,2492,0.430,1168,62,32,66.0
44,29,SK,17,733,5564,733,499,2914,17.1,97,1053,9.2,2098,0.377,995,57,36,61.3
45,30,롯데,16,732,5784,732,605,3516,17.2,120,1283,9.4,2497,0.432,1168,62,50,55.4
46,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
47,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
48,,삼성,18,732,5766,732,586,3325,17.6,115,1174,9.8,2340,0.406,1115,57,31,64.8
49,32,롯데,15,727,5680,727,550,3210,17.1,136,1194,11.4,2300,0.405,1052,80,58,58.0
50,33,KT,18,721,5605,721,515,3009,17.1,103,1132,9.1,2171,0.387,980,43,35,55.1
51,34,SK,16,715,5672,715,533,3191,16.7,104,1192,8.7,2287,0.403,1076,71,51,58.2
52,35,키움,20,713,5721,713,586,3357,17.5,107,1201,8.9,2411,0.421,1130,43,50,46.2
53,36,SSG,21,712,5736,712,527,3199,16.5,106,1256,8.4,2366,0.413,1138,55,34,61.8
54,37,롯데,20,711,5669,711,580,3377,17.2,148,1231,12.0,2405,0.424,1091,39,31,55.7
55,38,삼성,17,703,5707,703,558,3185,17.5,97,1123,8.6,2263,0.397,1070,58,43,57.4
56,39,두산,21,698,5645,698,588,3376,17.4,137,1268,10.8,2396,0.424,1093,46,28,62.2
57,40,NC,14,697,5031,697,554,2752,20.1,90,942,9.6,1901,0.378,904,44,17,72.1
58,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
59,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
60,,롯데,21,697,5726,697,590,3544,16.7,113,1266,8.9,2527,0.441,1170,38,29,56.7
61,,롯데,17,697,5671,697,546,3267,16.7,146,1221,12.0,2344,0.413,1078,76,38,66.7
62,43,SK,14,696,5082,696,581,2939,19.8,92,1033,8.9,2022,0.398,946,91,31,74.6
63,44,두산,19,692,5669,692,608,3356,18.1,117,1297,9.0,2419,0.427,1120,39,30,56.5
