,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
0,1,리그,18,1756,56903,1756,894,540,264,58,953,0,260,0,542,4582,9.1,31.7,38.3,0.21,32.4,28.79,.164
1,2,리그,17,1547,56881,1547,846,451,208,42,864,0,196,0,484,4350,8.6,30.2,35.6,0.18,36.8,32.54,.152
2,3,리그,15,1511,56739,1511,794,463,206,48,795,0,260,0,456,4195,8.5,30.4,36.0,0.19,37.6,32.65,.150
3,4,리그,16,1483,57614,1483,778,474,184,47,856,0,167,0,460,4211,8.4,28.9,35.2,0.18,38.9,33.90,.148
4,5,리그,20,1363,56635,1363,709,408,206,40,699,0,145,0,518,3871,7.8,28.6,35.2,0.15,41.6,36.43,.137
5,6,리그,14,1162,45853,1162,605,356,161,37,463,118,196,86,296,3554,8.9,30.8,32.7,0.17,39.5,34.31,.153
6,7,리그,21,1157,56060,1157,605,335,167,50,646,0,96,0,415,3502,7.2,27.9,33.0,0.13,48.5,41.82,.124
7,8,리그,22,1085,55963,1085,578,318,158,31,595,0,76,0,413,3508,7.1,27.4,30.9,0.13,51.6,45.42,.119
8,9,리그,19,1014,55612,1014,544,300,134,36,611,0,75,0,325,3528,7.2,26.8,28.7,0.11,54.8,48.53,.118
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
11,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
12,1,SK,17,234,5564,234,138,60,29,7,133,0,39,0,62,471,9.6,35.2,49.7,0.28,23.8,21.05,.194
13,2,SK,18,233,5682,233,117,75,29,12,136,0,32,0,65,480,9.6,34.2,48.5,0.26,24.4,21.42,.192
14,3,KT,18,206,5605,206,113,63,21,9,115,0,37,0,54,483,9.6,34.9,42.7,0.24,27.2,24.40,.181
15,4,넥센,15,203,5811,203,107,73,16,7,111,0,42,0,50,527,10.4,34.9,38.5,0.25,28.6,24.97,.188
16,,롯데,18,203,5764,203,108,55,33,7,122,0,41,0,40,509,9.9,34.3,39.9,0.25,28.4,25.27,.182
17,6,넥센,14,199,5163,199,111,58,26,4,79,28,45,9,38,505,11.4,38.2,39.4,0.26,25.9,22.28,.211
18,7,두산,18,191,5870,191,104,53,30,4,85,0,22,0,84,505,9.8,31.5,37.8,0.20,30.7,27.10,.177
19,8,NC,20,187,5833,187,94,56,29,8,105,0,20,0,62,473,9.3,31.9,39.5,0.20,31.2,27.28,.172
20,9,SSG,21,185,5736,185,98,60,19,8,96,0,15,0,74,403,8.2,31.5,45.9,0.20,31.0,26.48,.160
21,10,두산,16,183,5841,183,92,54,31,6,83,0,23,0,77,492,9.8,32.7,37.2,0.19,31.9,27.56,.175
22,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
23,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
24,11,SK,16,182,5672,182,94,57,25,6,116,0,26,0,40,435,8.7,29.7,41.8,0.22,31.2,27.60,.163
25,12,두산,17,178,5833,178,88,60,23,7,67,0,17,0,94,468,9.2,31.2,38.0,0.18,32.8,28.66,.165
26,13,롯데,15,177,5680,177,96,50,23,8,90,0,30,0,57,450,9.1,32.3,39.3,0.25,32.1,28.09,.166
27,14,삼성,15,176,5803,176,91,53,29,3,83,0,37,0,56,460,9.2,30.4,38.3,0.21,33.0,28.52,.167
28,15,KIA,17,170,5841,170,91,47,26,6,78,0,28,0,63,491,9.5,31.6,34.6,0.19,34.4,30.25,.167
29,,KIA,18,170,5744,170,73,55,32,10,93,0,21,0,56,450,8.9,30.3,37.8,0.21,33.8,29.62,.161
30,,NC,21,170,5532,170,86,51,27,6,100,0,15,0,55,390,8.1,31.1,43.6,0.19,32.5,28.28,.155
31,,KIA,16,170,5696,170,86,59,18,7,120,0,14,0,36,462,9.2,32.3,36.8,0.20,33.5,29.41,.166
32,19,NC,16,169,5833,169,78,62,22,7,88,0,23,0,58,437,8.7,30.0,38.7,0.21,34.5,29.63,.159
33,20,넥센,18,165,5780,165,83,57,25,0,88,0,29,0,48,472,9.2,31.9,35.0,0.20,35.0,31.16,.160
34,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
35,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
36,21,KT,20,163,5762,163,84,54,24,1,86,0,24,0,53,422,8.4,29.5,38.6,0.19,35.4,30.96,.152
37,22,NC,15,161,5727,161,79,52,25,5,62,0,28,0,71,472,9.5,32.8,34.1,0.20,35.6,30.85,.166
38,,삼성,14,161,5152,161,84,55,22,0,57,17,27,12,48,422,9.5,31.4,38.2,0.20,32.0,27.73,.172
39,24,롯데,17,151,5671,151,88,36,26,1,91,0,27,0,32,418,8.4,29.3,36.1,0.20,37.6,33.07,.148
40,,한화,18,151,5539,151,73,43,28,7,61,0,21,0,68,414,8.3,30.2,36.5,0.20,36.7,32.93,.147
41,26,한화,17,150,5665,150,86,44,18,2,89,0,19,0,41,427,8.5,29.6,35.1,0.19,37.8,33.53,.148
42,27,LG,20,149,5681,149,76,43,24,6,63,0,14,0,72,431,8.6,31.1,34.6,0.16,38.1,33.55,.152
43,,NC,17,149,5790,149,82,36,28,3,89,0,19,0,41,445,8.8,29.9,33.5,0.17,38.9,34.09,.150
44,29,LG,18,148,5665,148,73,45,26,4,84,0,18,0,46,459,9.1,30.9,32.2,0.17,38.3,34.26,.151
45,30,삼성,18,146,5766,146,71,50,21,4,89,0,15,0,42,416,8.1,28.3,35.1,0.18,39.5,34.99,.144
46,순,이름,팀,정렬,타석,홈런,홈런 타점,홈런 타점,홈런 타점,홈런 타점,홈런 방향,홈런 방향,홈런 방향,홈런 방향,홈런 방향,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
47,순,이름,팀,홈런,타석,홈런,1,2,3,4,좌,LC,중,RC,우,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
48,31,삼성,17,145,5707,145,80,45,19,1,78,0,8,0,59,436,8.6,30.7,33.3,0.17,39.4,35.14,.150
49,,SK,15,145,5588,145,70,46,24,5,76,0,24,0,45,369,7.6,27.9,39.3,0.18,38.5,33.52,.138
50,33,NC,14,143,5031,143,69,44,24,6,43,6,24,15,55,407,9.2,32.6,35.1,0.20,35.2,30.95,.165
51,,NC,18,143,5488,143,79,44,19,1,80,0,24,0,39,394,8.0,30.8,36.3,0.19,38.4,34.23,.143
52,,SK,20,143,5502,143,82,40,20,1,86,0,15,0,41,337,7.0,27.8,42.4,0.16,38.5,33.84,.132
53,36,삼성,16,142,5863,142,77,43,18,4,64,0,10,0,68,425,8.3,28.5,33.4,0.16,41.3,35.87,.146
54,,한화,16,142,5838,142,79,46,12,5,90,0,13,0,39,411,8.0,27.8,34.6,0.17,41.1,35.98,.141
55,38,넥센,17,141,5712,141,68,53,14,6,91,0,16,0,34,438,8.6,29.6,32.2,0.16,40.5,36.16,.147
56,39,두산,15,140,5759,140,75,41,21,3,74,0,11,0,55,416,8.4,29.0,33.7,0.15,41.1,35.41,.145
57,40,SSG,22,138,5642,138,77,39,20,2,61,0,16,0,61,399,8.2,32.0,34.6,0.15,40.9,35.46,.142
