,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,22,15.38,6719,12854.2,711.57,-141.59,569.98,58.19,31.11,-15.83,974.98,-959.60,15.38,1.01,9.26,5.84,,,,,,,,,,,,,,,,,,
1,2,리그,19,7.02,6214,12775.0,624.21,-127.61,496.60,50.57,22.87,-15.91,949.78,-942.76,7.02,0.99,-1.03,8.09,,,,,,,,,,,,,,,,,,
2,3,리그,21,-25.86,6754,12656.2,233.33,-141.86,91.48,8.99,-10.66,-15.27,928.00,-953.85,-25.86,0.97,-35.00,8.38,,,,,,,,,,,,,,,,,,
3,4,리그,20,-69.75,6857,12788.0,-236.33,-149.46,-385.79,-35.90,-51.09,-18.76,910.84,-980.59,-69.75,0.95,-71.20,-2.48,,,,,,,,,,,,,,,,,,
4,5,리그,15,-93.19,6229,12787.2,-388.83,-170.57,-559.40,-51.25,-76.16,-17.03,910.81,-1004.00,-93.19,0.95,-100.76,2.54,,,,,,,,,,,,,,,,,,
5,6,리그,17,-101.16,6031,12781.0,-467.17,-154.63,-621.80,-56.52,-84.85,-16.32,925.27,-1026.43,-101.16,0.96,-108.41,2.97,,,,,,,,,,,,,,,,,,
6,7,리그,14,-106.42,4937,10191.0,-728.78,-140.28,-869.06,-76.19,-88.05,-18.37,738.58,-845.00,-106.42,0.97,-110.71,0.49,,,,,,,,,,,,,,,,,,
7,8,리그,16,-132.38,6414,12806.1,-892.38,-131.58,-1023.96,-89.74,-116.74,-15.63,926.84,-1059.21,-132.38,0.96,-146.05,8.67,,,,,,,,,,,,,,,,,,
8,9,리그,18,-136.98,6258,12766.0,-798.99,-154.18,-953.16,-84.15,-119.48,-17.52,920.42,-1057.40,-136.98,0.95,-132.02,-11.66,,,,,,,,,,,,,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,,,,,,,,,,,,,,,,,,
11,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,,,,,,,,,,,,,,,,,,
12,1,SK,19,16.03,628,1292.1,184.97,-16.02,168.95,17.20,18.33,-2.31,104.43,-88.40,16.03,1.06,10.06,5.08,,,,,,,,,,,,,,,,,,
13,2,LG,22,12.55,748,1288.0,203.49,-14.34,189.15,19.31,14.35,-1.81,95.69,-83.14,12.55,0.98,10.55,2.28,,,,,,,,,,,,,,,,,,
14,3,두산,19,10.43,621,1283.2,168.78,-10.07,158.71,16.16,11.62,-1.19,96.66,-86.24,10.43,1.00,8.90,1.54,,,,,,,,,,,,,,,,,,
15,4,키움,22,10.22,649,1296.1,115.13,-8.86,106.27,10.85,10.92,-0.73,107.03,-96.81,10.22,1.08,4.56,4.85,,,,,,,,,,,,,,,,,,
16,5,SSG,22,9.02,598,1301.1,117.27,-22.20,95.07,9.71,11.09,-2.09,103.45,-94.43,9.02,1.06,5.87,2.62,,,,,,,,,,,,,,,,,,
17,6,KT,22,7.76,588,1287.1,155.63,-8.34,147.29,15.04,9.31,-1.56,95.37,-87.61,7.76,1.00,9.53,-1.81,,,,,,,,,,,,,,,,,,
18,7,LG,21,6.45,697,1272.1,153.17,-11.81,141.36,13.88,7.18,-0.72,92.98,-86.52,6.45,0.97,5.59,1.04,,,,,,,,,,,,,,,,,,
19,8,키움,19,5.42,611,1279.0,142.15,-8.23,133.92,13.64,6.83,-1.43,95.53,-90.11,5.42,1.00,8.49,-3.09,,,,,,,,,,,,,,,,,,
20,9,LG,19,5.28,599,1281.1,90.57,-18.11,72.46,7.38,7.62,-2.35,99.03,-93.75,5.28,1.02,2.60,2.58,,,,,,,,,,,,,,,,,,
21,10,NC,22,3.85,681,1286.2,82.90,-15.37,67.53,6.89,5.55,-1.70,94.80,-90.95,3.85,0.97,0.54,3.41,,,,,,,,,,,,,,,,,,
22,11,KT,21,3.64,613,1262.2,132.05,-16.90,115.14,11.31,5.61,-1.98,93.20,-89.56,3.64,0.99,8.74,-5.08,,,,,,,,,,,,,,,,,,
23,12,NC,19,3.13,645,1284.1,83.11,-3.67,79.44,8.09,4.10,-0.98,95.53,-92.40,3.13,0.98,2.13,1.04,,,,,,,,,,,,,,,,,,
24,13,삼성,21,1.15,676,1259.0,50.57,-11.71,38.86,3.82,1.95,-0.80,93.51,-92.36,1.15,0.98,-3.65,4.83,,,,,,,,,,,,,,,,,,
25,14,NC,15,0.22,635,1279.1,67.38,-16.18,51.20,4.69,1.41,-1.19,90.62,-90.40,0.22,0.95,-0.48,0.71,,,,,,,,,,,,,,,,,,
26,15,LG,20,-0.02,653,1292.2,27.03,-6.35,20.68,1.92,1.39,-1.43,93.00,-93.02,-0.02,0.95,-1.42,1.38,,,,,,,,,,,,,,,,,,
27,16,두산,21,-0.36,658,1269.1,50.50,-4.22,46.28,4.55,0.12,-0.51,91.23,-91.59,-0.36,0.96,-2.50,2.10,,,,,,,,,,,,,,,,,,
28,17,KT,19,-1.44,567,1276.0,55.58,-11.39,44.19,4.50,0.23,-1.67,94.74,-96.18,-1.44,0.99,-0.27,-1.20,,,,,,,,,,,,,,,,,,
29,18,키움,20,-1.72,730,1280.1,24.60,-11.16,13.44,1.25,-0.06,-1.66,93.03,-94.75,-1.72,0.96,-4.57,2.77,,,,,,,,,,,,,,,,,,
30,19,두산,16,-2.18,579,1287.2,40.25,-9.03,31.22,2.74,-1.86,-0.32,92.64,-94.82,-2.18,0.94,-7.31,4.99,,,,,,,,,,,,,,,,,,
31,20,롯데,22,-2.38,675,1280.2,18.11,-23.93,-5.82,-0.59,-0.46,-1.92,95.30,-97.68,-2.38,0.99,-2.25,-0.16,,,,,,,,,,,,,,,,,,
32,21,KIA,22,-2.45,675,1279.2,39.50,-11.41,28.08,2.87,-1.40,-1.06,98.17,-100.63,-2.45,1.03,-1.84,-0.55,,,,,,,,,,,,,,,,,,
33,22,키움,21,-2.72,629,1261.1,13.32,-15.26,-1.94,-0.19,-0.67,-2.08,88.35,-91.07,-2.72,0.94,-3.26,0.32,,,,,,,,,,,,,,,,,,
34,23,NC,20,-3.39,736,1296.2,12.97,-10.92,2.05,0.19,-2.11,-1.29,93.86,-97.25,-3.39,0.96,-2.48,-1.08,,,,,,,,,,,,,,,,,,
35,24,삼성,15,-3.49,577,1275.1,-3.99,-8.64,-12.63,-1.16,-2.78,-0.71,88.49,-91.98,-3.49,0.91,-4.56,0.70,,,,,,,,,,,,,,,,,,
36,25,롯데,17,-3.64,623,1287.1,27.99,-17.76,10.24,0.93,-1.55,-2.10,100.69,-104.33,-3.64,1.04,-4.67,1.15,,,,,,,,,,,,,,,,,,
37,26,NC,16,-3.70,628,1286.1,38.88,-16.53,22.35,1.96,-1.93,-1.77,94.11,-97.81,-3.70,0.97,-2.11,-1.71,,,,,,,,,,,,,,,,,,
38,27,NC,17,-3.91,620,1284.2,-20.70,-14.99,-35.70,-3.24,-2.62,-1.31,90.83,-94.74,-3.91,0.94,-6.79,2.59,,,,,,,,,,,,,,,,,,
39,28,두산,17,-3.94,590,1288.0,45.34,-10.78,34.56,3.14,-2.75,-1.19,93.33,-97.27,-3.94,0.96,-4.49,0.40,,,,,,,,,,,,,,,,,,
