,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,WAR,출장,이닝,RAA,RAA,RAA,대체 Run,대체 Run,대체 Run,RAR,RAR,RAR,WAA,WAA,WAA,WAR,WAR,WAR,fWAR,RA9-WAR,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,종합,출장,이닝,선발,구원,종합,선발,구원,종합,선발,구원,종합,선발,구원,종합,선발,구원,종합.1,fWAR,RA9-WAR,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,14,183.56,4937,10191.0,-0.00,-0.00,-0.00,1161.22,795.62,1939.21,1161.22,883.13,2044.36,3.67,10.30,13.98,104.39,79.17,183.56,180.84,186.28,,,,,,,,,,,,,
1,2,리그,20,171.39,6857,12788.0,-0.02,0.05,0.03,1059.69,741.42,2221.55,1324.59,1063.78,2388.37,-0.10,0.98,0.88,100.53,70.86,171.39,171.39,171.39,,,,,,,,,,,,,
2,3,리그,22,171.17,6719,12854.2,-4.02,2.92,-1.10,981.41,667.30,2080.91,1222.75,1004.71,2227.46,-0.39,0.16,-0.23,101.95,69.21,171.17,171.17,171.17,,,,,,,,,,,,,
3,4,리그,15,170.56,6229,12787.2,0.08,-0.12,-0.04,1055.36,772.89,2247.09,1319.28,1081.90,2401.19,-0.08,0.14,0.06,98.74,71.82,170.56,170.56,170.56,,,,,,,,,,,,,
4,5,리그,16,170.07,6414,12806.1,-1.73,-7.90,-9.63,1089.11,822.42,2358.70,1359.65,1086.77,2446.42,-0.19,-0.48,-0.68,97.49,72.58,170.07,170.07,170.07,,,,,,,,,,,,,
5,6,리그,18,169.91,6258,12766.0,0.00,-0.12,-0.12,1126.82,767.13,2339.30,1408.52,1039.20,2447.73,-0.32,0.02,-0.30,101.23,68.69,169.91,169.91,169.91,,,,,,,,,,,,,
6,7,리그,17,169.69,6031,12781.0,0.19,-0.09,0.11,1104.16,736.78,2277.87,1380.39,1000.97,2381.35,-0.55,-0.17,-0.72,102.04,67.65,169.69,169.69,169.69,,,,,,,,,,,,,
7,8,리그,19,169.23,6214,12775.0,-0.32,0.15,-0.17,999.95,643.80,2051.02,1249.62,928.12,2177.74,-0.08,-1.03,-1.11,103.81,65.41,169.23,169.23,169.23,,,,,,,,,,,,,
8,9,리그,21,168.66,6754,12656.2,-0.33,-0.11,-0.43,965.92,719.79,2094.62,1207.07,1067.04,2274.11,0.04,-0.13,-0.09,97.16,71.50,168.66,168.66,168.66,,,,,,,,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,WAR,출장,이닝,RAA,RAA,RAA,대체 Run,대체 Run,대체 Run,RAR,RAR,RAR,WAA,WAA,WAA,WAR,WAR,WAR,fWAR,RA9-WAR,,,,,,,,,,,,,
11,순,이름,팀,종합,출장,이닝,선발,구원,종합,선발,구원,종합,선발,구원,종합,선발,구원,종합,선발,구원,종합,fWAR,RA9-WAR,,,,,,,,,,,,,
12,1,SK,19,30.14,628,1292.1,85.32,35.42,120.74,98.83,62.07,206.39,208.86,133.61,342.46,9.03,3.88,12.91,19.82,10.32,30.14,30.14,30.14,,,,,,,,,,,,,
13,2,삼성,14,28.70,543,1144.0,81.96,25.44,107.41,136.25,77.31,217.23,218.22,104.93,323.15,7.57,2.13,9.70,19.84,8.86,28.70,27.97,29.43,,,,,,,,,,,,,
14,3,LG,22,27.64,748,1288.0,17.30,87.76,105.07,92.44,70.90,204.26,132.85,186.72,319.57,1.99,8.47,10.46,11.74,15.90,27.64,27.64,27.64,,,,,,,,,,,,,
15,4,KT,22,26.67,588,1287.1,48.53,49.02,97.55,105.59,56.53,204.70,180.52,132.79,313.30,4.61,4.90,9.50,15.86,10.81,26.67,26.67,26.67,,,,,,,,,,,,,
16,5,LG,21,26.62,697,1272.1,27.76,67.33,95.09,91.10,76.60,208.59,141.64,184.61,326.25,2.67,6.98,9.66,11.95,14.67,26.62,26.62,26.62,,,,,,,,,,,,,
17,6,NC,16,25.78,628,1286.1,46.03,52.08,98.11,105.49,83.80,233.16,177.89,160.64,338.53,4.20,4.43,8.62,13.85,11.93,25.78,25.78,25.78,,,,,,,,,,,,,
18,7,NC,14,25.28,580,1135.2,43.42,24.22,67.64,130.67,84.87,217.19,174.08,114.34,288.43,3.90,2.47,6.37,15.44,9.84,25.28,21.21,29.35,,,,,,,,,,,,,
19,8,롯데,17,24.96,623,1287.1,47.22,35.54,82.77,110.41,72.34,231.15,185.24,142.02,327.26,4.27,3.52,7.79,14.74,10.21,24.96,24.96,24.96,,,,,,,,,,,,,
20,9,두산,16,24.93,579,1287.2,101.21,-18.44,82.77,116.80,70.10,227.94,247.21,74.77,321.98,9.16,-1.41,7.76,20.12,4.80,24.93,24.93,24.93,,,,,,,,,,,,,
21,10,KT,21,24.68,613,1262.2,53.38,36.80,90.17,105.57,59.85,206.51,185.34,120.74,306.08,4.68,3.17,7.85,15.51,9.17,24.68,24.68,24.68,,,,,,,,,,,,,
22,11,LG,14,23.87,574,1142.2,10.51,26.02,36.53,128.87,89.87,224.03,139.38,135.33,274.71,1.15,3.67,4.83,12.37,11.50,23.87,22.28,25.46,,,,,,,,,,,,,
23,12,두산,19,23.64,621,1283.2,60.06,14.29,74.35,102.83,58.82,204.09,188.60,94.02,282.62,6.00,0.53,6.53,17.02,6.63,23.64,23.64,23.64,,,,,,,,,,,,,
24,13,키움,22,22.66,649,1296.1,54.47,-11.98,42.49,96.73,66.45,213.14,175.38,101.39,276.77,5.88,-0.51,5.37,16.31,6.35,22.66,22.66,22.66,,,,,,,,,,,,,
25,14,LG,15,22.22,616,1279.2,42.60,31.90,74.50,108.97,71.65,224.56,178.82,120.47,299.29,3.60,1.56,5.16,13.99,8.24,22.22,22.22,22.22,,,,,,,,,,,,,
26,15,키움,19,22.22,611,1279.0,23.42,34.75,58.17,100.60,62.77,205.70,149.17,123.97,273.14,2.07,3.09,5.16,12.61,9.61,22.22,22.22,22.22,,,,,,,,,,,,,
27,16,넥센,14,21.94,530,1131.2,-2.08,6.03,3.95,122.89,94.41,211.39,120.80,116.72,237.52,0.39,2.68,3.08,11.09,10.85,21.94,20.81,23.07,,,,,,,,,,,,,
28,17,SK,18,21.78,634,1274.2,81.22,-26.02,55.20,110.85,74.94,227.84,219.78,72.00,291.78,7.18,-2.39,4.79,17.49,4.29,21.78,21.78,21.78,,,,,,,,,,,,,
29,18,SK,15,21.76,621,1280.2,17.36,40.14,57.50,104.90,77.17,224.97,148.49,146.64,295.13,1.28,3.41,4.69,11.16,10.61,21.76,21.76,21.76,,,,,,,,,,,,,
30,19,NC,15,21.59,635,1279.1,31.18,17.72,48.90,105.73,74.82,222.02,163.34,119.23,282.58,3.25,1.28,4.53,13.35,8.24,21.59,21.59,21.59,,,,,,,,,,,,,
31,20,넥센,16,21.57,608,1280.1,23.89,28.68,52.57,109.13,80.49,236.84,160.31,135.96,296.27,2.18,2.32,4.50,12.06,9.51,21.57,21.57,21.57,,,,,,,,,,,,,
32,21,두산,17,21.46,590,1288.0,19.78,31.90,51.68,113.88,70.14,229.11,162.13,125.41,287.54,1.69,2.60,4.29,12.37,9.09,21.46,21.46,21.46,,,,,,,,,,,,,
33,22,롯데,14,21.29,528,1100.0,10.06,8.43,18.49,132.36,78.49,208.65,142.42,97.78,240.20,1.00,2.01,3.01,12.49,8.80,21.29,19.74,22.84,,,,,,,,,,,,,
34,23,두산,21,21.14,658,1269.1,1.29,24.41,25.69,95.16,72.58,205.86,120.24,132.68,252.92,1.49,2.73,4.22,11.17,9.97,21.14,21.14,21.14,,,,,,,,,,,,,
35,24,두산,20,21.06,656,1284.2,35.60,2.49,38.08,106.61,72.29,219.40,168.86,102.25,271.11,3.96,-0.03,3.93,14.28,6.78,21.06,21.06,21.06,,,,,,,,,,,,,
36,25,SSG,22,20.71,598,1301.1,45.50,-11.93,33.57,101.27,62.87,212.24,172.09,83.37,255.47,5.11,-1.75,3.36,15.97,4.75,20.71,20.71,20.71,,,,,,,,,,,,,
37,26,KIA,15,20.09,628,1273.0,12.57,9.20,21.76,99.34,81.82,223.49,136.75,130.17,266.91,1.68,1.44,3.12,11.07,9.02,20.09,20.09,20.09,,,,,,,,,,,,,
38,27,롯데,20,19.76,689,1277.1,13.50,26.82,40.31,106.42,72.49,220.70,146.52,118.69,265.21,1.37,1.37,2.73,11.55,8.22,19.76,19.76,19.76,,,,,,,,,,,,,
39,28,한화,18,19.69,685,1274.0,-21.24,59.48,38.25,108.63,81.48,234.37,114.55,165.89,280.44,-2.30,5.01,2.71,7.34,12.35,19.69,19.69,19.69,,,,,,,,,,,,,
40,29,KIA,16,19.63,635,1276.0,40.18,-11.45,28.73,111.64,76.58,233.77,179.73,91.25,270.98,3.70,-1.08,2.62,13.93,5.71,19.63,19.63,19.63,,,,,,,,,,,,,
41,30,삼성,21,19.56,676,1259.0,45.74,-15.58,30.16,99.54,65.73,204.80,170.16,79.42,249.58,4.60,-1.83,2.77,14.86,4.69,19.56,19.56,19.56,,,,,,,,,,,,,
42,31,NC,20,19.50,736,1296.2,23.25,3.91,27.15,104.32,76.80,225.00,153.64,109.07,262.71,2.48,-0.27,2.21,12.54,6.96,19.50,19.50,19.50,,,,,,,,,,,,,
43,32,두산,18,19.40,615,1288.2,17.43,-14.08,3.35,111.69,78.18,234.87,157.04,102.33,259.37,2.45,-0.23,2.22,12.66,6.74,19.40,19.40,19.40,,,,,,,,,,,,,
44,33,LG,17,19.16,619,1279.0,43.39,-3.21,40.17,116.12,65.92,229.65,188.54,76.42,264.96,3.81,-1.70,2.11,14.80,4.37,19.16,19.16,19.16,,,,,,,,,,,,,
45,34,키움,20,19.14,730,1280.1,-9.91,33.97,24.06,99.45,80.73,223.42,114.40,148.65,263.06,-1.03,3.10,2.07,8.38,10.76,19.14,19.14,19.14,,,,,,,,,,,,,
46,35,KIA,17,19.12,582,1290.0,42.35,-36.44,5.91,114.65,68.72,226.49,185.66,67.79,253.45,4.14,-2.22,1.92,15.05,4.07,19.12,19.12,19.12,,,,,,,,,,,,,
47,36,NC,22,18.72,681,1286.2,6.96,5.23,12.20,95.60,69.31,205.70,126.46,110.65,237.12,0.63,0.93,1.56,10.63,8.09,18.72,18.72,18.72,,,,,,,,,,,,,
48,37,KT,20,18.65,665,1290.1,-1.84,15.17,13.32,110.02,72.13,229.52,135.68,129.66,265.34,-0.66,2.11,1.44,9.74,8.91,18.65,18.65,18.65,,,,,,,,,,,,,
49,38,삼성,20,18.60,698,1272.1,36.85,-25.82,11.04,106.71,71.23,222.48,170.24,87.81,258.04,3.00,-1.37,1.63,13.28,5.32,18.60,18.60,18.60,,,,,,,,,,,,,
50,39,넥센,17,18.33,554,1271.0,28.01,-7.64,20.37,110.11,71.82,224.83,165.65,86.64,252.29,2.33,-0.95,1.38,12.67,5.65,18.33,18.33,18.33,,,,,,,,,,,,,
51,40,SK,16,18.28,600,1274.0,8.31,6.99,15.30,111.84,77.73,232.55,148.11,108.72,256.83,0.70,0.60,1.29,10.78,7.50,18.28,18.28,18.28,,,,,,,,,,,,,
52,41,KIA,20,18.14,639,1269.1,19.38,-29.20,-9.81,106.48,71.34,219.68,152.49,90.84,243.33,2.18,-0.96,1.22,12.43,5.72,18.14,18.14,18.14,,,,,,,,,,,,,
53,42,삼성,18,18.08,618,1285.1,-27.87,40.72,12.84,113.00,79.17,238.12,113.38,150.72,264.10,-2.86,3.80,0.94,7.15,10.93,18.08,18.08,18.08,,,,,,,,,,,,,
54,43,넥센,18,18.07,591,1282.0,45.73,-36.88,8.85,118.13,69.89,234.95,193.39,63.39,256.78,3.97,-2.99,0.97,14.85,3.22,18.07,18.07,18.07,,,,,,,,,,,,,
55,44,넥센,15,17.54,587,1286.0,1.67,1.30,2.97,102.83,80.64,225.57,130.21,112.86,243.07,0.42,-0.03,0.39,10.08,7.46,17.54,17.54,17.54,,,,,,,,,,,,,
56,45,NC,19,17.39,645,1284.1,35.65,-29.90,5.75,99.21,64.70,205.55,159.67,64.49,224.15,3.39,-3.13,0.26,13.86,3.52,17.39,17.39,17.39,,,,,,,,,,,,,
57,46,KIA,14,17.24,507,1121.2,-20.71,-14.50,-35.21,125.06,91.39,211.34,104.36,83.63,187.98,-1.26,-0.13,-1.39,9.48,7.76,17.24,20.50,13.98,,,,,,,,,,,,,
58,47,SK,17,17.06,608,1270.2,31.39,-27.19,4.20,112.59,69.74,227.70,172.12,71.98,244.10,2.40,-2.28,0.12,12.95,4.11,17.06,17.06,17.06,,,,,,,,,,,,,
59,48,두산,14,16.98,564,1123.2,-28.63,-5.61,-34.24,130.72,87.07,211.86,102.08,83.16,185.24,-2.02,0.29,-1.73,9.16,7.82,16.98,19.04,14.92,,,,,,,,,,,,,
60,49,NC,21,16.66,696,1256.2,14.29,-2.79,11.51,98.70,68.41,207.01,137.67,89.90,227.57,1.08,-1.18,-0.10,11.04,5.62,16.66,16.66,16.66,,,,,,,,,,,,,
61,50,KT,18,16.59,631,1274.1,-9.55,15.91,6.36,115.94,73.11,234.74,135.37,106.25,241.63,-0.86,0.46,-0.40,9.57,7.02,16.59,16.59,16.59,,,,,,,,,,,,,
62,51,KIA,18,16.43,575,1270.2,-28.32,19.48,-8.85,112.05,77.60,234.22,111.74,129.09,240.84,-2.62,2.12,-0.51,7.35,9.08,16.43,16.43,16.43,,,,,,,,,,,,,
63,52,NC,17,16.35,620,1284.2,-42.69,41.43,-1.26,102.06,84.62,226.51,84.89,146.73,231.62,-4.01,3.23,-0.78,5.28,11.07,16.35,16.35,16.35,,,,,,,,,,,,,
64,53,LG,20,15.87,653,1292.2,-19.21,6.61,-12.60,113.00,69.88,226.29,122.04,105.67,227.71,-1.87,0.51,-1.37,8.75,7.12,15.87,15.87,15.87,,,,,,,,,,,,,
65,54,롯데,18,15.85,686,1283.2,-21.31,2.65,-18.66,110.81,80.84,238.00,117.20,121.12,238.32,-2.12,0.86,-1.26,7.75,8.11,15.85,15.85,15.85,,,,,,,,,,,,,
66,55,SK,14,15.82,556,1129.1,-32.41,-25.26,-57.66,131.37,87.57,215.80,98.96,73.99,172.95,-2.18,-0.77,-2.95,9.04,6.78,15.82,15.72,15.91,,,,,,,,,,,,,
67,56,KIA,21,14.95,676,1269.0,-24.45,-0.33,-24.78,95.77,74.62,215.41,95.26,119.01,214.27,-2.43,0.46,-1.97,7.07,7.88,14.95,14.95,14.95,,,,,,,,,,,,,
68,57,LG,19,14.83,599,1281.1,-24.47,4.08,-20.40,102.17,63.96,208.52,103.24,97.86,201.09,-2.57,0.31,-2.26,7.91,6.91,14.83,14.83,14.83,,,,,,,,,,,,,
69,58,두산,15,14.37,623,1286.0,1.05,-41.97,-40.92,109.80,75.05,229.39,138.30,77.19,215.49,-0.17,-2.61,-2.78,10.05,4.31,14.37,14.37,14.37,,,,,,,,,,,,,
70,59,LG,16,14.32,676,1287.2,-19.75,-7.60,-27.34,111.80,81.61,244.88,120.00,103.95,223.95,-1.95,-0.89,-2.85,7.97,6.36,14.32,14.32,14.32,,,,,,,,,,,,,
71,60,롯데,15,14.19,618,1281.1,13.90,-40.95,-27.05,107.82,75.14,227.12,148.67,63.10,211.77,1.15,-4.04,-2.89,11.32,2.87,14.19,14.19,14.19,,,,,,,,,,,,,
72,61,삼성,15,14.06,577,1275.1,-32.32,-9.05,-41.37,123.09,61.22,225.43,121.53,85.30,206.83,-3.11,0.16,-2.95,8.23,5.83,14.06,14.06,14.06,,,,,,,,,,,,,
73,62,KIA,19,13.92,603,1264.0,-35.52,-5.94,-41.46,100.94,63.62,200.57,90.65,87.34,177.99,-2.97,0.04,-2.93,7.34,6.58,13.92,13.92,13.92,,,,,,,,,,,,,
74,63,한화,17,13.83,634,1273.0,-26.34,0.34,-26.00,107.26,77.72,228.48,107.73,99.36,207.10,-2.57,-0.58,-3.15,7.25,6.58,13.83,13.83,13.83,,,,,,,,,,,,,
75,64,키움,21,13.75,629,1261.1,3.97,-33.09,-29.13,99.53,68.94,207.76,128.38,68.02,196.39,0.08,-3.15,-3.07,10.07,3.67,13.75,13.75,13.75,,,,,,,,,,,,,
76,65,롯데,22,13.49,675,1280.2,-17.06,-19.37,-36.43,97.23,68.16,205.31,104.48,84.97,189.45,-2.08,-1.50,-3.58,7.96,5.54,13.49,13.49,13.49,,,,,,,,,,,,,
77,66,삼성,22,13.46,686,1287.0,-14.77,-14.81,-29.58,101.89,64.02,209.18,112.59,74.00,186.59,-1.39,-2.31,-3.70,9.15,4.30,13.46,13.46,13.46,,,,,,,,,,,,,
78,67,한화,16,13.12,680,1292.2,-56.34,1.00,-55.34,89.30,106.07,240.22,55.29,148.00,203.28,-4.82,0.71,-4.11,2.99,10.13,13.12,13.12,13.12,,,,,,,,,,,,,
79,68,LG,18,13.04,601,1268.2,-10.48,-31.64,-42.13,120.06,68.26,230.27,139.59,52.11,191.70,-0.47,-3.40,-3.88,10.36,2.68,13.04,13.04,13.04,,,,,,,,,,,,,
80,69,kt,15,12.82,652,1266.2,-41.17,-3.99,-45.16,96.02,87.23,216.49,78.85,111.53,190.38,-3.90,-0.17,-4.07,4.90,7.92,12.82,12.82,12.82,,,,,,,,,,,,,
81,70,kt,17,12.68,588,1256.0,-42.57,-8.92,-51.49,109.26,73.86,220.41,94.00,90.78,184.79,-3.74,-0.32,-4.06,6.22,6.46,12.68,12.68,12.68,,,,,,,,,,,,,
82,71,KIA,22,12.68,675,1279.2,-21.19,-26.65,-47.83,101.58,64.17,210.74,105.79,77.50,183.29,-2.37,-2.01,-4.39,8.07,4.61,12.68,12.68,12.68,,,,,,,,,,,,,
