,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,15,1202,6229,12787.2,1202,526,69.6,20910,8.3,1074,121,7,468,36,22,69.7,77.1,24.1,111,16,47,88,763,,,,,,,,,,,
1,2,리그,16,1058,6414,12806.1,1058,547,65.9,22054,7.3,947,100,11,486,43,18,66.1,69.9,37.9,67,14,57,76,701,,,,,,,,,,,
2,3,리그,14,1004,4937,10191.0,1004,435,69.8,17318,8.3,928,76,2,381,32,15,70.9,70.4,11.8,71,0,23,77,545,,,,,,,,,,,
3,4,리그,19,987,6214,12775.0,987,423,70.0,20321,6.9,884,97,6,377,36,10,70.1,72.9,37.5,60,9,39,81,595,,,,,,,,,,,
4,5,리그,21,940,6754,12656.2,940,394,70.5,20963,6.4,848,87,5,340,35,19,71.4,71.3,20.8,56,4,61,81,601,,,,,,,,,,,
5,6,리그,18,928,6258,12766.0,928,410,69.4,20775,6.4,838,78,12,367,24,19,69.5,76.5,38.7,65,3,41,114,673,,,,,,,,,,,
6,7,리그,20,892,6857,12788.0,892,376,70.4,20863,6.1,831,55,6,335,31,10,71.3,64.0,37.5,60,1,46,81,650,,,,,,,,,,,
7,8,리그,22,889,6719,12854.2,889,366,70.8,20411,6.2,807,71,11,325,16,25,71.3,81.6,30.6,50,2,26,82,609,,,,,,,,,,,
