,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,14,79.17,3783,4134.2,5.25,206,183,483,261,145,10,155,64.3,565,467,185,26,83,2621,928,35.4,0.82,0.94,79.17,-40.59,,,,,,,,,
1,2,리그,16,72.58,4974,5480.0,5.05,264,235,589,325,158,47,205,67.3,760,589,136,43,104,3498,1228,35.1,0.83,0.93,72.58,-43.74,,,,,,,,,
2,3,리그,15,71.82,4789,5375.2,4.92,249,236,507,285,140,47,187,67.1,636,534,85,35,89,3261,1149,35.2,0.76,0.91,71.82,-37.11,,,,,,,,,
3,4,리그,21,71.50,5314,5372.1,4.48,247,216,720,321,160,44,204,66.7,732,568,121,27,58,2802,969,34.6,0.82,0.96,71.50,-5.29,,,,,,,,,
4,5,리그,20,70.86,5417,5240.2,5.01,240,227,675,282,175,37,212,61.7,552,522,129,30,67,2958,1030,34.8,0.82,0.92,70.86,-40.97,,,,,,,,,
5,6,리그,22,69.21,5279,5179.0,4.35,263,234,739,360,178,45,223,66.9,812,623,116,30,55,2709,942,34.8,0.86,1.03,69.21,-2.18,,,,,,,,,
6,7,리그,18,68.69,4818,5150.0,5.15,277,243,555,304,186,46,232,62.0,648,581,90,40,75,2740,993,36.2,0.80,0.93,68.69,-55.54,,,,,,,,,
7,8,리그,17,67.65,4591,5086.1,5.15,244,235,522,321,168,35,203,65.6,688,565,86,43,71,2778,983,35.4,0.81,0.94,67.65,-49.35,,,,,,,,,
8,9,리그,19,65.41,4774,4983.0,4.15,234,218,653,348,133,36,169,72.4,848,582,97,38,54,2635,899,34.1,0.84,0.98,65.41,6.84,,,,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,,,,,,,,,
11,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,,,,,,,,,
12,1,LG,22,15.90,604,557.0,2.89,29,17,107,43,15,5,20,74.1,125,72,18,2,3,306,76,24.8,0.85,0.99,15.90,7.45,,,,,,,,,
13,2,LG,21,14.67,553,576.1,3.26,30,19,81,32,14,4,18,69.6,90,62,19,0,7,283,85,30.0,0.86,0.96,14.67,4.29,,,,,,,,,
14,3,한화,18,12.35,541,550.1,4.29,42,18,62,37,13,2,15,74.0,135,79,16,2,8,327,108,33.0,0.82,0.93,12.35,2.85,,,,,,,,,
15,4,NC,16,11.93,484,562.1,4.15,26,23,62,36,13,7,20,73.5,92,62,19,4,11,273,89,32.6,0.76,0.93,11.93,1.17,,,,,,,,,
16,5,LG,14,11.50,446,469.1,4.22,26,23,65,35,21,1,22,62.5,73,61,25,4,13,303,96,31.7,0.95,1.11,11.50,-2.54,,,,,,,,,
17,6,NC,17,11.07,476,587.2,4.32,29,16,51,32,10,4,14,76.2,104,61,10,2,4,304,111,36.5,0.74,0.86,11.07,2.47,,,,,,,,,
18,7,삼성,18,10.93,474,534.2,4.66,28,23,56,33,18,4,22,64.7,78,61,9,5,3,188,62,33.0,0.76,0.94,10.93,-0.39,,,,,,,,,
19,8,넥센,14,10.85,402,490.0,5.31,26,15,55,35,12,2,14,74.5,105,61,11,2,6,250,83,33.2,0.70,0.85,10.85,0.22,,,,,,,,,
20,9,KT,22,10.81,444,443.1,3.61,27,20,65,37,13,2,15,74.0,106,64,8,7,4,213,79,37.1,0.79,1.04,10.81,3.10,,,,,,,,,
21,10,키움,20,10.76,586,574.0,4.33,37,21,81,42,18,5,23,70.0,124,79,13,2,8,301,110,36.5,0.87,0.95,10.76,-2.30,,,,,,,,,
22,11,SK,15,10.61,477,540.0,4.57,19,23,60,31,12,1,13,72.1,63,50,7,2,5,312,93,29.8,0.76,0.94,10.61,-0.23,,,,,,,,,
23,12,SK,19,10.32,484,483.1,3.69,23,20,92,51,8,2,10,86.4,146,74,7,3,3,187,71,38.0,0.88,1.13,10.32,6.55,,,,,,,,,
24,13,롯데,17,10.21,479,502.0,4.61,29,19,59,39,21,0,21,65.0,100,68,11,5,10,268,98,36.6,0.89,1.05,10.21,-3.60,,,,,,,,,
25,14,한화,16,10.13,536,706.2,5.25,40,26,39,24,13,5,18,64.9,76,64,10,2,8,454,182,40.1,0.81,0.93,10.13,-5.06,,,,,,,,,
26,15,두산,21,9.97,514,543.1,4.06,27,21,61,28,14,9,23,66.7,72,55,14,4,8,341,98,28.7,0.83,0.91,9.97,2.07,,,,,,,,,
27,16,NC,14,9.84,452,443.1,4.39,28,21,59,31,19,0,19,62.0,74,59,28,5,11,301,91,30.2,0.92,1.04,9.84,-3.14,,,,,,,,,
28,17,키움,19,9.61,467,488.2,3.39,28,24,90,39,11,5,16,78.0,107,67,7,4,2,196,53,27.0,0.85,1.03,9.61,4.19,,,,,,,,,
29,18,넥센,16,9.51,464,539.1,4.54,28,22,74,38,17,6,23,69.1,99,66,13,7,12,232,89,38.4,0.83,0.99,9.51,-3.78,,,,,,,,,
30,19,KT,21,9.17,469,450.2,3.66,23,17,74,33,16,5,21,67.4,82,56,15,3,6,227,70,30.8,0.85,0.99,9.17,0.94,,,,,,,,,
31,20,두산,17,9.09,446,487.0,4.31,33,16,46,35,13,2,15,72.9,116,68,6,3,8,259,82,31.7,0.73,0.98,9.09,-0.66,,,,,,,,,
32,21,KIA,18,9.08,431,522.2,5.06,27,24,43,26,19,8,27,57.8,50,53,4,4,10,295,109,37.0,0.80,0.93,9.08,-6.96,,,,,,,,,
33,22,KIA,15,9.02,484,568.2,4.73,26,25,65,32,18,3,21,64.0,67,58,12,5,12,323,107,33.1,0.83,0.94,9.02,-3.75,,,,,,,,,
34,23,KT,20,8.91,521,510.1,4.69,28,23,71,33,23,2,25,58.9,67,61,10,4,7,262,93,35.5,0.81,1.02,8.91,-3.98,,,,,,,,,
35,24,삼성,14,8.86,415,404.2,4.87,25,18,65,35,18,0,18,66.0,87,60,22,4,11,279,87,31.2,0.83,1.09,8.86,-3.83,,,,,,,,,
36,25,롯데,14,8.80,400,408.0,5.32,14,20,56,28,13,0,13,68.3,50,42,18,4,6,282,94,33.3,0.88,0.93,8.80,-2.93,,,,,,,,,
37,26,한화,20,8.60,561,564.0,4.90,18,23,54,21,13,7,20,61.8,29,39,10,2,3,288,94,32.6,0.73,0.81,8.60,-2.13,,,,,,,,,
38,27,NC,15,8.24,491,522.1,4.50,21,19,55,37,11,4,15,77.1,98,58,8,5,4,297,89,30.0,0.71,0.90,8.24,0.27,,,,,,,,,
39,28,LG,15,8.24,472,500.1,4.75,26,24,44,25,17,4,21,59.5,47,51,6,2,11,357,134,37.5,0.82,0.97,8.24,-2.96,,,,,,,,,
40,29,롯데,20,8.22,545,513.2,4.94,24,24,59,25,18,6,24,58.1,41,49,11,2,9,259,100,38.6,0.79,0.92,8.22,-8.59,,,,,,,,,
41,30,롯데,18,8.11,542,543.1,5.05,31,25,64,29,22,9,31,56.9,58,60,11,3,10,321,119,37.1,0.79,0.96,8.11,-5.29,,,,,,,,,
42,31,NC,22,8.09,537,537.0,4.24,27,21,54,25,15,4,19,62.5,60,52,11,3,6,284,101,35.6,0.83,0.97,8.09,0.97,,,,,,,,,
43,32,SSG,21,8.02,516,602.1,4.42,33,25,56,25,24,3,27,51.0,44,58,8,1,5,229,71,31.0,0.81,1.06,8.02,-1.48,,,,,,,,,
44,33,kt,15,7.92,508,606.2,5.21,23,31,31,16,11,5,16,59.3,12,39,8,2,5,355,138,38.9,0.68,0.75,7.92,-7.52,,,,,,,,,
45,34,KIA,21,7.88,532,556.1,4.76,27,23,94,36,15,2,17,70.6,91,63,13,5,7,279,120,43.0,0.90,1.04,7.88,-0.66,,,,,,,,,
46,35,두산,14,7.82,436,452.0,5.42,21,21,61,19,14,2,16,57.6,30,40,22,1,7,279,101,36.2,0.72,0.86,7.82,-4.74,,,,,,,,,
