,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,22,209.2,6719,12854.2,209.2,313.2,103.9,93.8,64.9,-25.1,0.2,0.0,0.23,0.63,0.51,0.44,0.48,-0.13,1.63,,,,,,,,,,,,,,,
1,2,리그,19,78.6,6214,12775.0,78.6,253.0,96.7,96.5,79.1,45.2,0.1,0.0,0.09,0.58,0.45,0.50,0.59,0.19,2.33,,,,,,,,,,,,,,,
2,3,리그,21,-41.7,6754,12656.2,-41.7,160.9,-16.4,77.0,63.2,33.9,-1.0,0.0,-0.04,0.34,-0.09,0.32,0.52,0.17,-6.25,,,,,,,,,,,,,,,
3,4,리그,15,-310.0,6229,12787.2,-310.0,9.8,-83.2,29.6,21.5,53.3,-2.5,-56.8,-0.28,0.02,-0.37,0.22,0.27,0.74,-1.30,-0.01,,,,,,,,,,,,,,
4,5,리그,17,-374.1,6031,12781.0,-374.1,87.7,-47.2,7.8,-43.9,-36.4,0.8,-25.2,-0.38,0.20,-0.23,0.04,-0.25,-0.28,0.14,-0.05,,,,,,,,,,,,,,
5,6,리그,20,-398.3,6857,12788.0,-398.3,190.6,38.9,17.8,-17.4,-14.0,-1.5,-0.1,-0.43,0.41,0.20,0.08,-0.14,-0.06,-1.23,-0.03,,,,,,,,,,,,,,
6,7,리그,16,-532.6,6414,12806.1,-532.6,-25.7,-141.6,-28.7,-24.3,-61.1,0.2,-15.3,-0.49,-0.05,-0.75,-0.19,-0.18,-0.62,2.46,-0.01,,,,,,,,,,,,,,
7,8,리그,18,-654.6,6258,12766.0,-654.6,97.4,-58.8,-25.9,-31.3,-78.9,-6.6,-0.3,-0.67,0.21,-0.25,-0.12,-0.21,-0.51,-1.41,-0.07,,,,,,,,,,,,,,
