,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,22,144.2,6719,12854.2,144.2,133.1,120.3,128.5,130.7,142.2,108.5,,42.1,23.1,9.5,10.0,6.2,9.0,0.0,0.0,66.2,31.2,46.2,86.8,65.2,78.4,42.8,,,,,,,
1,2,리그,21,142.9,6754,12656.2,142.9,131.8,119.9,128.0,130.6,141.1,108.8,,43.7,21.9,8.7,10.9,5.6,9.1,0.0,0.0,64.8,28.7,44.3,86.9,64.8,78.7,43.2,,,,,,,
2,3,리그,18,142.6,6258,12766.0,142.6,131.7,118.4,128.3,130.7,139.3,118.2,105.4,44.7,20.8,10.5,9.8,6.9,7.0,0.2,0.0,67.4,30.2,46.5,86.3,65.2,78.5,43.7,,,,,,,
3,4,리그,20,142.3,6857,12788.0,142.3,131.8,119.6,127.9,130.2,140.7,107.0,124.0,42.7,21.4,9.2,10.7,5.6,10.4,0.1,0.0,67.0,28.9,45.7,87.4,65.8,79.7,43.9,,,,,,,
4,5,리그,19,142.2,6214,12775.0,142.2,131.9,120.0,127.4,130.5,140.9,119.3,,41.1,21.0,10.5,9.3,6.4,11.8,0.0,0.0,67.2,29.3,45.8,87.5,66.1,79.8,43.7,,,,,,,
5,6,리그,16,141.5,6414,12806.1,141.5,129.9,117.1,127.3,132.7,138.5,114.1,61.3,50.7,22.0,8.8,7.1,6.2,4.5,0.0,0.6,65.2,26.0,45.2,87.4,61.8,79.9,48.9,,,,,,,
6,7,리그,17,141.3,6031,12781.0,141.3,130.3,117.1,126.7,129.5,138.3,119.5,104.8,46.7,20.2,9.5,8.5,8.4,6.2,0.3,0.3,67.9,29.0,46.1,87.6,66.6,80.2,43.9,,,,,,,
7,8,리그,15,141.3,6229,12787.2,141.3,130.0,117.5,126.9,129.2,134.6,125.4,106.1,50.9,22.2,10.6,6.2,3.7,3.3,0.1,3.0,64.2,25.0,44.8,86.8,60.4,79.5,50.7,,,,,,,
