,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,14,183.56,4937,18,5,1154,569,569,261,483,10191.0,6477,5956,45853,11533,2153,236,1162,4352,103,616,7657,23,545,5.26,5.27,1.56,98.9,99.4,183.56,-106.42,,,
1,2,리그,20,171.39,6857,10,5,1440,706,706,282,675,12788.0,7436,6786,56635,13544,2325,183,1363,5314,163,715,9855,46,650,4.78,4.78,1.48,100.0,99.7,171.39,-69.75,,,
2,3,리그,22,171.17,6719,6,3,1440,707,707,360,739,12854.2,6522,5823,55963,12802,2221,202,1085,4931,208,720,10469,26,609,4.08,4.08,1.38,100.0,99.7,171.17,15.38,,,
3,4,리그,15,170.56,6229,27,12,1440,715,715,285,507,12787.2,7598,6946,56742,13804,2482,202,1511,5254,210,871,10553,47,763,4.89,4.89,1.49,100.0,99.6,170.56,-93.19,,,
4,5,리그,16,170.07,6414,18,7,1440,713,713,325,589,12806.1,8074,7384,57614,14560,2480,248,1483,5373,140,800,9743,57,701,5.19,5.19,1.56,100.0,99.7,170.07,-132.38,,,
5,6,리그,18,169.91,6258,17,4,1440,714,714,304,555,12766.0,7994,7369,56903,14445,2639,187,1756,4622,170,860,10688,41,673,5.20,5.20,1.49,100.0,99.8,169.91,-136.98,,,
6,7,리그,17,169.69,6031,24,9,1440,709,709,321,522,12781.0,7682,7077,56882,14397,2584,219,1547,4520,185,953,10009,45,709,4.98,4.98,1.48,99.9,99.7,169.69,-101.16,,,
7,8,리그,19,169.23,6214,23,12,1440,712,711,348,653,12775.0,6548,5934,55612,13142,2288,226,1014,4748,147,711,9592,39,595,4.18,4.18,1.40,100.0,99.7,169.23,7.02,,,
8,9,리그,21,168.66,6754,13,7,1440,669,669,321,720,12656.2,6894,6260,56059,12561,2182,163,1157,5889,180,792,10191,61,601,4.45,4.45,1.46,99.9,99.6,168.66,-25.86,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,,,
11,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,,,
12,1,SK,19,30.14,628,0,0,144,88,55,51,92,1292.1,546,503,5463,1240,176,14,99,436,12,50,1092,4,50,3.50,3.81,1.30,121.5,112.2,30.14,16.03,,,
13,2,삼성,14,28.70,543,3,1,128,78,47,35,65,1144.0,621,583,4990,1217,257,23,120,395,11,61,996,3,51,4.59,4.65,1.41,115.3,113.6,28.70,-4.68,,,
14,3,LG,22,27.64,748,0,0,144,87,55,43,107,1288.0,520,476,5432,1179,166,34,94,451,27,59,1031,0,50,3.33,3.81,1.27,119.5,104.4,27.64,12.55,,,
15,4,KT,22,26.67,588,1,1,144,80,62,37,65,1287.1,562,509,5405,1243,188,19,92,364,22,63,1074,3,43,3.56,3.54,1.25,115.7,115.0,26.67,7.76,,,
16,5,LG,21,26.62,697,0,0,144,72,58,32,81,1272.1,561,507,5453,1126,197,18,80,545,18,98,1068,5,44,3.59,3.95,1.31,120.3,110.0,26.62,6.45,,,
17,6,NC,16,25.78,628,0,0,144,83,58,36,62,1286.1,690,642,5643,1314,208,18,137,516,2,86,1147,7,84,4.49,4.79,1.42,113.3,107.4,25.78,-3.70,,,
18,7,NC,14,25.28,580,3,1,128,70,57,31,59,1135.2,608,554,5003,1174,223,12,117,481,8,73,848,5,50,4.39,5.14,1.46,118.5,102.6,25.28,-5.78,,,
19,8,롯데,17,24.96,623,1,0,144,80,62,39,59,1287.1,701,653,5634,1357,245,20,162,477,25,79,1096,7,67,4.57,4.91,1.43,110.4,102.6,24.96,-3.64,,,
