,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,20,100.0,6857,12788.0,4.78,4.78,5.23,5.23,0.00,0.46,.313,68.7,4.77,4.79,5.23,5.25,100.0,99.7,4.44,,,,,,,,,,,,,,,
1,,리그,22,100.0,6719,12854.2,4.08,4.08,4.57,4.57,0.00,0.49,.307,70.5,4.08,4.09,4.57,4.58,100.0,99.7,4.21,,,,,,,,,,,,,,,
2,,리그,15,100.0,6229,12787.2,4.89,4.89,5.35,5.35,0.00,0.46,.326,69.2,4.89,4.91,5.35,5.37,100.0,99.6,4.28,,,,,,,,,,,,,,,
3,,리그,16,100.0,6414,12806.1,5.19,5.19,5.67,5.67,-0.00,0.48,.331,67.9,5.19,5.21,5.67,5.69,100.0,99.7,4.49,,,,,,,,,,,,,,,
4,,리그,18,100.0,6258,12766.0,5.20,5.20,5.64,5.64,-0.00,0.44,.329,68.3,5.20,5.20,5.64,5.65,100.0,99.8,4.12,,,,,,,,,,,,,,,
5,,리그,19,100.0,6214,12775.0,4.18,4.18,4.61,4.61,0.00,0.43,.310,70.2,4.18,4.19,4.61,4.63,100.0,99.7,4.35,,,,,,,,,,,,,,,
6,7,리그,17,99.9,6031,12781.0,4.98,4.98,5.41,5.41,-0.00,0.43,.327,68.8,4.99,5.00,5.42,5.42,99.9,99.7,4.24,,,,,,,,,,,,,,,
7,,리그,21,99.9,6754,12656.2,4.45,4.45,4.90,4.90,-0.00,0.45,.304,70.1,4.46,4.47,4.91,4.92,99.9,99.6,4.48,,,,,,,,,,,,,,,
