,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,선발,선발,선발,선발,선발,QS,%,QS+,%,QK,TL,CW,득점지원,등판시 팀성적,등판시 팀성적,등판시 팀성적,구원지원,구원지원,구원지원,구원지원,구원지원,AGS,IP/GS,P/GS,선발WAR,선발WPA,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,선발WAR,등판,이닝,ERA,승,패,QS,%,QS+,%.1,QK,TL,CW,득점지원,승,패,%,BW,BL,LIR,LIS,%,AGS,IP/GS,P/GS,선발WAR,선발WPA,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,14,104.39,1154,6043.0,5.28,363,386,239,20.7,184,15.9,250,42,126,6.75,565,565,50.0,125,121,2461,928,37.7,44.47,5.24,91.46,104.39,-65.83,,,,,,
1,2,리그,19,103.81,1440,7792.0,4.20,478,493,637,44.2,284,19.7,354,110,122,5.07,712,712,50.0,133,124,2508,897,35.8,49.41,5.41,88.95,103.81,0.10,,,,,,
2,3,리그,17,102.04,1440,7694.2,4.88,465,474,577,40.1,257,17.9,315,80,145,5.89,709,709,50.0,142,146,2617,983,37.6,47.13,5.34,90.15,102.04,-51.80,,,,,,
3,4,리그,22,101.95,1440,7675.2,3.89,444,473,623,43.3,237,16.5,406,105,137,4.82,708,708,50.0,162,146,2581,942,36.5,50.94,5.33,88.34,101.95,17.50,,,,,,
4,5,리그,18,101.23,1440,7616.0,5.23,437,471,560,38.9,231,16.0,313,71,135,6.02,714,714,50.0,164,166,2619,993,37.9,46.24,5.29,90.53,101.23,-81.45,,,,,,
5,6,리그,20,100.53,1440,7547.1,4.61,466,479,557,38.7,204,14.2,384,71,139,5.57,706,706,50.0,148,138,2798,1030,36.8,48.02,5.24,89.52,100.53,-28.90,,,,,,
6,7,리그,15,98.74,1440,7412.0,4.87,466,479,525,36.5,249,17.3,392,75,145,5.98,715,715,50.0,124,149,3052,1149,37.7,47.41,5.15,87.90,98.74,-56.08,,,,,,
7,8,리그,16,97.49,1440,7326.1,5.29,449,478,495,34.4,212,14.7,365,76,166,6.50,713,713,50.0,124,153,3279,1227,37.4,45.10,5.09,88.36,97.49,-88.64,,,,,,
8,9,리그,21,97.16,1440,7284.1,4.43,422,453,525,36.5,167,11.6,467,69,129,5.30,669,669,50.0,137,175,2671,969,36.3,49.02,5.06,87.20,97.16,-20.62,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,선발,선발,선발,선발,선발,QS,%,QS+,%,QK,TL,CW,득점지원,등판시 팀성적,등판시 팀성적,등판시 팀성적,구원지원,구원지원,구원지원,구원지원,구원지원,AGS,IP/GS,P/GS,선발WAR,선발WPA,,,,,,
11,순,이름,팀,선발WAR,등판,이닝,ERA,승,패,QS,%,QS+,%,QK,TL,CW,득점지원,승,패,%,BW,BL,LIR,LIS,%,AGS,IP/GS,P/GS,선발WAR,선발WPA,,,,,,
12,1,두산,16,20.12,144,822.0,4.11,75,33,75,52.1,32,22.2,22,8,18,7.30,93,50,65.0,10,13,246,81,32.9,50.18,5.71,97.64,20.12,0.50,,,,,,
13,2,삼성,14,19.84,128,736.1,4.45,53,29,35,27.3,28,21.9,16,4,11,8.30,77,47,62.1,15,16,248,87,35.1,48.77,5.75,96.33,19.84,-0.85,,,,,,
14,3,SK,19,19.82,144,809.0,3.39,65,35,78,54.2,33,22.9,33,8,10,4.96,88,55,61.5,8,10,184,71,38.6,53.60,5.62,89.79,19.82,9.46,,,,,,
15,4,SK,18,17.49,144,773.1,4.17,55,41,60,41.7,22,15.3,42,8,22,6.31,78,65,54.6,17,12,206,66,32.0,50.68,5.37,87.72,17.49,-1.29,,,,,,
16,5,두산,19,17.02,144,826.1,3.44,63,34,81,56.3,35,24.3,29,10,12,5.83,88,55,61.5,15,7,276,98,35.5,53.02,5.74,92.41,17.02,8.80,,,,,,
17,6,키움,22,16.31,144,782.0,3.41,49,40,71,49.3,30,20.8,43,12,11,4.59,80,62,56.3,17,15,167,58,34.7,53.25,5.43,87.24,16.31,7.81,,,,,,
