,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살타,병살타,희생번트,희생번트,희생번트,<2&3B,<2&3B,0&2B,0&2B,ADV,ADV,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,LOB%,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,상황,%,희번,실패,%,N,%,N,%,N,%,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,22,70.5,6719,12854.2,4.08,1.38,31.6,70.5,1076,11548,9.3,610,358,63.0,2147,65.1,922,54.6,4760,22.4,,,,,,,,,,,,,,
1,2,리그,19,70.2,6214,12775.0,4.18,1.40,31.9,70.2,1122,11599,9.7,436,413,51.4,2124,65.6,1025,56.0,4964,23.0,,,,,,,,,,,,,,
2,3,리그,21,70.1,6754,12656.2,4.45,1.46,32.5,70.1,1077,12202,8.8,496,342,59.2,2131,62.9,915,52.9,4898,22.2,,,,,,,,,,,,,,
3,4,리그,15,69.2,6229,12787.2,4.89,1.49,34.9,69.2,1147,11512,10.0,834,455,64.7,2517,66.2,911,53.7,5121,24.6,,,,,,,,,,,,,,
4,5,리그,17,68.8,6031,12781.0,4.98,1.48,35.6,68.8,1178,11741,10.0,600,389,60.7,2249,64.0,973,54.1,5014,23.1,,,,,,,,,,,,,,
5,6,리그,20,68.7,6857,12788.0,4.78,1.48,34.7,68.7,1173,12047,9.7,486,343,58.6,2129,64.4,936,53.2,5190,23.4,,,,,,,,,,,,,,
6,7,리그,18,68.3,6258,12766.0,5.20,1.49,37.0,68.3,1138,11864,9.6,447,390,53.4,2024,62.5,1009,53.3,4974,22.7,,,,,,,,,,,,,,
7,8,리그,16,67.9,6414,12806.1,5.19,1.56,35.6,67.9,1172,12344,9.5,651,429,60.3,2494,65.5,973,53.7,5475,24.2,,,,,,,,,,,,,,
8,9,리그,14,67.4,4937,10191.0,5.26,1.56,36.1,67.4,900,9435,9.5,613,237,72.1,2127,66.5,818,55.4,4425,25.5,,,,,,,,,,,,,,
