,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,GO/FO,출장,이닝,땅볼,뜬공,GO/FO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,15,1.13,6229,12787.2,13266,11751,1.13,69.1,47.3,52.7,.326,.071,.611,3811,32.4,1296,9.4,542,1325,152,321,.321,1250,12.2,,,,,,,,,,
1,2,리그,16,1.08,6414,12806.1,13485,12519,1.08,71.2,46.6,53.4,.331,.073,.609,4071,32.5,1375,9.4,626,1490,173,263,.397,1170,14.8,,,,,,,,,,
2,3,리그,14,1.07,4937,10191.0,10687,9986,1.07,71.1,48.5,51.6,.330,.156,.516,3167,31.7,2549,22.1,447,1076,125,135,.481,766,16.3,,,,,,,,,,
3,4,리그,22,1.07,6719,12854.2,13437,12610,1.07,70.1,48.0,52.0,.307,.066,.574,4008,31.8,1221,9.5,739,1577,172,226,.432,1078,16.0,,,,,,,,,,
4,5,리그,17,1.07,6031,12781.0,13392,12577,1.07,71.7,46.3,53.8,.327,.067,.606,4048,32.2,1258,8.7,602,1385,151,263,.365,1136,13.3,,,,,,,,,,
5,6,리그,18,1.05,6258,12766.0,13000,12438,1.05,70.8,45.9,54.2,.329,.068,.612,4073,32.8,1234,8.5,599,1338,120,212,.361,998,12.0,,,,,,,,,,
6,7,리그,19,1.02,6214,12775.0,13386,13117,1.02,72.2,47.2,52.8,.310,.066,.570,4128,31.5,1230,9.4,625,1429,116,244,.322,1047,11.1,,,,,,,,,,
7,8,리그,21,1.01,6754,12656.2,12914,12739,1.01,69.0,47.4,52.7,.304,.063,.568,4053,31.8,1143,9.1,690,1450,145,223,.394,993,14.6,,,,,,,,,,
8,9,리그,20,0.97,6857,12788.0,12951,13333,0.97,71.1,45.9,54.1,.313,.059,.579,4271,32.0,1082,8.0,628,1320,94,172,.353,831,11.3,,,,,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트,,,,,,,,,,
11,순,이름,팀,GO/FO,출장,이닝,땅볼,뜬공,GO/FO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%,,,,,,,,,,
12,1,SK,16,1.37,600,1274.0,1512,1105,1.37,71.6,49.9,50.1,.317,.074,.618,341,30.9,148,10.7,70,161,12,31,.279,118,10.2,,,,,,,,,,
13,2,LG,15,1.32,616,1279.2,1406,1065,1.32,68.9,50.5,49.5,.329,.086,.628,364,34.2,165,12.2,47,141,21,31,.404,136,15.4,,,,,,,,,,
14,3,KT,21,1.23,613,1262.2,1398,1135,1.23,69.7,50.1,49.9,.297,.063,.571,342,30.1,116,9.9,79,175,12,13,.480,102,11.8,,,,,,,,,,
15,4,롯데,15,1.23,618,1281.1,1406,1143,1.23,70.9,47.6,52.4,.333,.078,.625,358,31.3,148,10.1,59,116,20,32,.385,139,14.4,,,,,,,,,,
16,5,키움,22,1.23,649,1296.1,1464,1193,1.23,70.6,49.4,50.6,.300,.057,.577,361,30.3,110,8.8,75,171,16,22,.421,119,13.5,,,,,,,,,,
17,6,롯데,22,1.23,675,1280.2,1347,1099,1.23,67.8,48.1,52.0,.342,.082,.617,342,31.1,151,11.0,70,163,25,22,.532,107,23.4,,,,,,,,,,
18,7,LG,21,1.21,697,1272.1,1382,1147,1.21,67.8,50.9,49.2,.289,.053,.572,379,33.0,98,8.7,59,133,13,25,.342,118,11.0,,,,,,,,,,
19,8,롯데,16,1.20,668,1266.1,1375,1142,1.20,70.1,46.3,53.7,.340,.060,.640,371,32.5,111,7.5,58,153,19,36,.346,128,14.8,,,,,,,,,,
20,9,롯데,17,1.18,623,1287.1,1368,1159,1.18,69.8,47.8,52.3,.317,.068,.608,364,31.4,125,9.2,55,136,23,18,.561,119,19.3,,,,,,,,,,
21,10,넥센,15,1.17,587,1286.0,1365,1164,1.17,69.6,48.7,51.3,.329,.071,.630,419,36.0,136,9.7,64,148,14,29,.326,115,12.2,,,,,,,,,,
22,11,KT,18,1.16,631,1274.1,1371,1178,1.16,72.6,46.5,53.5,.349,.078,.648,401,34.0,149,9.4,55,133,21,27,.438,131,16.0,,,,,,,,,,
23,12,SK,17,1.16,608,1270.2,1413,1222,1.16,72.2,46.9,53.1,.326,.065,.610,380,31.1,124,8.6,56,159,11,29,.275,112,9.8,,,,,,,,,,
24,13,SK,15,1.15,621,1280.2,1307,1134,1.15,67.9,47.3,52.7,.327,.070,.617,368,32.5,125,9.2,54,125,10,39,.204,124,8.1,,,,,,,,,,
25,14,KIA,14,1.15,507,1121.2,1182,1026,1.15,69.1,49.2,50.8,.341,.156,.543,344,33.5,280,21.7,59,119,16,16,.500,86,18.6,,,,,,,,,,
26,15,넥센,18,1.15,591,1282.0,1389,1208,1.15,72.1,47.5,52.5,.325,.073,.615,392,32.5,139,9.6,59,129,13,21,.382,112,11.6,,,,,,,,,,
