,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,19,3.80,6214,12775.0,55612,211558,3.80,27.4,14.7,27.6,30.3,63.3,36.7,45.9,29.3,20.3,11.5,75.1,35.4,7380,2212,23.1,59443,4957,8.3,,,,,,,,,
1,2,리그,17,3.86,6031,12781.0,56882,219441,3.86,27.5,14.5,28.4,29.6,63.7,36.3,46.2,30.0,20.0,11.4,76.0,35.0,7386,2623,26.2,58354,4957,8.5,,,,,,,,,
2,3,리그,18,3.87,6258,12766.0,56903,220433,3.87,26.7,15.8,28.4,29.1,63.5,36.5,46.5,30.1,21.6,12.3,74.4,34.8,8214,2474,23.2,60652,5180,8.5,,,,,,,,,
3,4,리그,22,3.88,6719,12854.2,55963,217023,3.88,27.2,15.8,28.2,28.9,63.6,36.4,46.3,29.0,21.7,12.3,74.7,34.6,8140,2329,22.3,60558,4937,8.2,,,,,,,,,
4,5,리그,16,3.89,6414,12806.1,57614,223863,3.89,26.8,14.8,28.3,30.1,61.9,38.1,45.3,29.4,20.2,11.2,8.9,67.5,7427,2316,23.8,68196,5733,8.4,,,,,,,,,
5,6,리그,20,3.90,6857,12788.0,56635,220846,3.90,26.9,14.9,28.7,29.5,62.6,37.4,45.8,28.9,20.4,11.5,76.1,34.5,7583,2272,23.1,65047,5440,8.4,,,,,,,,,
6,7,리그,14,3.91,4937,10191.0,45853,179320,3.91,28.6,13.6,27.7,30.1,61.6,38.4,44.0,27.5,19.1,10.3,39.8,58.4,5819,1838,24.0,53979,4167,7.7,,,,,,,,,
7,8,리그,15,3.92,6229,12787.2,56742,222207,3.92,28.1,14.8,28.2,28.9,62.4,37.7,44.9,28.7,20.6,11.3,4.5,67.1,7951,2602,24.7,64263,5197,8.1,,,,,,,,,
