,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,상대 타자,상대 타자,상대 타자,상대 타자,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,FIP,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율,출루율,장타율,OPS,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
0,1,리그,22,4.08,6719,12854.2,4.08,4.08,7.33,3.45,2.12,0.76,18.7,8.8,9.9,1.20,.307,70.5,.260,.333,.379,.713,1.38,1.44,217023,1.9,32.3,16.9,3.88,2358.2,,,,,,
1,2,리그,19,4.18,6214,12775.0,4.18,4.18,6.76,3.35,2.02,0.71,17.2,8.5,8.7,1.12,.310,70.2,.267,.337,.385,.722,1.40,1.46,211558,2.1,34.1,16.6,3.80,2124.7,,,,,,
2,3,리그,21,4.45,6754,12656.2,4.45,4.45,7.25,4.19,1.73,0.82,18.2,10.5,7.7,1.27,.304,70.1,.260,.346,.383,.730,1.46,1.52,220905,1.9,32.7,17.5,3.94,1756.4,,,,,,
3,4,리그,20,4.78,6857,12788.0,4.78,4.78,6.94,3.74,1.86,0.96,17.4,9.4,8.0,1.19,.313,68.7,.273,.349,.409,.758,1.48,1.53,220846,1.9,32.2,17.3,3.90,1299.5,,,,,,
4,5,리그,15,4.89,6229,12787.2,4.89,4.89,7.43,3.70,2.01,1.06,18.6,9.3,9.3,1.24,.326,69.2,.280,.357,.430,.787,1.49,1.56,222207,2.1,35.7,17.4,3.92,1218.1,,,,,,
5,6,리그,17,4.98,6031,12781.0,4.98,4.98,7.05,3.18,2.21,1.09,17.6,7.9,9.6,1.14,.327,68.8,.286,.353,.438,.791,1.48,1.56,219441,2.1,36.4,17.2,3.86,1023.4,,,,,,
6,7,리그,16,5.19,6414,12806.1,5.19,5.19,6.85,3.78,1.81,1.04,16.9,9.3,7.6,1.18,.331,67.9,.290,.364,.437,.801,1.56,1.62,223863,2.0,34.9,17.5,3.89,706.5,,,,,,
7,8,리그,18,5.20,6258,12766.0,5.20,5.20,7.54,3.26,2.31,1.24,18.8,8.1,10.7,1.20,.329,68.3,.286,.353,.450,.803,1.49,1.56,220433,2.0,35.2,17.3,3.87,796.8,,,,,,
