,순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
0,1,박세혁,22두C, 0.622 , 126 , 110 , 884.0 , 762 , 689 , 68 , 5 , .993 , 7.71 , -0.09 , 0.00 , -0.99 , -0.52 , 0.29 , -1.30 , -1.76 , 7.28 , 5.98 , -0.136 
1,2,강승호,22두2B, 0.381 , 131 , 113 , 1005.2 , 581 , 256 , 311 , 14 , .976 , 5.07 , 2.77 , 0.00 , 0.00 , 0.00 , -0.17 , 2.60 , 3.10 , 1.08 , 3.68 , 0.269 
2,3,김재호,22두SS, 0.338 , 101 , 65 , 614.0 , 312 , 113 , 193 , 6 , .981 , 4.49 , -0.88 , 0.00 , 0.00 , 0.00 , 1.20 , 0.32 , 0.63 , 2.91 , 3.23 , 0.034 
3,4,장승현,22두C, 0.167 , 59 , 24 , 260.1 , 212 , 194 , 14 , 4 , .981 , 7.19 , -0.12 , 0.00 , -0.17 , 0.17 , -0.42 , -0.53 , -2.46 , 2.14 , 1.60 , -0.056 
4,5,안승한,22두C, 0.154 , 29 , 8 , 96.0 , 87 , 77 , 10 , 0 , 1.000 , 8.16 , 0.37 , 0.00 , 0.60 , -0.41 , 0.14 , 0.70 , 8.67 , 0.80 , 1.49 , 0.072 
5,6,홍건희,22두P, 0.077 , 58 , 0 , 62.0 , 17 , 5 , 12 , 0 , 1.000 , 2.47 , 0.56 , 0.00 , 0.00 , 0.03 , 0.15 , 0.74 , 14.31 , 0.00 , 0.74 , 0.077 
6,7,신성현,22두LF, 0.060 , 12 , 7 , 49.2 , 17 , 14 , 1 , 2 , .882 , 2.72 , 0.61 , 0.58 , 0.00 , 0.00 , -0.36 , 0.83 , 19.93 , -0.26 , 0.57 , 0.087 
7,8,이영하,22두P, 0.053 , 21 , 20 , 98.2 , 23 , 3 , 18 , 2 , .913 , 1.92 , 0.62 , 0.00 , 0.00 , 0.05 , -0.15 , 0.51 , 6.24 , 0.00 , 0.51 , 0.053 
8,9,박치국,22두P, 0.044 , 15 , 0 , 11.2 , 4 , 0 , 4 , 0 , 1.000 , 3.09 , 0.51 , 0.00 , -0.12 , 0.01 , 0.03 , 0.42 , 43.20 , 0.00 , 0.42 , 0.044 
9,10,전창민,22두P, 0.034 , 9 , 0 , 9.1 , 3 , 0 , 3 , 0 , 1.000 , 2.89 , 0.30 , 0.00 , 0.00 , 0.00 , 0.02 , 0.33 , 42.19 , 0.00 , 0.33 , 0.034 
10,11,미란다,22두P, 0.020 , 3 , 3 , 7.2 , 2 , 0 , 2 , 0 , 1.000 , 2.35 , 0.17 , 0.00 , 0.00 , 0.00 , 0.02 , 0.19 , 29.89 , 0.00 , 0.19 , 0.020 
11,12,김강률,22두P, 0.020 , 26 , 0 , 24.2 , 2 , 1 , 1 , 0 , 1.000 , 0.73 , 0.12 , 0.00 , 0.00 , 0.01 , 0.06 , 0.19 , 9.21 , 0.00 , 0.19 , 0.020 
12,13,곽빈,22두P, 0.019 , 27 , 27 , 147.2 , 28 , 9 , 18 , 1 , .964 , 1.65 , -0.06 , 0.00 , 0.00 , 0.07 , 0.17 , 0.18 , 1.47 , 0.00 , 0.18 , 0.019 
13,14,김지용,22두P, 0.018 , 18 , 0 , 19.1 , 3 , 1 , 2 , 0 , 1.000 , 1.40 , 0.12 , 0.00 , 0.00 , 0.01 , 0.05 , 0.17 , 10.79 , 0.00 , 0.17 , 0.018 
14,15,권휘,22두P, 0.016 , 10 , 0 , 9.1 , 2 , 0 , 2 , 0 , 1.000 , 1.93 , 0.13 , 0.00 , 0.00 , 0.00 , 0.02 , 0.16 , 20.37 , 0.00 , 0.16 , 0.016 
15,16,윤명준,22두P, 0.013 , 20 , 0 , 22.1 , 5 , 1 , 4 , 0 , 1.000 , 2.02 , 0.31 , 0.00 , -0.12 , -0.12 , 0.06 , 0.13 , 6.79 , 0.00 , 0.13 , 0.013 
16,17,정철원,22두P, 0.012 , 58 , 0 , 72.2 , 22 , 4 , 18 , 0 , 1.000 , 2.73 , -0.10 , 0.00 , 0.00 , 0.04 , 0.18 , 0.12 , 1.98 , 0.00 , 0.12 , 0.012 
17,18,박웅,22두P, 0.009 , 8 , 0 , 6.0 , 1 , 0 , 1 , 0 , 1.000 , 1.50 , 0.07 , 0.00 , 0.00 , 0.00 , 0.01 , 0.08 , 16.62 , 0.00 , 0.08 , 0.009 
18,19,김명신,22두P, 0.004 , 68 , 0 , 79.2 , 13 , 4 , 9 , 0 , 1.000 , 1.47 , -0.19 , 0.00 , 0.00 , 0.04 , 0.20 , 0.04 , 0.65 , 0.00 , 0.04 , 0.004 
19,20,최용제,22두C, 0.001 , 1 , 0 , 1.0 , 1 , 1 , 0 , 0 , 1.000 , 9.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.01 , 6.63 , 0.01 , 0.01 , 0.001 
20,21,최지강,22두P, 0.001 , 2 , 0 , 1.2 , 0 , 0 , 0 , 0 ,  , 0.00 , -0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3.48 , 0.00 , 0.00 , 0.001 
21,22,안재석,22두SS, -0.006 , 89 , 69 , 577.0 , 334 , 127 , 192 , 15 , .955 , 4.98 , -1.66 , 0.00 , 0.00 , 0.00 , -0.86 , -2.52 , -5.22 , 2.46 , -0.06 , -0.263 
22,23,오재원,22두2B, -0.007 , 16 , 8 , 79.2 , 48 , 36 , 12 , 0 , 1.000 , 5.42 , -0.03 , 0.00 , 0.00 , 0.00 , 0.19 , 0.15 , 2.32 , -0.22 , -0.06 , 0.016 
23,24,박유연,22두C, -0.014 , 10 , 2 , 32.0 , 32 , 29 , 3 , 0 , 1.000 , 9.00 , 0.00 , 0.00 , -0.18 , -0.27 , 0.05 , -0.40 , -14.88 , 0.26 , -0.13 , -0.041 
24,25,허경민,22두3B, -0.015 , 120 , 117 , 978.1 , 280 , 111 , 159 , 10 , .964 , 2.48 , -2.68 , 0.00 , 0.00 , 0.00 , 0.91 , -1.78 , -2.17 , 1.63 , -0.14 , -0.182 
25,26,브랜든,22두P, -0.021 , 11 , 11 , 65.0 , 12 , 4 , 8 , 0 , 1.000 , 1.66 , -0.40 , 0.00 , 0.00 , 0.03 , 0.16 , -0.20 , -3.74 , 0.00 , -0.20 , -0.021 
26,27,양찬열,22두RF, -0.025 , 36 , 23 , 195.0 , 47 , 45 , 1 , 1 , .979 , 2.12 , 1.27 , -0.49 , 0.00 , 0.00 , -0.05 , 0.73 , 4.49 , -0.97 , -0.24 , 0.076 
27,28,이병헌,22두P, -0.026 , 9 , 0 , 5.0 , 0 , 0 , 0 , 0 ,  , 0.00 , -0.00 , 0.00 , 0.00 , -0.27 , 0.01 , -0.25 , -60.68 , 0.00 , -0.25 , -0.026 
28,29,스탁,22두P, -0.034 , 29 , 29 , 165.0 , 28 , 11 , 16 , 1 , .964 , 1.47 , -0.62 , 0.00 , 0.00 , 0.08 , 0.21 , -0.33 , -2.37 , 0.00 , -0.33 , -0.034 
29,30,이현승,22두P, -0.036 , 23 , 0 , 8.2 , 1 , 0 , 1 , 0 , 1.000 , 1.04 , -0.37 , 0.00 , 0.00 , 0.00 , 0.02 , -0.35 , -47.78 , 0.00 , -0.35 , -0.036 
30,31,권민석,22두3B, -0.038 , 13 , 0 , 21.1 , 12 , 11 , 1 , 0 , 1.000 , 5.06 , -0.37 , 0.00 , 0.00 , 0.00 , 0.06 , -0.31 , -17.63 , -0.05 , -0.36 , -0.033 
31,32,박정수,22두P, -0.038 , 13 , 0 , 19.2 , 3 , 1 , 2 , 0 , 1.000 , 1.37 , -0.29 , 0.00 , 0.00 , -0.12 , 0.05 , -0.37 , -22.42 , 0.00 , -0.37 , -0.038 
32,33,전민재,22두SS, -0.039 , 25 , 11 , 110.1 , 59 , 24 , 33 , 2 , .966 , 4.65 , -0.86 , 0.00 , 0.00 , 0.00 , 0.01 , -0.85 , -9.21 , 0.47 , -0.38 , -0.088 
33,34,최원준,22두P, -0.040 , 30 , 30 , 165.0 , 20 , 7 , 11 , 2 , .900 , 0.98 , -0.48 , 0.00 , 0.00 , 0.08 , 0.01 , -0.39 , -2.81 , 0.00 , -0.39 , -0.040 
34,35,박신지,22두P, -0.049 , 29 , 9 , 61.2 , 15 , 4 , 9 , 2 , .867 , 1.90 , -0.26 , 0.00 , 0.00 , 0.03 , -0.25 , -0.47 , -9.14 , 0.00 , -0.47 , -0.049 
35,36,이형범,22두P, -0.049 , 31 , 0 , 31.0 , 6 , 2 , 3 , 1 , .833 , 1.45 , -0.37 , 0.00 , 0.00 , 0.02 , -0.12 , -0.48 , -18.49 , 0.00 , -0.48 , -0.049 
36,37,김동주,22두P, -0.071 , 10 , 0 , 16.2 , 3 , 2 , 0 , 1 , .667 , 1.08 , -0.54 , 0.00 , 0.00 , 0.01 , -0.16 , -0.69 , -49.46 , 0.00 , -0.69 , -0.071 
37,38,김태근,22두CF, -0.077 , 2 , 2 , 16.1 , 4 , 4 , 0 , 0 , 1.000 , 2.20 , -0.83 , -0.02 , 0.00 , 0.00 , 0.01 , -0.83 , -60.79 , 0.03 , -0.80 , -0.080 
38,39,임창민,22두P, -0.083 , 32 , 0 , 27.1 , 4 , 1 , 2 , 1 , .750 , 0.99 , -0.55 , 0.00 , 0.00 , -0.12 , -0.13 , -0.80 , -35.00 , 0.00 , -0.80 , -0.083 
39,40,강현구,22두LF, -0.085 , 3 , 3 , 11.2 , 4 , 2 , 0 , 2 , .500 , 1.54 , -0.20 , -0.20 , 0.00 , 0.00 , -0.39 , -0.79 , -81.42 , -0.06 , -0.85 , -0.079 
40,41,홍성호,22두RF, -0.085 , 10 , 3 , 30.0 , 4 , 4 , 0 , 0 , 1.000 , 1.20 , -0.55 , -0.17 , 0.00 , 0.00 , 0.02 , -0.70 , -27.85 , -0.12 , -0.82 , -0.073 
41,42,박계범,22두3B, -0.086 , 69 , 45 , 394.2 , 157 , 52 , 97 , 8 , .949 , 3.40 , -1.48 , 0.00 , 0.00 , 0.00 , -0.36 , -1.84 , -5.57 , 1.01 , -0.83 , -0.191 
42,43,강진성,22두1B, -0.099 , 33 , 20 , 178.2 , 136 , 129 , 7 , 0 , 1.000 , 6.85 , 0.31 , -0.23 , 0.00 , 0.00 , 0.29 , 0.37 , 2.49 , -1.32 , -0.95 , 0.039 
43,44,장원준,22두P, -0.099 , 27 , 0 , 17.0 , 1 , 0 , 0 , 1 , .000 , 0.00 , -0.74 , 0.00 , 0.00 , -0.06 , -0.16 , -0.96 , -67.51 , 0.00 , -0.96 , -0.099 
44,45,조수행,22두LF, -0.104 , 101 , 22 , 355.1 , 86 , 84 , 2 , 0 , 1.000 , 2.18 , 0.43 , -0.48 , 0.00 , 0.00 , 0.25 , 0.19 , 0.65 , -1.20 , -1.00 , 0.020 
