,순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR,WPA
0,1,허경민,22두3B, 3.29 , 121 , 493 , 432 , 59 , 125 , 23 , 0 , 8 , 172 , 60 , 10 , 3 , 36 , 16 , 3 , 40 , 12 , 2 , 7 , .289 , .361 , .398 , .759 , .350 , 119.6 , 3.29 , 1.82 
1,2,김재환,22두LF, 3.24 , 128 , 517 , 448 , 64 , 111 , 24 , 1 , 23 , 206 , 72 , 2 , 1 , 61 , 4 , 4 , 133 , 5 , 0 , 4 , .248 , .340 , .460 , .800 , .360 , 130.7 , 3.24 , 0.33 
2,3,강승호,22두2B, 2.34 , 134 , 487 , 444 , 54 , 117 , 28 , 1 , 10 , 177 , 62 , 13 , 5 , 29 , 3 , 0 , 100 , 8 , 6 , 5 , .264 , .310 , .399 , .708 , .320 , 100.5 , 2.34 , 0.53 
3,4,페르난데스,22두DH, 1.83 , 139 , 550 , 508 , 52 , 157 , 28 , 0 , 6 , 203 , 77 , 0 , 0 , 35 , 2 , 0 , 45 , 34 , 0 , 5 , .309 , .353 , .400 , .752 , .349 , 118.6 , 1.83 , -0.21 
4,5,양석환,22두1B, 1.57 , 107 , 446 , 406 , 58 , 99 , 14 , 1 , 20 , 175 , 51 , 1 , 0 , 32 , 7 , 3 , 101 , 3 , 0 , 1 , .244 , .309 , .431 , .741 , .334 , 113.0 , 1.57 , 0.05 
5,6,박세혁,22두C, 1.29 , 128 , 402 , 351 , 33 , 87 , 13 , 1 , 3 , 111 , 41 , 2 , 2 , 33 , 6 , 1 , 71 , 4 , 8 , 4 , .248 , .320 , .316 , .636 , .295 , 80.4 , 1.29 , -1.26 
6,7,김인태,22두RF, 1.17 , 83 , 279 , 235 , 25 , 58 , 6 , 0 , 5 , 79 , 25 , 1 , 0 , 41 , 3 , 1 , 47 , 6 , 0 , 0 , .247 , .366 , .336 , .702 , .337 , 109.9 , 1.17 , 0.08 
7,8,안권수,22두RF, 1.15 , 76 , 267 , 239 , 43 , 71 , 7 , 2 , 0 , 82 , 20 , 3 , 4 , 26 , 1 , 0 , 40 , 6 , 1 , 0 , .297 , .368 , .343 , .712 , .339 , 108.3 , 1.15 , -0.47 
8,9,정수빈,22두CF, 1.13 , 127 , 455 , 405 , 58 , 105 , 12 , 4 , 3 , 134 , 41 , 15 , 8 , 39 , 1 , 1 , 56 , 2 , 6 , 4 , .259 , .323 , .331 , .654 , .303 , 85.3 , 1.13 , 0.81 
9,10,김민혁,22두1B, 0.79 , 38 , 97 , 88 , 11 , 25 , 2 , 0 , 5 , 42 , 16 , 0 , 0 , 7 , 2 , 0 , 25 , 6 , 0 , 0 , .284 , .351 , .477 , .828 , .377 , 142.7 , 0.79 , 0.11 
