,순,이름,팀,P/PA(정렬),타석,투구,P/PA,스트라이크_루킹%,스트라이크_헛스윙%,스트라이크_파울%,스트라이크_타격%,투구비율_S,투구비율_B,배트적극성%_전체,배트적극성%_초구,컨택%,2S후커트%,2S후선구%,스윙삼진%,루킹삼진%,LSO%,배팅찬스_N,배팅찬스_스윙,배팅찬스_W%
0,1,김태근,22두CF, 5.33 , 6 , 32 , 5.33 , 15.0 , 20.0 , 50.0 , 15.0 , 62.5 , 37.5 , 53.1 , 50.0 , 76.5 , 88.9 , 30.8 , 1 , 0 , 0.0 , 12 , 1 , 8.3 
1,2,최용제,22두, 5.00 , 1 , 5 , 5.00 , 0.0 , 0.0 , 100.0 , 0.0 , 40.0 , 60.0 , 40.0 , 0.0 , 100.0 ,  , 100.0 , 0 , 0 ,  , 0 , 0 ,  
2,3,김인태,22두RF, 4.19 , 279 , 1170 , 4.19 , 29.7 , 16.4 , 26.4 , 27.5 , 58.4 , 41.6 , 41.0 , 29.0 , 76.7 , 77.1 , 43.4 , 40 , 7 , 14.9 , 301 , 28 , 9.3 
3,4,송승환,22두LF, 4.00 , 28 , 112 , 4.00 , 24.4 , 14.6 , 35.4 , 25.6 , 73.2 , 26.8 , 55.4 , 28.6 , 80.7 , 83.9 , 20.5 , 5 , 2 , 28.6 , 30 , 2 , 6.7 
4,5,안권수,22두RF, 3.99 , 267 , 1066 , 3.99 , 29.5 , 9.4 , 32.3 , 28.8 , 65.1 , 34.9 , 45.9 , 33.7 , 86.7 , 83.3 , 30.6 , 29 , 11 , 27.5 , 294 , 22 , 7.5 
5,6,강진성,22두1B, 3.97 , 94 , 373 , 3.97 , 29.0 , 13.2 , 31.1 , 26.8 , 61.1 , 38.9 , 43.4 , 17.0 , 81.5 , 70.2 , 31.6 , 18 , 2 , 10.0 , 112 , 12 , 10.7 
6,7,김재환,22두LF, 3.96 , 517 , 2047 , 3.96 , 16.2 , 27.6 , 30.5 , 25.6 , 60.8 , 39.2 , 51.0 , 48.4 , 67.0 , 63.7 , 37.1 , 106 , 27 , 20.3 , 546 , 65 , 11.9 
7,8,조수행,22두LF, 3.94 , 134 , 528 , 3.94 , 28.9 , 18.2 , 24.9 , 28.0 , 62.3 , 37.7 , 44.3 , 29.9 , 74.4 , 66.3 , 37.9 , 21 , 10 , 32.3 , 128 , 12 , 9.4 
8,9,김재호,22두SS, 3.92 , 264 , 1035 , 3.92 , 29.9 , 9.2 , 29.2 , 31.8 , 61.2 , 38.8 , 42.9 , 25.8 , 86.9 , 82.3 , 39.2 , 22 , 11 , 33.3 , 326 , 25 , 7.7 
9,10,박세혁,22두C, 3.90 , 402 , 1566 , 3.90 , 21.6 , 16.0 , 32.9 , 29.5 , 63.2 , 36.9 , 49.5 , 32.6 , 79.6 , 76.6 , 36.5 , 55 , 16 , 22.5 , 411 , 42 , 10.2 
