,순,이름,팀,WPA(정렬),타석,득점권 PA,득점권%,득점권 타율,타점,순수,주자,타점%,타격(RE24),주루(RE24),RE24,REW,타격(WPA),주루(WPA),Plus,Minus,WPA,pLI,WPA/LI,Clutch,ph,phLI
0,1,허경민,22두3B, 1.82 , 493 , 125 , 25.4 , .320 , 60 , 52 , 229 , 22.7 , 9.44 , 3.92 , 13.36 , 1.36 , 1.54 , 0.29 , 9.92 , -8.09 , 1.82 , 1.05 , 1.28 , 0.46 , 3 , 3.95 
1,2,정수빈,22두CF, 0.81 , 455 , 110 , 24.2 , .237 , 41 , 38 , 232 , 16.4 , -6.27 , 1.50 , -4.77 , -0.49 , 0.59 , 0.23 , 8.19 , -7.39 , 0.81 , 1.03 , -0.39 , 1.18 , 2 , 1.61 
2,3,강승호,22두2B, 0.53 , 487 , 122 , 25.1 , .299 , 62 , 52 , 291 , 17.9 , 0.14 , 0.24 , 0.37 , 0.04 , 0.58 , -0.04 , 8.74 , -8.21 , 0.53 , 1.00 , -0.30 , 0.83 , 8 , 1.18 
3,4,양찬열,22두RF, 0.38 , 94 , 24 , 25.5 , .238 , 12 , 9 , 52 , 17.3 , 1.81 , 0.00 , 1.81 , 0.19 , 0.38 , 0.00 , 1.99 , -1.61 , 0.38 , 1.06 , 0.37 , -0.01 , 5 , 2.03 
4,5,김재환,22두LF, 0.33 , 517 , 139 , 26.9 , .271 , 72 , 49 , 280 , 17.5 , 9.07 , 2.22 , 11.29 , 1.15 , 0.14 , 0.19 , 9.76 , -9.43 , 0.33 , 1.05 , 1.23 , -0.91 , 5 , 1.86 
5,6,송승환,22두LF, 0.22 , 28 , 11 , 39.3 , .182 , 4 , 3 , 23 , 13.0 , -1.80 , -0.50 , -2.31 , -0.24 , 0.27 , -0.05 , 0.80 , -0.58 , 0.22 , 1.12 , -0.02 , 0.22 , 3 , 2.89 
6,7,안승한,22두C, 0.21 , 39 , 15 , 38.5 , .385 , 8 , 8 , 30 , 26.7 , 2.05 , 0.00 , 2.05 , 0.21 , 0.21 , 0.00 , 0.70 , -0.49 , 0.21 , 0.83 , -0.05 , 0.30 , 1 , 0.00 
7,8,오재원,22두2B, 0.18 , 31 , 11 , 35.5 , .111 , 4 , 4 , 16 , 25.0 , -2.23 , -0.47 , -2.70 , -0.28 , 0.15 , 0.03 , 0.96 , -0.78 , 0.18 , 1.45 , -0.28 , 0.41 , 1 , 0.63 
8,9,김태근,22두CF, 0.14 , 6 , 1 , 16.7 , 1.000 , 2 , 2 , 4 , 50.0 , 2.11 , -0.25 , 1.86 , 0.19 , 0.16 , -0.02 , 0.17 , -0.03 , 0.14 , 0.59 , 0.19 , 0.04 , 0 ,  
9,10,김민혁,22두1B, 0.11 , 97 , 29 , 29.9 , .320 , 16 , 11 , 60 , 18.3 , -0.57 , 0.15 , -0.43 , -0.04 , 0.09 , 0.02 , 1.75 , -1.63 , 0.11 , 0.95 , 0.60 , -0.48 , 17 , 0.96 
10,11,김인태,22두RF, 0.08 , 279 , 71 , 25.5 , .246 , 25 , 20 , 139 , 14.4 , -3.39 , 0.46 , -2.93 , -0.30 , 0.02 , 0.06 , 4.85 , -4.77 , 0.08 , 1.08 , 0.14 , -0.07 , 14 , 1.66 
11,12,양석환,22두1B, 0.05 , 446 , 116 , 26.0 , .243 , 51 , 31 , 263 , 11.8 , -7.79 , 0.77 , -7.02 , -0.72 , -0.04 , 0.09 , 7.49 , -7.44 , 0.05 , 0.95 , -0.55 , 0.60 , 2 , 0.54 
12,13,박유연,22두C, 0.04 , 19 , 4 , 21.1 , .250 , 2 , 2 , 13 , 15.4 , 0.87 , 0.00 , 0.87 , 0.09 , 0.04 , 0.00 , 0.19 , -0.15 , 0.04 , 0.64 , 0.00 , 0.06 , 3 , 0.59 
13,14,최용제,22두, 0.03 , 1 , 1 , 100.0 ,  , 0 , 0 , 0 ,  , 0.18 , 0.00 , 0.18 , 0.02 , 0.03 , 0.00 , 0.03 , 0.00 , 0.03 , 3.46 , 0.01 , 0.00 , 1 , 3.46 
14,15,강현구,22두LF, 0.03 , 5 , 0 , 0.0 ,  , 0 , 0 , 2 , 0.0 , 0.40 , 0.00 , 0.40 , 0.04 , 0.03 , 0.00 , 0.07 , -0.04 , 0.03 , 0.67 , 0.05 , -0.01 , 0 ,  
