,순,이름,팀,WAR(정렬),출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,WAR
0,1,정철원,22두, 2.51 , 58 , 0 , 0 , 0 , 4 , 3 , 3 , 23 , 72.2 , 26 , 25 , 294 , 60 , 12 , 2 , 4 , 26 , 2 , 2 , 47 , 0 , 7 , 3.10 , 3.83 , 1.18 , 128.5 , 104.6 , 2.51 , 1.10 
1,2,곽빈,22두, 2.36 , 27 , 0 , 0 , 27 , 8 , 9 , 0 , 0 , 147.2 , 69 , 62 , 645 , 143 , 30 , 0 , 13 , 60 , 1 , 11 , 138 , 1 , 9 , 3.78 , 4.04 , 1.38 , 105.3 , 98.3 , 2.36 , 0.45 
2,3,김명신,22두, 1.64 , 68 , 0 , 0 , 0 , 3 , 3 , 0 , 10 , 79.2 , 33 , 32 , 333 , 75 , 9 , 2 , 5 , 25 , 0 , 3 , 61 , 0 , 4 , 3.62 , 3.68 , 1.26 , 110.1 , 108.5 , 1.64 , 0.17 
3,4,최원준,22두, 1.62 , 30 , 0 , 0 , 30 , 8 , 13 , 0 , 0 , 165.0 , 80 , 66 , 713 , 183 , 31 , 2 , 21 , 37 , 0 , 7 , 113 , 1 , 2 , 3.60 , 4.42 , 1.33 , 110.5 , 88.7 , 1.62 , -0.53 
4,5,홍건희,22두, 1.09 , 58 , 0 , 0 , 0 , 2 , 9 , 18 , 9 , 62.0 , 30 , 24 , 265 , 58 , 9 , 0 , 5 , 21 , 3 , 2 , 60 , 0 , 4 , 3.48 , 3.42 , 1.27 , 114.2 , 116.0 , 1.09 , 0.16 
5,6,브랜든,22두, 1.07 , 11 , 0 , 0 , 11 , 5 , 3 , 0 , 0 , 65.0 , 29 , 26 , 276 , 56 , 10 , 0 , 5 , 24 , 0 , 1 , 40 , 1 , 2 , 3.60 , 4.26 , 1.23 , 110.5 , 93.5 , 1.07 , 0.65 
6,7,스탁,22두, 1.00 , 29 , 0 , 0 , 29 , 9 , 10 , 0 , 0 , 165.0 , 87 , 65 , 722 , 161 , 24 , 2 , 9 , 83 , 0 , 10 , 138 , 0 , 12 , 3.55 , 4.07 , 1.48 , 112.2 , 98.7 , 1.00 , -0.98 
7,8,박정수,22두, 0.49 , 13 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 19.2 , 7 , 7 , 83 , 17 , 2 , 0 , 1 , 9 , 0 , 1 , 18 , 0 , 1 , 3.20 , 3.69 , 1.32 , 124.2 , 108.6 , 0.49 , -0.05 
8,9,장원준,22두, 0.32 , 27 , 0 , 0 , 0 , 0 , 1 , 0 , 6 , 17.0 , 8 , 7 , 78 , 23 , 3 , 0 , 0 , 7 , 0 , 1 , 7 , 0 , 0 , 3.71 , 3.93 , 1.77 , 107.4 , 104.0 , 0.32 , -0.38 
9,10,이형범,22두, 0.28 , 31 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 31.0 , 17 , 15 , 142 , 34 , 7 , 0 , 1 , 11 , 0 , 4 , 17 , 0 , 2 , 4.35 , 4.11 , 1.45 , 91.4 , 98.2 , 0.28 , -0.89 
