,끝,종합,리드,동점,열세,종합,리드,동점,열세,종합,리드,동점,열세,종합,리드,동점,열세
0,1회,144,34,77,33,,,,,144,34,77,33,,,,
1,2회,144,45,48,51,34,27,5,2,77,14,38,25,33,4,5,24
2,3회,144,51,31,62,45,38,3,4,48,7,26,15,51,6,2,43
3,4회,144,56,23,65,51,47,1,3,31,7,21,3,62,2,1,59
4,5회,144,50,23,71,56,46,4,6,23,2,16,5,65,2,3,60
5,6회,144,59,9,76,50,46,0,4,23,11,8,4,71,2,1,68
6,7회,144,58,9,77,59,54,2,3,9,1,5,3,76,3,2,71
7,8회,143,54,15,74,58,51,4,3,8,1,5,2,77,2,6,69
8,9회,81,29,11,41,26,24,0,2,15,3,8,4,40,2,3,35
9,10회,11,1,7,3,,,,,11,1,7,3,,,,
10,11회,7,2,4,1,,,,,7,2,4,1,,,,
11,12회,4,0,1,3,,,,,4,0,1,3,,,,
