,순,이름,팀,비율,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,비율,비율,비율
,순,이름,팀,타율,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율.1,출루,장타,OPS
0,1.0,강승호,22두,1.0,4,3,3,3,1,0,0,4,6,0,0,1,0,0,0,0,0,0,1.0,1.0,1.333,2.333
1,,박계범,22두,1.0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2,,김민혁,22두,1.0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
3,,안권수,22두,1.0,5,1,4,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1.0,1.0,1.0,2.0
4,,김재호,22두,1.0,4,2,3,2,1,0,0,3,3,0,0,2,0,0,0,0,0,0,1.0,1.0,1.5,2.5
5,6.0,김재환,22두,0.75,12,4,5,3,1,0,1,7,5,0,0,7,1,0,0,0,0,0,0.75,0.917,1.75,2.667
6,7.0,박세혁,22두,0.667,6,3,1,2,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0.667,0.833,0.667,1.5
7,,안재석,22두,0.667,4,3,2,2,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0.667,0.5,0.667,1.167
8,9.0,양석환,22두,0.5,5,2,2,1,0,0,1,4,3,0,0,3,0,0,0,0,0,0,0.5,0.8,2.0,2.8
9,,김인태,22두,0.5,10,6,2,3,0,0,0,3,5,0,0,4,0,1,0,0,0,0,0.5,0.7,0.5,1.2
10,,페르난데스,22두,0.5,10,4,3,2,1,0,0,3,5,0,0,4,0,0,0,0,0,2,0.5,0.6,0.75,1.35
11,12.0,허경민,22두,0.0,8,3,2,0,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0.0,0.5,0.0,0.5
12,,정수빈,22두,0.0,7,4,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.0,0.429,0.0,0.429
13,,조수행,22두,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,15.0,강진성,22두,,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.0,,
15,,양찬열,22두,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
16,,김대한,22두,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
17,,전민재,22두,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
18,,서예일,22두,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,
19,,안승한,22두,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.0,,
