,순,이름,팀,정렬,BB%,K%,HR%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,WPA,WPA/LI,Clutch,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,컨택%
,순,이름,팀,WPA,BB%,K%,HR%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,WPA,WPA/LI,Clutch,투구,P/PA,루킹,헛스윙,파울,타격,S,B,컨택%
0,1.0,김재환,22두,0.58,58.3,0.0,8.33,,1.0,0.167,0.667,3.4,0.0,0.58,0.34,0.16,59,4.92,25.0,37.5,12.5,25.0,27.1,72.9,50.0
1,2.0,강승호,22두,0.48,25.0,0.0,0.0,,0.333,0.0,1.0,3.9,,0.48,0.16,0.01,20,5.0,28.6,14.3,14.3,42.9,35.0,65.0,80.0
2,3.0,김재호,22두,0.3,50.0,0.0,0.0,,0.5,0.0,1.0,3.9,,0.3,0.18,0.02,20,5.0,50.0,16.7,0.0,33.3,30.0,70.0,66.7
3,4.0,김인태,22두,0.25,40.0,0.0,0.0,,0.0,0.2,0.5,2.8,,0.25,0.15,-0.0,49,4.9,50.0,0.0,12.5,37.5,32.7,67.4,100.0
4,5.0,페르난데스,22두,0.19,40.0,0.0,0.0,,0.25,0.1,0.333,3.9,,0.19,0.17,-0.07,50,5.0,43.8,0.0,18.8,37.5,32.0,68.0,100.0
5,6.0,양석환,22두,0.17,60.0,0.0,20.0,,1.5,0.3,0.0,3.1,0.0,0.17,0.13,0.01,25,5.0,28.6,0.0,42.9,28.6,28.0,72.0,100.0
6,7.0,안권수,22두,0.14,80.0,0.0,0.0,,0.0,0.0,1.0,3.9,,0.14,0.08,0.08,25,5.0,50.0,0.0,33.3,16.7,24.0,76.0,100.0
7,8.0,안재석,22두,0.1,0.0,0.0,0.0,,0.0,0.167,0.5,6.2,0.0,0.1,0.08,-0.02,20,5.0,50.0,0.0,0.0,50.0,40.0,60.0,100.0
8,9.0,김민혁,22두,0.09,0.0,0.0,0.0,,0.0,0.0,1.0,1.9,,0.09,0.05,0.0,5,5.0,0.0,50.0,0.0,50.0,40.0,60.0,50.0
9,10.0,강진성,22두,0.05,100.0,0.0,0.0,,,,,,,0.05,0.04,-0.0,10,5.0,100.0,0.0,0.0,0.0,20.0,80.0,
10,11.0,안승한,22두,0.04,100.0,0.0,0.0,,,,,,,0.04,0.08,-0.02,10,5.0,50.0,50.0,0.0,0.0,20.0,80.0,0.0
11,12.0,허경민,22두,0.02,37.5,0.0,0.0,,0.0,0.5,0.0,3.9,,0.02,0.03,-0.02,40,5.0,50.0,0.0,16.7,33.3,30.0,70.0,100.0
12,13.0,박계범,22두,0.0,50.0,0.0,0.0,,0.0,0.0,1.0,1.9,,0.0,0.01,0.01,10,5.0,33.3,0.0,33.3,33.3,30.0,70.0,100.0
13,14.0,전민재,22두,0.0,,,,,,,,,,0.0,0.0,,0,,,,,,,,
14,,서예일,22두,0.0,100.0,0.0,0.0,,,,,,,0.0,,,5,5.0,0.0,0.0,100.0,0.0,20.0,80.0,100.0
15,,양찬열,22두,0.0,,,,,,,,,,0.0,0.0,,0,,,,,,,,
16,,김대한,22두,0.0,,,,,,,,,,0.0,0.0,,0,,,,,,,,
17,18.0,박세혁,22두,-0.04,50.0,0.0,0.0,,0.0,0.167,0.667,2.4,,-0.04,0.11,-0.15,30,5.0,33.3,11.1,22.2,33.3,30.0,70.0,83.3
18,19.0,조수행,22두,-0.13,0.0,0.0,0.0,,0.0,0.0,0.0,,,-0.13,-0.06,0.0,10,5.0,50.0,0.0,0.0,50.0,40.0,60.0,100.0
19,20.0,정수빈,22두,-0.18,42.9,0.0,0.0,,0.0,0.429,0.0,3.6,,-0.18,-0.08,-0.03,35,5.0,27.3,9.1,27.3,36.4,31.4,68.6,87.5
