,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
0,1,양석환,22두1B,2.08,446,139,67,2.08,68.6,43.0,57.1,.276,.053,.529,57,41.0,7,7.1,5,12,0,0,,0,
1,2,김대한,22두RF,1.88,110,30,16,1.88,63.6,50.7,49.3,.288,.143,.529,14,46.7,5,21.7,2,0,3,1,.750,5,60.0
2,3,송승환,22두LF,1.80,28,9,5,1.80,75.0,47.6,52.4,.300,.100,.546,4,44.4,1,14.3,0,0,0,0,,0,
3,4,안재석,22두SS,1.59,264,70,44,1.59,62.9,44.5,55.5,.288,.069,.495,24,34.3,5,10.0,4,9,0,3,.000,10,0.0
4,5,이유찬,22두SS,1.50,31,6,4,1.50,58.1,58.8,41.2,.353,.400,.429,2,33.3,4,57.1,0,1,1,0,1.000,1,100.0
5,6,김재호,22두SS,1.37,264,82,60,1.37,73.5,49.0,51.1,.244,.054,.443,28,34.2,5,10.4,3,5,0,1,.000,3,0.0
6,7,강승호,22두2B,1.29,487,128,99,1.29,71.7,43.9,56.1,.316,.066,.554,42,32.8,10,8.6,7,10,0,2,.000,4,0.0
7,8,김민혁,22두1B,1.24,97,21,17,1.24,65.0,39.7,60.3,.345,.000,.658,8,38.1,0,0.0,0,0,0,0,,0,
8,9,박세혁,22두C,1.17,402,104,89,1.17,70.7,46.1,53.9,.299,.062,.523,32,30.8,8,9.2,3,10,1,0,1.000,4,25.0
9,10,양찬열,22두RF,1.17,94,21,18,1.17,62.8,44.1,55.9,.304,.039,.576,7,33.3,1,5.0,0,3,0,0,,1,0.0
10,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
11,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
12,11,강진성,22두1B,1.14,94,25,22,1.14,63.8,55.0,45.0,.203,.061,.407,9,36.0,2,15.4,2,4,0,0,,0,
13,12,김재환,22두LF,1.08,517,106,98,1.08,61.7,41.3,58.7,.297,.046,.568,26,24.5,6,5.4,7,11,0,1,.000,2,0.0
14,13,강현구,22두LF,1.00,5,1,1,1.00,60.0,66.7,33.3,.333,.000,1.000,1,100.0,0,0.0,0,0,0,0,,0,
15,,박유연,22두C,1.00,19,4,4,1.00,63.2,41.7,58.3,.333,.000,.571,1,25.0,0,0.0,0,0,0,0,,0,
16,,권민석,22두3B,1.00,3,1,1,1.00,66.7,100.0,0.0,.000,.000,,1,100.0,0,,0,0,0,0,,0,
17,,홍성호,22두RF,1.00,19,4,4,1.00,57.9,45.5,54.6,.273,.000,.500,1,25.0,0,0.0,0,0,0,0,,0,
18,17,박계범,22두3B,0.97,168,36,37,0.97,63.7,51.4,48.6,.286,.093,.529,12,33.3,5,15.6,1,5,0,0,,0,
19,18,허경민,22두3B,0.89,493,126,141,0.89,80.9,48.7,51.3,.299,.042,.582,42,33.3,8,6.4,7,14,0,0,,0,
20,19,김인태,22두RF,0.88,279,61,69,0.88,67.4,51.6,48.4,.290,.052,.582,23,37.7,5,8.6,4,6,0,0,,1,0.0
21,20,장승현,22두C,0.82,109,22,27,0.82,64.2,47.8,52.2,.286,.030,.528,5,22.7,1,5.0,0,0,0,0,,0,
22,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
23,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
24,21,전민재,22두SS,0.75,46,9,12,0.75,71.7,42.4,57.6,.394,.143,.579,1,11.1,2,15.4,1,2,0,0,,0,
25,22,안승한,22두C,0.71,39,5,7,0.71,61.5,41.7,58.3,.500,.200,.714,1,20.0,2,16.7,0,1,0,0,,0,
26,23,안권수,22두RF,0.62,267,49,79,0.62,74.5,50.8,49.3,.357,.089,.633,13,26.5,9,12.7,5,10,1,0,1.000,3,33.3
27,24,신성현,22두LF,0.60,25,6,10,0.60,72.0,61.1,38.9,.059,.000,.286,1,16.7,0,0.0,1,0,0,0,,0,
28,25,정수빈,22두CF,0.58,455,90,154,0.58,77.6,56.2,43.8,.291,.071,.595,29,32.2,14,13.3,10,25,6,5,.546,15,40.0
29,26,페르난데스,22두DH,0.58,550,112,194,0.58,85.1,51.2,48.8,.327,.051,.642,31,27.7,12,7.6,4,12,0,0,,0,
30,27,서예일,22두2B,0.50,27,5,10,0.50,70.4,63.2,36.8,.211,.083,.429,1,20.0,1,25.0,1,1,0,0,,0,
31,28,조수행,22두LF,0.46,134,19,41,0.46,67.2,54.6,45.5,.303,.042,.650,6,31.6,2,7.1,1,4,0,2,.000,12,0.0
32,29,오재원,22두2B,0.25,31,3,12,0.25,67.7,65.0,35.0,.238,.000,.714,1,33.3,0,0.0,0,0,0,1,.000,1,0.0
33,30,김태근,22두CF,0.00,6,0,1,0.00,50.0,33.3,66.7,.667,.000,1.000,0,,0,0.0,0,0,0,0,,0,
34,순,이름,팀,정렬,타석,뜬공,땅볼,FO/GO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
35,순,이름,팀,FO/GO,타석,뜬공,땅볼,FO/GO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
