,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
,순,이름,팀,타점,타석,타점.1,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
0,1,페르난데스,22두DH,77,550,77,71,342,20.8,34,138,24.6,229,0.416,92,0,0,
1,2,김재환,22두LF,72,517,72,49,280,17.5,5,103,4.9,215,0.416,97,0,0,
2,3,강승호,22두2B,62,487,62,52,291,17.9,8,104,7.7,195,0.400,96,6,2,75.0
3,4,허경민,22두3B,60,493,60,52,229,22.7,12,89,13.5,156,0.316,72,2,0,100.0
4,5,양석환,22두1B,51,446,51,31,263,11.8,3,96,3.1,195,0.437,86,0,0,
5,6,박세혁,22두C,41,402,41,38,211,18.0,4,84,4.8,150,0.373,73,8,2,80.0
6,,정수빈,22두CF,41,455,41,38,232,16.4,2,81,2.5,171,0.376,82,6,3,66.7
7,8,김인태,22두RF,25,279,25,20,139,14.4,6,53,11.3,103,0.369,45,0,0,
8,9,김재호,22두SS,21,264,21,20,154,13.0,5,59,8.5,126,0.477,60,7,3,70.0
9,10,안권수,22두RF,20,267,20,20,126,15.9,6,44,13.6,89,0.333,33,1,1,50.0
10,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
11,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
12,11,안재석,22두SS,17,264,17,14,147,9.5,5,61,8.2,116,0.439,53,4,7,36.4
13,12,김민혁,22두1B,16,97,16,11,60,18.3,6,18,33.3,42,0.433,23,0,0,
14,13,박계범,22두3B,14,168,14,12,76,15.8,1,32,3.1,61,0.363,31,6,0,100.0
15,14,양찬열,22두RF,12,94,12,9,52,17.3,2,21,9.5,36,0.383,15,1,1,50.0
16,15,김대한,22두RF,11,110,11,7,59,11.9,0,21,0.0,46,0.418,15,2,0,100.0
17,16,조수행,22두LF,9,134,9,8,78,10.3,4,33,12.1,64,0.478,35,2,2,50.0
18,,장승현,22두C,9,109,9,9,67,13.4,2,22,9.1,49,0.450,32,3,0,100.0
19,18,안승한,22두C,8,39,8,8,30,26.7,0,8,0.0,19,0.487,9,1,0,100.0
20,,강진성,22두1B,8,94,8,7,54,13.0,2,21,9.5,44,0.468,13,1,0,100.0
21,20,오재원,22두2B,4,31,4,4,16,25.0,1,8,12.5,14,0.452,2,0,0,
22,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
23,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
24,,송승환,22두LF,4,28,4,3,23,13.0,0,7,0.0,17,0.607,9,0,0,
25,22,김태근,22두CF,2,6,2,2,4,50.0,0,0,,1,0.167,1,0,0,
26,,박유연,22두C,2,19,2,2,13,15.4,1,7,14.3,8,0.421,2,0,0,
27,,신성현,22두LF,2,25,2,1,15,6.7,2,5,40.0,14,0.560,7,0,0,
28,,이유찬,22두SS,2,31,2,1,13,7.7,0,4,0.0,12,0.387,9,1,0,100.0
29,,서예일,22두2B,2,27,2,2,11,18.2,1,3,33.3,9,0.333,2,1,0,100.0
30,27,전민재,22두SS,0,46,0,0,22,0.0,3,14,21.4,20,0.435,6,1,0,100.0
31,,최용제,22두,0,1,0,0,0,,0,0,,0,0.000,0,0,0,
