,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch
0,1,정철원,22두,1.10,58,72.2,14.81,-0.68,14.13,1.44,1.18,-0.09,8.21,-7.12,1.10,1.52,0.96,-0.24
1,2,브랜든,22두,0.65,11,65.0,8.48,-0.44,8.04,0.82,0.68,-0.03,5.34,-4.68,0.65,1.09,0.48,0.11
2,3,곽빈,22두,0.45,27,147.2,16.47,-3.34,13.13,1.34,0.83,-0.38,12.21,-11.76,0.45,1.08,0.22,0.19
3,4,김명신,22두,0.17,68,79.2,12.09,-1.47,10.62,1.08,0.22,-0.04,4.29,-4.12,0.17,0.77,0.27,-0.05
4,5,홍건희,22두,0.16,58,62.0,4.80,-0.33,4.47,0.46,0.37,-0.21,7.81,-7.65,0.16,1.83,0.16,-0.07
5,6,이승진,22두,0.11,35,31.1,-1.73,-0.28,-2.01,-0.21,0.19,-0.08,1.92,-1.81,0.11,0.75,0.09,0.06
6,7,김동주,22두,0.06,10,16.2,-6.33,-0.40,-6.73,-0.69,0.08,-0.01,0.31,-0.25,0.06,0.20,-0.11,0.42
7,8,박치국,22두,0.05,15,11.2,2.41,-0.75,1.65,0.17,0.17,-0.12,0.90,-0.85,0.05,1.15,0.17,-0.13
8,9,박웅,22두,0.04,8,6.0,0.87,-0.24,0.64,0.07,0.06,-0.02,0.21,-0.17,0.04,0.38,-0.09,0.19
9,10,권휘,22두,0.02,10,9.1,1.04,-0.59,0.45,0.05,0.07,-0.05,0.39,-0.37,0.02,0.56,-0.08,0.11
10,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch
11,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch
12,11,박정수,22두,-0.05,13,19.2,5.58,-1.23,4.35,0.44,0.06,-0.12,0.75,-0.81,-0.05,0.54,0.20,-0.30
13,12,최지강,22두,-0.06,2,1.2,-2.05,0.29,-1.77,-0.18,-0.06,0.00,0.01,-0.07,-0.06,0.14,-0.26,-0.16
14,13,이병헌,22두,-0.06,9,5.0,0.28,-0.66,-0.38,-0.04,-0.05,-0.01,0.05,-0.11,-0.06,0.17,-0.06,-0.29
15,14,전창민,22두,-0.23,9,9.1,-12.90,0.00,-12.90,-1.32,-0.23,0.00,0.15,-0.38,-0.23,0.20,-0.87,-0.31
16,15,미란다,22두,-0.28,3,7.2,-2.85,-0.52,-3.38,-0.34,-0.23,-0.05,0.85,-1.13,-0.28,1.37,-0.34,0.13
17,16,최승용,22두,-0.30,48,93.1,-2.51,0.07,-2.44,-0.25,-0.31,0.01,7.05,-7.34,-0.30,0.98,-0.60,0.30
18,17,김강률,22두,-0.35,26,24.2,-4.02,-0.15,-4.17,-0.43,-0.29,-0.05,3.60,-3.94,-0.35,1.91,-0.48,0.30
19,18,장원준,22두,-0.38,27,17.0,-3.50,-0.38,-3.88,-0.40,-0.32,-0.06,1.33,-1.71,-0.38,0.98,-0.21,-0.18
20,19,윤명준,22두,-0.51,20,22.1,-13.47,0.40,-13.07,-1.33,-0.56,0.06,0.70,-1.21,-0.51,0.48,-1.04,-0.01
21,20,최원준,22두,-0.53,30,165.0,11.95,-0.67,11.28,1.15,-0.43,-0.10,12.21,-12.74,-0.53,0.98,0.12,-0.66
22,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch
23,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch
24,21,김지용,22두,-0.53,18,19.1,-0.88,0.10,-0.77,-0.08,-0.55,0.01,0.43,-0.97,-0.53,0.32,-0.09,-1.57
25,22,이현승,22두,-0.70,23,8.2,-4.80,0.46,-4.34,-0.44,-0.73,0.02,0.84,-1.55,-0.70,1.32,-0.51,-0.02
26,23,이형범,22두,-0.89,31,31.0,-2.50,-1.05,-3.56,-0.36,-0.84,-0.04,0.40,-1.29,-0.89,0.28,0.11,-3.22
27,24,스탁,22두,-0.98,29,165.0,11.55,-3.97,7.58,0.77,-0.52,-0.45,11.87,-12.85,-0.98,0.98,0.14,-1.13
28,25,임창민,22두,-1.35,32,27.1,-5.37,-0.82,-6.19,-0.63,-1.25,-0.09,1.88,-3.23,-1.35,1.00,-0.03,-1.32
29,26,이영하,22두,-1.43,21,98.2,-4.65,-2.73,-7.38,-0.75,-1.08,-0.36,7.87,-9.30,-1.43,1.07,-1.15,-0.19
30,27,박신지,22두,-1.47,29,61.2,-15.07,-1.08,-16.15,-1.65,-1.35,-0.12,3.60,-5.07,-1.47,0.81,-1.11,-0.70
