,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
0,1,스탁,22두,152.4,29,165.0,152.4,133.5,123.5,132.4,135.1,152.3,,,53.6,34.2,1.4,9.6,0.3,0.9,0.0,0.0,64.7,28.5,44.6,89.0,62.4,79.6,44.5
1,2,정철원,22두,149.5,58,72.2,149.5,132.4,127.9,128.0,133.1,,,,64.5,19.5,4.9,0.1,11.0,0.0,0.0,0.0,65.2,27.8,44.4,89.3,77.8,85.3,44.3
2,3,홍건희,22두,148.0,58,62.0,148.0,136.4,124.8,,139.0,,,,62.3,36.9,0.6,0.0,0.2,0.0,0.0,0.0,71.2,35.0,51.2,84.8,59.0,75.0,44.8
3,4,곽빈,22두,147.6,27,147.2,147.6,137.2,118.5,130.7,133.4,,,,46.1,24.0,11.4,8.0,10.5,0.0,0.0,0.0,63.6,30.9,45.0,83.0,63.9,75.5,43.0
4,5,브랜든,22두,147.0,11,65.0,147.0,137.1,120.8,130.9,130.0,145.1,,,41.4,29.1,13.5,10.8,0.1,5.0,0.0,0.0,66.1,32.4,46.0,88.7,68.2,80.1,40.2
5,6,이영하,22두,146.6,21,98.2,146.6,134.6,118.1,,131.8,,,,45.3,39.5,2.7,0.0,12.5,0.0,0.0,0.0,64.4,30.9,44.1,88.0,57.6,75.1,39.4
6,7,김강률,22두,146.5,26,24.2,146.5,135.0,122.2,138.0,133.5,,,,65.1,20.3,13.9,0.3,0.5,0.0,0.0,0.0,73.5,32.6,49.4,86.6,67.1,79.0,41.0
7,8,이승진,22두,145.2,35,31.1,145.2,136.8,124.1,,130.3,,,,52.8,10.3,31.0,0.0,5.9,0.0,0.0,0.0,59.2,29.4,42.0,89.4,64.6,79.3,42.2
8,9,전창민,22두,144.8,9,9.1,144.8,133.5,114.6,,131.9,,,,53.4,31.2,3.7,0.0,11.6,0.0,0.0,0.0,62.9,31.7,43.2,90.9,78.9,85.4,36.8
9,10,권휘,22두,144.4,10,9.1,144.4,128.7,129.0,,132.6,141.3,,,51.9,20.3,1.1,0.0,23.0,3.7,0.0,0.0,64.6,24.8,42.2,90.6,76.9,86.1,43.9
10,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
11,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
12,,박치국,22두,144.4,15,11.2,144.4,130.4,122.0,131.3,,,,,60.8,12.1,15.6,11.6,0.0,0.0,0.0,0.0,66.2,21.3,38.7,84.3,61.5,76.6,38.7
13,12,박신지,22두,144.1,29,61.2,144.1,128.8,114.7,123.8,,,,,49.0,23.4,8.0,19.6,0.0,0.0,0.0,0.0,67.0,24.7,41.3,88.9,65.0,80.2,39.2
14,13,이형범,22두,143.8,31,31.0,143.8,135.9,122.1,125.0,,139.8,,,0.7,27.6,2.0,9.9,0.0,59.9,0.0,0.0,72.0,31.9,47.8,88.5,74.5,82.9,39.6
15,14,김동주,22두,143.5,10,16.2,143.5,132.7,,128.5,132.7,143.5,,,59.8,27.1,0.0,0.6,11.9,0.6,0.0,0.0,74.3,30.7,48.8,90.1,64.4,80.6,41.5
16,15,최지강,22두,142.5,2,1.2,142.5,131.5,122.0,129.1,,,,,57.1,28.6,1.8,12.5,0.0,0.0,0.0,0.0,54.5,17.6,32.1,100.0,50.0,83.3,39.3
17,16,최승용,22두,142.0,48,93.1,142.0,131.7,116.3,127.0,129.3,142.0,,,46.9,33.7,9.1,2.8,7.5,0.1,0.0,0.0,64.9,26.0,43.3,89.4,71.4,83.4,44.5
18,17,임창민,22두,141.7,32,27.1,141.7,130.9,,,133.6,,,,45.5,26.2,0.0,0.0,28.3,0.0,0.0,0.0,69.3,31.4,49.0,84.2,72.3,80.1,46.3
19,18,이병헌,22두,141.4,9,5.0,141.4,130.6,,129.5,,,,,59.2,35.8,0.0,5.0,0.0,0.0,0.0,0.0,56.5,29.5,39.5,76.9,60.9,69.4,37.1
20,19,미란다,22두,141.3,3,7.2,141.3,124.1,108.3,,124.8,,,,58.9,13.1,1.7,0.0,26.3,0.0,0.0,0.0,42.6,18.0,24.6,90.0,65.2,76.7,26.9
21,20,김명신,22두,140.7,68,79.2,140.7,128.3,114.7,,129.7,,,,48.5,17.2,3.9,0.0,30.4,0.0,0.0,0.0,63.5,37.9,47.9,90.5,70.8,81.0,38.9
22,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
23,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
24,21,박정수,22두,140.3,13,19.2,140.3,131.5,121.4,127.9,129.0,141.0,,,37.1,25.6,24.0,12.8,0.3,0.3,0.0,0.0,61.9,34.1,44.5,83.3,66.7,75.3,37.4
25,22,윤명준,22두,140.2,20,22.1,140.2,132.3,122.9,,132.5,,,,42.1,20.9,17.1,0.0,19.9,0.0,0.0,0.0,62.4,34.8,47.1,86.5,67.5,78.7,44.6
26,23,이현승,22두,140.1,23,8.2,140.1,129.7,103.5,129.3,126.5,,,,35.0,45.6,1.3,1.9,16.3,0.0,0.0,0.0,71.0,31.9,48.8,87.8,62.1,78.2,43.1
27,24,김지용,22두,139.5,18,19.1,139.5,128.4,113.2,,127.3,,,,41.7,53.3,4.1,0.0,0.9,0.0,0.0,0.0,69.0,38.0,51.7,91.8,76.5,85.5,44.2
28,25,최원준,22두,138.3,30,165.0,138.3,127.3,111.7,123.1,122.2,,,,51.8,33.4,3.4,6.3,5.2,0.0,0.0,0.0,72.1,32.1,48.8,88.2,70.2,81.3,41.9
29,26,장원준,22두,138.0,27,17.0,138.0,130.0,117.4,130.0,,,,,34.5,48.6,5.5,11.4,0.0,0.0,0.0,0.0,64.1,24.1,41.7,91.5,64.1,82.6,44.1
30,27,박웅,22두,,8,6.0,,129.3,118.5,,131.7,142.7,,,0.0,42.9,1.6,0.0,4.8,50.8,0.0,0.0,67.3,29.7,45.2,94.3,68.2,84.2,41.3
