,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA
0,1,정철원,22두,128.5,58,72.2,3.10,3.83,3.22,4.29,0.74,0.12,.267,75.2,3.17,3.90,3.30,4.37,128.5,104.6,4.54
1,2,박정수,22두,124.2,13,19.2,3.20,3.69,3.20,4.14,0.49,0.00,.296,78.1,3.28,3.75,3.28,4.21,124.2,108.6,4.10
2,3,홍건희,22두,114.2,58,62.0,3.48,3.42,4.35,3.83,-0.06,0.87,.310,68.9,3.57,3.52,4.46,3.94,114.2,116.0,3.63
3,4,스탁,22두,112.2,29,165.0,3.55,4.07,4.75,4.55,0.52,1.20,.317,69.2,3.63,4.13,4.86,4.63,112.2,98.7,4.49
4,5,최원준,22두,110.5,30,165.0,3.60,4.42,4.36,4.95,0.82,0.76,.306,74.4,3.69,4.60,4.47,5.15,110.5,88.7,4.12
5,,브랜든,22두,110.5,11,65.0,3.60,4.26,4.02,4.77,0.66,0.42,.251,70.3,3.69,4.36,4.11,4.89,110.5,93.5,4.70
6,,이병헌,22두,110.5,9,5.0,3.60,6.14,3.60,6.88,2.54,0.00,.333,84.6,3.69,6.12,3.69,6.85,110.5,66.7,6.26
7,8,김명신,22두,110.1,68,79.2,3.62,3.68,3.73,4.12,0.06,0.11,.297,72.9,3.70,3.76,3.82,4.21,110.1,108.5,4.10
8,9,장원준,22두,107.4,27,17.0,3.71,3.93,4.24,4.40,0.22,0.53,.371,74.2,3.80,3.92,4.34,4.39,107.4,104.0,5.40
9,10,곽빈,22두,105.3,27,147.2,3.78,4.04,4.21,4.52,0.26,0.43,.313,74.1,3.87,4.15,4.31,4.65,105.3,98.3,3.95
10,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA
11,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA
12,11,임창민,22두,100.7,32,27.1,3.95,4.66,4.94,5.21,0.70,0.99,.264,69.0,4.05,4.80,5.06,5.38,100.7,84.9,4.34
13,12,이형범,22두,91.4,31,31.0,4.35,4.11,4.94,4.61,-0.24,0.58,.303,67.2,4.46,4.15,5.06,4.65,91.4,98.2,4.89
14,13,김강률,22두,90.9,26,24.2,4.38,4.15,4.74,4.65,-0.23,0.36,.317,71.0,4.49,4.25,4.86,4.76,90.9,96.0,4.64
15,14,박웅,22두,88.4,8,6.0,4.50,5.84,4.50,6.54,1.34,0.00,.304,78.6,4.61,5.82,4.61,6.52,88.4,70.1,6.85
16,15,이영하,22두,80.8,21,98.2,4.93,4.20,5.93,4.70,-0.73,1.00,.342,64.8,5.05,4.26,6.07,4.77,80.8,95.8,4.72
17,16,최승용,22두,75.0,48,93.1,5.30,4.53,5.69,5.07,-0.78,0.39,.318,65.3,5.43,4.64,5.83,5.20,75.0,87.9,4.80
18,17,박치국,22두,73.7,15,11.2,5.40,4.11,6.17,4.60,-1.29,0.77,.231,55.6,5.53,4.08,6.32,4.57,73.7,99.9,4.69
19,18,권휘,22두,68.8,10,9.1,5.79,5.59,5.79,6.26,-0.20,0.00,.250,63.5,5.93,5.73,5.93,6.42,68.8,71.1,5.40
20,19,김지용,22두,65.8,18,19.1,6.05,6.29,6.52,7.04,0.23,0.47,.241,61.1,6.20,6.65,6.68,7.45,65.8,61.3,4.23
21,20,이현승,22두,63.9,23,8.2,6.23,5.99,6.23,6.71,-0.24,0.00,.407,78.9,6.38,6.31,6.38,7.07,63.9,64.6,4.00
22,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA
23,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA
24,21,이승진,22두,60.2,35,31.1,6.61,4.81,7.18,5.38,-1.80,0.57,.323,56.1,6.77,5.02,7.36,5.63,60.2,81.2,3.94
25,22,박신지,22두,59.3,29,61.2,6.71,5.77,7.30,6.46,-0.94,0.58,.355,66.3,6.88,5.92,7.48,6.63,59.3,68.8,5.48
26,23,김동주,22두,52.6,10,16.2,7.56,7.30,7.56,8.18,-0.26,0.00,.310,72.0,7.75,7.72,7.75,8.64,52.6,52.8,4.84
27,24,미란다,22두,48.4,3,7.2,8.22,8.69,8.22,9.73,0.47,0.00,.133,66.7,8.42,8.65,8.42,9.69,48.4,47.2,8.19
28,25,윤명준,22두,47.0,20,22.1,8.46,7.73,9.67,8.65,-0.74,1.21,.338,58.4,8.67,8.23,9.91,9.21,47.0,49.6,4.63
29,26,전창민,22두,20.6,9,9.1,19.29,8.05,19.29,9.02,-11.23,0.00,.385,22.5,19.76,8.35,19.76,9.35,20.6,48.8,6.55
30,27,최지강,22두,18.4,2,1.2,21.60,4.54,21.60,5.08,-17.06,0.00,.857,50.0,22.13,4.51,22.13,5.05,18.4,90.4,5.40
