,순,이름,팀,정렬,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살타,병살타,희생번트,희생번트,희생번트,<2&3B,<2&3B,0&2B,0&2B,ADV,ADV
,순,이름,팀,LOB%,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,상황,%,희번,실패,%,N,%,N,%,N,%
0,1,이병헌,22두,84.6,9,5.0,3.60,2.40,15.4,84.6,0,5,0.0,0,0,,0,,0,,3,21.4
1,2,이현승,22두,78.9,23,8.2,6.23,1.96,33.3,78.9,0,11,0.0,0,0,,4,80.0,0,,7,38.9
2,3,박웅,22두,78.6,8,6.0,4.50,2.33,21.4,78.6,0,8,0.0,0,0,,0,,1,33.3,6,28.6
3,4,박정수,22두,78.1,13,19.2,3.20,1.32,25.9,78.1,2,13,15.4,0,0,,0,0.0,1,50.0,5,15.2
4,5,정철원,22두,75.2,58,72.2,3.10,1.18,28.4,75.2,8,66,12.1,5,5,50.0,16,88.9,7,53.9,22,19.1
5,6,최원준,22두,74.4,30,165.0,3.60,1.33,29.1,74.4,11,138,8.0,6,3,66.7,22,59.5,13,56.5,48,19.0
6,7,장원준,22두,74.2,27,17.0,3.71,1.77,22.6,74.2,4,24,16.7,1,3,25.0,5,71.4,1,33.3,11,22.9
7,8,곽빈,22두,74.1,27,147.2,3.78,1.38,29.0,74.1,8,130,6.2,7,2,77.8,24,63.2,4,25.0,58,24.9
8,9,김명신,22두,72.9,68,79.2,3.62,1.26,31.1,72.9,8,66,12.1,3,2,60.0,17,70.8,4,36.4,42,31.3
9,10,김동주,22두,72.0,10,16.2,7.56,1.92,43.8,72.0,1,23,4.4,0,0,,1,100.0,1,33.3,11,26.2
10,순,이름,팀,정렬,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살타,병살타,희생번트,희생번트,희생번트,<2&3B,<2&3B,0&2B,0&2B,ADV,ADV
11,순,이름,팀,LOB%,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,상황,%,희번,실패,%,N,%,N,%,N,%
12,11,김강률,22두,71.0,26,24.2,4.38,1.46,31.6,71.0,2,22,9.1,1,1,50.0,6,60.0,2,100.0,10,24.4
13,12,브랜든,22두,70.3,11,65.0,3.60,1.23,32.1,70.3,5,49,10.2,3,0,100.0,6,54.6,4,40.0,23,23.2
14,13,스탁,22두,69.2,29,165.0,3.55,1.48,25.6,69.2,25,187,13.4,3,10,23.1,20,58.8,8,36.4,71,21.5
15,14,임창민,22두,69.0,32,27.1,3.95,1.32,30.8,69.0,1,32,3.1,0,0,,6,100.0,3,100.0,14,28.0
16,15,홍건희,22두,68.9,58,62.0,3.48,1.27,29.6,68.9,1,50,2.0,6,2,75.0,16,72.7,6,75.0,26,27.1
17,16,이형범,22두,67.2,31,31.0,4.35,1.45,30.6,67.2,4,33,12.1,0,0,,4,44.4,6,100.0,19,29.7
18,17,미란다,22두,66.7,3,7.2,8.22,2.61,33.3,66.7,1,13,7.7,1,0,100.0,1,25.0,0,0.0,3,13.0
19,18,박신지,22두,66.3,29,61.2,6.71,2.01,35.7,66.3,6,78,7.7,6,0,100.0,16,66.7,7,50.0,40,29.2
20,19,최승용,22두,65.3,48,93.1,5.30,1.58,36.9,65.3,8,83,9.6,4,0,100.0,12,70.6,6,50.0,26,18.3
21,20,이영하,22두,64.8,21,98.2,4.93,1.68,31.4,64.8,10,104,9.6,7,2,77.8,24,63.2,10,50.0,57,29.1
22,순,이름,팀,정렬,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살타,병살타,희생번트,희생번트,희생번트,<2&3B,<2&3B,0&2B,0&2B,ADV,ADV
23,순,이름,팀,LOB%,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,상황,%,희번,실패,%,N,%,N,%,N,%
24,21,권휘,22두,63.5,10,9.1,5.79,1.39,42.9,63.5,2,8,25.0,0,0,,1,50.0,0,,6,28.6
25,22,김지용,22두,61.1,18,19.1,6.05,1.24,52.0,61.1,1,15,6.7,0,0,,2,66.7,2,100.0,6,24.0
26,23,윤명준,22두,58.4,20,22.1,8.46,1.84,50.0,58.4,0,17,0.0,3,1,75.0,6,66.7,1,50.0,8,33.3
27,24,이승진,22두,56.1,35,31.1,6.61,1.50,47.9,56.1,2,28,7.1,0,1,0.0,5,45.5,1,25.0,13,24.5
28,25,박치국,22두,55.6,15,11.2,5.40,1.29,38.9,55.6,1,14,7.1,1,0,100.0,1,50.0,0,0.0,2,9.5
29,26,최지강,22두,50.0,2,1.2,21.60,4.80,50.0,50.0,0,3,0.0,0,0,,1,100.0,0,,2,22.2
30,27,전창민,22두,22.5,9,9.1,19.29,2.68,80.0,22.5,1,15,6.7,0,0,,4,80.0,2,100.0,13,46.4
