,순,이름,팀,정렬,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
,순,이름,팀,GO/FO,출장,이닝,땅볼,뜬공,GO/FO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
0,1,이형범,22두,1.59,31,31.0,46,29,1.59,77.5,55.1,45.0,.303,.050,.633,11,37.9,3,8.8,4,10,0,0,,0,
1,2,브랜든,22두,1.56,11,65.0,92,59,1.56,75.4,61.2,38.8,.251,.048,.625,29,49.2,6,10.7,7,11,2,1,.667,6,33.3
2,3,전창민,22두,1.56,9,9.1,14,9,1.56,78.9,55.0,45.0,.385,.091,.833,6,66.7,2,11.8,0,1,0,0,,0,
3,4,스탁,22두,1.54,29,165.0,197,128,1.54,67.6,53.9,46.1,.317,.092,.612,41,32.0,24,14.9,10,24,1,6,.143,16,6.3
4,5,홍건희,22두,1.48,58,62.0,68,46,1.48,66.4,53.5,46.5,.310,.044,.675,20,43.5,4,6.9,2,7,1,1,.500,5,20.0
5,6,정철원,22두,1.45,58,72.2,90,62,1.45,72.8,53.8,46.2,.267,.079,.520,15,24.2,9,15.0,2,7,2,3,.400,11,18.2
6,7,장원준,22두,1.38,27,17.0,22,16,1.38,79.5,52.5,47.5,.371,.125,.655,6,37.5,4,17.4,0,3,0,1,.000,3,0.0
7,8,임창민,22두,1.21,32,27.1,35,29,1.21,72.6,50.0,50.0,.264,.044,.533,8,27.6,2,7.7,4,9,0,0,,0,
8,9,김명신,22두,1.19,68,79.2,87,73,1.19,72.4,47.7,52.3,.297,.045,.569,20,27.4,5,6.7,0,6,2,1,.667,8,25.0
9,10,박정수,22두,1.11,13,19.2,20,18,1.11,66.3,54.6,45.5,.296,.133,.520,6,33.3,4,23.5,1,3,0,0,,0,
10,순,이름,팀,정렬,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
11,순,이름,팀,GO/FO,출장,이닝,땅볼,뜬공,GO/FO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
12,11,이영하,22두,1.08,21,98.2,100,93,1.08,66.9,45.4,54.6,.342,.051,.618,30,32.3,7,6.4,9,18,0,1,.000,7,0.0
13,12,권휘,22두,1.00,10,9.1,10,10,1.00,72.5,50.0,50.0,.250,.143,.429,2,20.0,2,25.0,0,1,0,0,,0,
14,,김동주,22두,1.00,10,16.2,20,20,1.00,74.1,47.6,52.4,.310,.033,.667,9,45.0,1,4.4,3,4,0,0,,0,
15,14,윤명준,22두,0.96,20,22.1,23,24,0.96,75.2,35.0,65.0,.338,.000,.635,5,20.8,0,0.0,2,3,0,1,.000,1,0.0
16,15,박신지,22두,0.96,29,61.2,67,70,0.96,71.6,45.9,54.1,.355,.129,.597,22,31.4,13,15.5,7,12,3,1,.750,6,50.0
17,16,김강률,22두,0.93,26,24.2,25,27,0.93,76.4,46.3,53.8,.317,.081,.581,9,33.3,3,10.7,1,3,0,1,.000,1,0.0
18,17,이현승,22두,0.88,23,8.2,7,8,0.88,67.4,39.3,60.7,.407,.091,.706,3,37.5,1,7.7,0,1,1,0,1.000,2,50.0
19,18,박치국,22두,0.82,15,11.2,9,11,0.82,51.0,46.2,53.9,.231,.083,.357,2,18.2,1,16.7,0,1,0,1,.000,1,0.0
20,19,최승용,22두,0.81,48,93.1,92,114,0.81,73.3,45.5,54.5,.318,.099,.533,35,30.7,14,13.5,9,16,0,1,.000,5,0.0
21,20,곽빈,22두,0.72,27,147.2,119,166,0.72,66.5,43.1,56.9,.313,.054,.547,56,33.7,10,7.0,7,12,4,1,.800,11,36.4
22,순,이름,팀,정렬,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구 방향%,타구 방향%,BABIP,타율,타율,내야뜬공,내야뜬공,내야안타,내야안타,실책출루,포스O출루,번트,번트,번트,번트,번트
23,순,이름,팀,GO/FO,출장,이닝,땅볼,뜬공,GO/FO,InP%,내야,외야,BABIP,내야,외야,N,%,N,%,실책출루,포스O출루,안타,아웃,타율,시도,%
24,21,이승진,22두,0.69,35,31.1,25,36,0.69,70.0,39.6,60.4,.323,.079,.552,10,27.8,3,8.6,0,3,0,0,,2,0.0
25,22,이병헌,22두,0.67,9,5.0,4,6,0.67,53.6,33.3,66.7,.333,.000,.500,1,16.7,0,0.0,0,2,0,0,,0,
26,23,김지용,22두,0.63,18,19.1,17,27,0.63,76.8,39.7,60.3,.241,.000,.500,8,29.6,0,0.0,2,3,0,0,,0,
27,24,최원준,22두,0.52,30,165.0,124,237,0.52,77.1,41.5,58.5,.306,.071,.525,86,36.3,16,8.7,10,12,1,1,.500,6,16.7
28,25,박웅,22두,0.46,8,6.0,5,11,0.46,69.7,34.8,65.2,.304,.125,.400,2,18.2,1,14.3,0,1,0,0,,1,0.0
29,26,미란다,22두,0.44,3,7.2,4,9,0.44,34.9,33.3,66.7,.133,.000,.200,1,11.1,0,0.0,0,0,0,0,,0,
30,27,최지강,22두,0.00,2,1.2,0,1,0.00,63.6,28.6,71.4,.857,.500,1.000,1,100.0,1,16.7,0,0,0,0,,0,
