,순,이름,팀,정렬,출장,이닝,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,BABIP
,순,이름,팀,BABIP,출장,이닝,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,BABIP
0,1,미란다,22두,.133,3,7.2,20.0,40.0,40.0,26.7,33.3,3,6,6,4,5,0,2,0,0,0,.000,.333,.000,.000,.000,.133
1,2,박치국,22두,.231,15,11.2,46.2,26.9,26.9,42.3,30.8,12,7,7,11,8,4,1,1,3,2,.333,.143,.143,.273,.250,.231
2,3,김지용,22두,.241,18,19.1,46.0,20.6,33.3,44.4,34.9,29,13,21,28,22,9,3,7,8,8,.310,.231,.333,.286,.364,.241
3,4,권휘,22두,.250,10,9.1,46.4,32.1,21.4,46.4,21.4,13,9,6,13,6,3,3,2,3,2,.231,.333,.333,.231,.333,.250
4,5,브랜든,22두,.251,11,65.0,43.2,17.5,39.3,41.8,40.8,89,36,81,86,84,19,18,19,23,15,.214,.500,.235,.267,.179,.251
5,6,임창민,22두,.264,32,27.1,50.0,17.8,32.2,50.0,32.2,45,16,29,45,29,13,6,7,12,8,.289,.375,.241,.267,.276,.264
6,7,정철원,22두,.267,58,72.2,43.4,23.6,33.0,40.1,36.3,92,50,70,85,77,22,18,20,16,26,.239,.360,.286,.188,.338,.267
7,8,박정수,22두,.296,13,19.2,49.1,23.6,27.3,41.8,34.6,27,13,15,23,19,5,6,6,4,7,.185,.462,.400,.174,.368,.296
8,9,김명신,22두,.297,68,79.2,41.7,23.0,35.3,38.7,38.3,98,54,83,91,90,37,16,22,33,26,.378,.296,.265,.363,.289,.297
9,10,이형범,22두,.303,31,31.0,42.2,20.2,37.6,47.7,32.1,46,22,41,52,35,11,11,12,10,13,.239,.500,.293,.192,.371,.303
10,순,이름,팀,정렬,출장,이닝,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,타구 방향별 타율,BABIP
11,순,이름,팀,BABIP,출장,이닝,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,BABIP
12,11,박웅,22두,.304,8,6.0,34.8,39.1,26.1,39.1,21.7,8,9,6,9,5,3,3,1,3,1,.375,.333,.167,.333,.200,.304
13,12,최원준,22두,.306,30,165.0,35.9,21.3,42.8,38.8,39.9,195,116,233,211,217,57,53,73,71,59,.292,.457,.313,.337,.272,.306
14,13,홍건희,22두,.310,58,62.0,35.5,23.3,41.3,39.5,37.2,61,40,71,68,64,18,17,23,19,22,.295,.425,.324,.279,.344,.310
15,14,김동주,22두,.310,10,16.2,38.1,14.3,47.6,38.1,47.6,24,9,30,24,30,8,3,12,8,12,.333,.333,.400,.333,.400,.310
16,15,곽빈,22두,.313,27,147.2,39.8,23.7,36.5,41.0,35.4,170,101,156,175,151,58,37,48,66,40,.341,.366,.308,.377,.265,.313
17,16,김강률,22두,.317,26,24.2,43.8,21.3,35.0,42.5,36.3,35,17,28,34,29,11,9,8,10,9,.314,.529,.286,.294,.310,.317
