,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스
,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%
0,1,김강률,22두,3.59,26,24.2,110,395,3.59,23.8,16.0,27.0,33.2,64.8,35.2,49.4,32.7,21.0,13.2,80.3,38.2,11,4,26.7,100,9,9.0
1,2,전창민,22두,3.65,9,9.1,52,190,3.65,26.1,10.8,26.1,36.9,58.4,41.6,43.2,36.5,14.6,8.1,89.3,41.7,1,2,66.7,44,3,6.8
2,3,윤명준,22두,3.66,20,22.1,109,399,3.66,29.6,15.0,23.6,31.8,66.9,33.1,47.1,32.1,21.3,12.7,81.0,34.2,13,2,13.3,68,7,10.3
3,4,장원준,22두,3.72,27,17.0,78,290,3.72,28.1,13.5,21.6,36.8,59.0,41.0,42.4,33.3,18.7,10.1,82.9,36.9,4,3,42.9,105,7,6.7
4,5,이현승,22두,3.72,23,8.2,43,160,3.72,23.5,16.7,31.4,28.4,63.8,36.3,48.8,34.9,21.8,13.0,67.9,36.4,8,1,11.1,33,2,6.1
5,6,홍건희,22두,3.81,58,62.0,265,1009,3.81,23.0,19.3,30.6,27.0,66.7,33.3,51.3,37.0,25.1,15.7,71.8,31.0,48,12,20.0,163,16,9.8
6,7,박웅,22두,3.82,8,6.0,33,126,3.82,25.0,11.8,32.9,30.3,60.3,39.7,45.2,30.3,15.8,8.7,86.4,24.1,3,0,0.0,31,3,9.7
7,8,김명신,22두,3.83,68,79.2,333,1274,3.83,26.8,13.9,30.0,29.3,65.4,34.6,47.9,33.9,19.0,11.3,77.1,32.8,42,19,31.2,359,26,7.2
8,9,박신지,22두,3.83,29,61.2,313,1199,3.83,28.1,14.2,24.3,33.4,57.4,42.6,41.3,25.9,19.8,10.1,78.2,40.6,36,2,5.3,446,40,9.0
9,10,김동주,22두,3.86,10,16.2,85,328,3.86,22.3,15.1,32.0,30.6,62.8,37.2,48.8,32.9,19.4,11.7,81.7,35.5,11,2,15.4,79,9,11.4
10,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스
11,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%
12,11,최원준,22두,3.86,30,165.0,713,2755,3.86,24.9,14.0,30.0,31.0,65.1,35.0,48.8,29.2,18.7,11.4,79.1,36.6,92,21,18.6,687,58,8.4
13,12,이형범,22두,3.87,31,31.0,142,550,3.87,23.8,13.0,31.3,31.9,62.7,37.3,47.8,19.7,17.1,10.2,82.8,30.3,13,4,23.5,241,18,7.5
14,13,박치국,22두,3.90,15,11.2,51,199,3.90,31.9,15.9,28.3,23.9,56.8,43.2,38.7,27.5,23.4,10.5,62.5,41.8,9,3,25.0,23,4,17.4
15,14,김지용,22두,3.92,18,19.1,82,321,3.92,24.6,10.9,35.9,28.6,68.5,31.5,51.7,29.3,14.5,9.3,82.7,32.4,11,2,15.4,60,3,5.0
16,15,정철원,22두,3.95,58,72.2,294,1162,3.95,29.2,10.6,30.3,30.0,62.8,37.2,44.5,30.6,14.9,8.2,79.6,35.9,29,18,38.3,374,26,7.0
17,16,임창민,22두,3.97,32,27.1,124,492,3.97,24.9,15.0,32.1,28.0,65.2,34.8,49.0,29.0,19.9,11.9,80.4,25.2,16,5,23.8,152,17,11.2
18,17,곽빈,22두,3.98,27,147.2,645,2565,3.98,28.3,17.5,27.0,27.1,62.7,37.3,45.0,29.0,24.5,13.3,72.5,37.3,102,36,26.1,629,49,7.8
19,18,이영하,22두,3.98,21,98.2,462,1838,3.98,26.7,18.4,26.4,28.5,60.3,39.7,44.2,21.9,25.1,13.4,74.8,33.0,68,15,18.1,625,64,10.2
20,19,스탁,22두,3.98,29,165.0,722,2876,3.98,28.6,14.6,29.5,27.3,62.5,37.6,44.6,29.4,20.4,11.0,74.7,34.8,109,29,21.0,948,68,7.2
21,20,브랜든,22두,4.00,11,65.0,276,1103,4.00,26.3,14.8,28.3,30.6,62.5,37.5,46.1,27.2,20.1,11.4,79.8,38.3,35,5,12.5,365,26,7.1
22,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스
23,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%
24,21,이승진,22두,4.03,35,31.1,140,564,4.03,32.2,14.3,25.6,27.9,62.2,37.8,42.2,26.4,21.0,10.7,70.4,41.0,21,8,27.6,149,16,10.7
25,22,박정수,22두,4.06,13,19.2,83,337,4.06,28.2,17.7,27.8,26.3,62.0,38.0,44.5,27.7,24.7,13.1,74.3,38.1,12,6,33.3,91,8,8.8
26,23,미란다,22두,4.07,3,7.2,43,175,4.07,44.9,12.8,21.8,20.5,44.6,55.4,24.6,16.3,23.3,6.3,33.3,63.6,7,1,12.5,43,4,9.3
27,24,최승용,22두,4.17,48,93.1,423,1763,4.17,30.4,11.6,29.4,28.6,62.2,37.8,43.3,24.8,16.6,8.8,81.5,35.7,43,21,32.8,458,39,8.5
28,25,이병헌,22두,4.43,9,5.0,28,124,4.43,27.9,22.1,27.9,22.1,54.8,45.2,39.5,17.9,30.6,13.8,77.3,37.1,4,1,20.0,41,4,9.8
29,26,권휘,22두,4.68,10,9.1,40,187,4.68,29.5,9.8,34.8,25.9,59.9,40.1,42.3,10.0,13.9,7.0,86.8,35.6,3,2,40.0,77,9,11.7
30,27,최지강,22두,5.09,2,1.2,11,56,5.09,37.9,10.3,27.6,24.1,51.8,48.2,32.1,18.2,16.7,6.1,77.8,35.7,0,2,100.0,38,4,10.5
