,순,이름,팀,정렬,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,상대 타자,상대 타자,상대 타자,상대 타자,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP
,순,이름,팀,FIP,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율,출루율,장타율,OPS,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP
0,1,홍건희,22두,3.42,58,62.0,3.48,3.42,8.71,3.05,2.86,0.73,22.6,7.9,14.7,1.31,.310,68.9,.250,.313,.353,.666,1.27,1.31,1009,1.1,17.4,16.3,3.81,15.0
1,2,김명신,22두,3.68,68,79.2,3.62,3.68,6.89,2.82,2.44,0.57,18.3,7.5,10.8,1.08,.297,72.9,.253,.312,.348,.660,1.26,1.29,1274,1.2,18.7,16.0,3.83,16.9
2,3,박정수,22두,3.69,13,19.2,3.20,3.69,8.24,4.12,2.00,0.46,21.7,10.8,10.8,1.37,.296,78.1,.233,.325,.301,.627,1.32,1.37,337,1.5,25.9,17.1,4.06,5.6
3,4,정철원,22두,3.83,58,72.2,3.10,3.83,5.82,3.22,1.81,0.50,16.0,8.8,7.1,1.01,.267,75.2,.232,.305,.340,.644,1.18,1.21,1162,1.3,20.0,16.0,3.95,20.0
4,5,장원준,22두,3.93,27,17.0,3.71,3.93,3.71,3.71,1.00,0.00,9.0,9.0,0.0,0.82,.371,74.2,.338,.403,.382,.785,1.77,1.82,290,0.6,10.7,17.1,3.72,2.2
5,6,곽빈,22두,4.04,27,147.2,3.78,4.04,8.41,3.66,2.30,0.79,21.4,9.3,12.1,1.34,.313,74.1,.253,.335,.375,.711,1.38,1.45,2565,5.5,95.0,17.4,3.98,33.6
6,7,스탁,22두,4.07,29,165.0,3.55,4.07,7.53,4.53,1.66,0.49,19.1,11.5,7.6,1.34,.317,69.2,.258,.353,.346,.699,1.48,1.54,2876,5.7,99.2,17.4,3.98,40.3
7,8,박치국,22두,4.11,15,11.2,5.40,4.11,9.26,6.94,1.33,0.00,23.5,17.6,5.9,1.80,.231,55.6,.158,.360,.158,.518,1.29,1.54,199,0.8,13.3,17.1,3.90,1.0
