득점,경기,승,패,무,승률,시즌,실점,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,"('시작', '끝')","('전체', '종 합')","('전체', '리 드')","('전체', '동 점')","('전체', '열 세')","('리드', '종 합')","('리드', '리 드')","('리드', '동 점')","('리드', '열 세')","('동점', '종 합')","('동점', '리 드')","('동점', '동 점')","('동점', '열 세')","('열세', '종 합')","('열세', '리 드')","('열세', '동 점')","('열세', '열 세')","('시즌', '')"
0.0,13.0,0.0,13.0,0.0,0.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,16.0,1.0,15.0,0.0,0.063,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,20.0,8.0,11.0,1.0,0.421,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,16.0,7.0,8.0,1.0,0.467,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,23.0,14.0,8.0,1.0,0.636,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,11.0,8.0,3.0,0.0,0.727,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,11.0,10.0,1.0,0.0,0.909,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,5.0,4.0,1.0,0.0,0.8,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,7.0,5.0,2.0,0.0,0.714,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,5.0,5.0,0.0,0.0,1.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,1.0,1.0,0.0,0.0,1.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
