시작,전체,전체,전체,전체,리드,리드,리드,리드,동점,동점,동점,동점,열세,열세,열세,열세,Season
끝,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,종 합,리 드,동 점,열 세,
1회,133,23,81,29,,,,,133,23,81,29,,,,,2012
2회,133,31,57,45,23.0,18.0,2.0,3.0,81,12,53,16,29.0,1.0,2.0,26.0,2012
3회,133,45,36,52,31.0,30.0,1.0,0.0,57,14,32,11,45.0,1.0,3.0,41.0,2012
4회,133,49,25,59,45.0,41.0,2.0,2.0,36,6,16,14,52.0,2.0,7.0,43.0,2012
5회,133,59,16,58,49.0,45.0,1.0,3.0,25,7,12,6,59.0,7.0,3.0,49.0,2012
6회,132,57,13,62,59.0,52.0,3.0,4.0,16,2,7,7,57.0,3.0,3.0,51.0,2012
7회,132,58,14,60,57.0,54.0,0.0,3.0,13,3,10,0,62.0,1.0,4.0,57.0,2012
8회,132,56,12,64,58.0,52.0,1.0,5.0,14,3,8,3,60.0,1.0,3.0,56.0,2012
9회,82,36,12,34,30.0,27.0,2.0,1.0,12,6,5,1,40.0,3.0,5.0,32.0,2012
10회,12,4,8,0,,,,,12,4,8,0,,,,,2012
11회,8,0,6,2,,,,,8,0,6,2,,,,,2012
12회,6,2,3,1,,,,,6,2,3,1,,,,,2012
