이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,59-68-1 (0.465),0.465,,,2014
2,21-13-0 (0.618),0.618,25-30-1 (0.455),0.455,13-25-0 (0.342),0.342,2014
3,30-15-0 (0.667),0.667,16-17-1 (0.485),0.485,13-36-0 (0.265),0.265,2014
4,41-15-0 (0.732),0.732,10-10-1 (0.500),0.5,8-43-0 (0.157),0.157,2014
5,44-15-0 (0.746),0.746,6-7-0 (0.462),0.462,9-46-1 (0.164),0.164,2014
6,47-11-0 (0.810),0.81,3-8-0 (0.273),0.273,9-49-1 (0.155),0.155,2014
7,50-9-0 (0.847),0.847,4-7-0 (0.364),0.364,5-50-1 (0.091),0.091,2014
8,48-6-0 (0.889),0.889,5-5-0 (0.500),0.5,5-55-1 (0.083),0.083,2014
9,51-3-0 (0.944),0.944,4-5-0 (0.444),0.444,2-58-1 (0.033),0.033,2014
10,,,3-3-1 (0.500),0.5,,,2014
11,,,2-1-1 (0.667),0.667,,,2014
12,,,1-1-1 (0.500),0.5,,,2014
